trial,true_choice,predicted_choice,hit,nonhit,rating,origin_true_choice_probability,origin_posterior,origin_pred_probs,origin_entropy,origin_top1_hypothesis,origin_top1_probability,origin_top3_mass
2,1,3,0,1,1,0.1883922077635166,"{""12"": 0.1649894216055313, ""18"": 0.13284814967228345, ""43"": 0.14632868054251688, ""46"": 0.14623093907313645, ""47"": 0.1557426757703897, ""81"": 0.135607799309101, ""84"": 0.11825233402704122}","[0.1883922077635166, 0.15858096310525324, 0.5755087758313963, 0.0775180532998339]",1.940833714285385,12,0.1649894216055313,0.4670607779184379
3,2,3,0,1,1,0.1932241145836661,"{""20"": 0.35654137840183187, ""27"": 0.2924853858057989, ""43"": 0.19551221375992442, ""47"": 0.15546083811041198, ""66"": 1.034519875014402e-07, ""81"": 8.04700452706396e-08}","[0.20717089164042887, 0.1932241145836661, 0.49777783381771373, 0.10182715995819135]",1.335740660449932,20,0.35654137840183187,0.8445389779675553
4,3,4,0,1,2,0.1193495023835923,"{""20"": 0.08781527505992864, ""27"": 0.11886876024952363, ""43"": 0.1455187567703115, ""47"": 0.10342394401825183, ""66"": 1.739431656669047e-06, ""81"": 9.735776478839428e-07, ""93"": 0.4581792629620645, ""98"": 0.08619128793061535}","[0.038844661237677325, 0.18195445319363157, 0.1193495023835923, 0.6598513831850988]",1.5508260393920845,93,0.4581792629620645,0.7225667799818997
5,1,1,1,0,2,0.5503892138776741,"{""27"": 0.2598108505744795, ""33"": 0.0614046188850461, ""47"": 0.12249532045869459, ""73"": 0.06884706690234711, ""93"": 0.1867510556590309, ""98"": 0.24671265619127503, ""114"": 0.05397843132912682}","[0.5503892138776741, 0.08663442394529586, 0.27315186490772303, 0.08982449726930689]",1.7791543933273257,27,0.2598108505744795,0.6932745624247855
6,4,4,1,0,1,0.47101074838392204,"{""27"": 0.08182572153480673, ""45"": 0.25402181777440647, ""65"": 0.27967354360697805, ""71"": 7.20068989657417e-08, ""73"": 2.576423601080391e-08, ""93"": 0.06170021983873758, ""98"": 0.3227785994739362}","[0.08616786853759886, 0.3787525081938958, 0.06406887488458342, 0.47101074838392204]",1.4461192594448464,98,0.3227785994739362,0.8564739608553207
7,3,2,0,1,1,0.20970330260006567,"{""27"": 0.07804541835602333, ""37"": 0.14469465213880747, ""43"": 0.10748454580617649, ""45"": 0.1780508296249044, ""65"": 0.026246840431476338, ""93"": 0.0359706971448172, ""98"": 0.42950701649779466}","[0.3246437329617274, 0.4283038391377654, 0.20970330260006567, 0.03734912530044158]",1.6038920049130805,98,0.42950701649779466,0.7522524982615065
8,3,4,0,1,3,0.21745539627142835,"{""4"": 0.10262638734266637, ""19"": 0.055011335946005935, ""37"": 0.10258806087272214, ""43"": 0.14992344741840122, ""45"": 0.18520573115000855, ""75"": 0.07011066643688743, ""98"": 0.25012402985031296, ""99"": 0.0844103409829955}","[0.11319001916580834, 0.16488808142247718, 0.21745539627142835, 0.5044665031402861]",1.9652172382413244,98,0.25012402985031296,0.5852532084187227
9,2,3,0,1,1,0.1154279021089061,"{""22"": 0.08872822822510006, ""37"": 0.07165889436940023, ""45"": 0.1878924612456726, ""72"": 0.20144817369131873, ""98"": 0.38640442907844724, ""99"": 0.0638678133900611}","[0.2450250111667129, 0.1154279021089061, 0.42398545460848763, 0.21556163211589335]",1.5838134940445552,98,0.38640442907844724,0.7757450640154385
10,4,4,1,0,2,0.4540884944171523,"{""5"": 0.06370964892601493, ""22"": 0.04475176307447516, ""45"": 0.17381832264254224, ""72"": 0.10861823952280973, ""76"": 0.045341380813839385, ""98"": 0.4292927041804975, ""99"": 0.13446794083982105}","[0.07306148699949404, 0.44473970631887383, 0.028110312264479964, 0.4540884944171523]",1.6327898381095225,98,0.4292927041804975,0.7375789676628608
11,3,2,0,1,3,0.1259582058251806,"{""5"": 0.040962573412214515, ""15"": 0.0553340026463835, ""46"": 0.1167299853585438, ""47"": 0.30079684092475517, ""96"": 0.015421911330403512, ""98"": 0.36078254946399374, ""99"": 0.10997213686370574}","[0.10070282374555822, 0.5519786141919062, 0.1259582058251806, 0.22136035623735484]",1.5780298524904688,98,0.36078254946399374,0.7783093757472928
