trial,true_choice,predicted_choice,hit,nonhit,rating,origin_true_choice_probability,origin_posterior,origin_pred_probs,origin_entropy,origin_top1_hypothesis,origin_top1_probability,origin_top3_mass
2,3,3,1,0,1,0.41081057638344576,"{""10"": 0.1493651839683546, ""62"": 0.14569858410514752, ""65"": 0.1572682631809983, ""66"": 0.0659714983431026, ""68"": 0.1617187862870775, ""93"": 0.16136982151705623, ""103"": 0.15860786259826334}","[0.17352297350856977, 0.22996694358879688, 0.41081057638344576, 0.18569950651918762]",1.915935265588041,68,0.1617187862870775,0.48169647040239705
3,2,2,1,0,2,0.5322668876217845,"{""15"": 0.035833362535501685, ""25"": 0.2711641643058775, ""66"": 0.13989756097410128, ""68"": 0.18740091852566268, ""93"": 0.2213747460622029, ""113"": 0.14432924759665397}","[0.30940438169127643, 0.5322668876217845, 0.10136895117801047, 0.05695977950892859]",1.675305687398275,25,0.2711641643058775,0.679939828893743
4,3,3,1,0,2,0.5804166565003368,"{""12"": 0.1620252471495601, ""25"": 0.14048421660016, ""57"": 0.12437537033958461, ""61"": 0.05763434626960232, ""68"": 1.4304531291984373e-07, ""93"": 0.3775302297624657, ""110"": 0.1379504468333145}","[0.18746049950803442, 0.17426906559657893, 0.5804166565003368, 0.057853778395049814]",1.6353479081518187,93,0.3775302297624657,0.6800396935121857
5,2,2,1,0,2,0.6811475152698403,"{""25"": 0.20276344765690993, ""57"": 0.0637461755241682, ""82"": 0.14812570539891798, ""91"": 0.2760825298006465, ""93"": 0.20076574133959518, ""98"": 0.05982309956652925, ""113"": 0.048693300713232884}","[0.05764281957903273, 0.6811475152698403, 0.0853354356484522, 0.17587422950267467]",1.7752423760046818,91,0.2760825298006465,0.6796117187971515
6,4,4,1,0,3,0.5138473031526378,"{""25"": 0.263555781836728, ""53"": 0.03504929080077497, ""57"": 0.06964948898024674, ""60"": 0.0232650050928848, ""69"": 0.21342786949178624, ""70"": 0.05774088944839116, ""91"": 0.33731167434918813}","[0.07086803065354165, 0.0415701242960121, 0.37371454189780845, 0.5138473031526378]",1.6028277786469625,91,0.33731167434918813,0.8142953256777025
7,3,4,0,1,2,0.3046077839488038,"{""25"": 0.16312773702663236, ""45"": 0.08995018292053446, ""60"": 0.06791950207833114, ""69"": 0.13932934421394993, ""79"": 0.11171973160594917, ""87"": 0.10474986855436054, ""91"": 0.20546295144948393, ""105"": 0.11774068215075836}","[0.09114015579958845, 0.16926675541729375, 0.3046077839488038, 0.4349853048343139]",2.027922629969545,91,0.20546295144948393,0.5079200326900662
8,2,1,0,1,5,0.05666019296981033,"{""25"": 0.27847692837173643, ""46"": 0.02645690734782043, ""62"": 0.0799982577213977, ""79"": 0.027171411274926217, ""91"": 0.4717076441330344, ""95"": 0.11618885115108468}","[0.6112554146814394, 0.05666019296981033, 0.2037353230011108, 0.1283490693476395]",1.3566730210680478,91,0.4717076441330344,0.8663734236558556
9,2,1,0,1,3,0.11600219783611641,"{""25"": 0.18863380137238922, ""30"": 0.08816533610770777, ""46"": 0.061864619782026266, ""62"": 0.044678851291055005, ""73"": 0.09439522393628177, ""79"": 0.05350487073849044, ""84"": 0.16545413948032525, ""91"": 0.3033031572917243}","[0.5316675606855253, 0.11600219783611641, 0.21159696476981207, 0.1407332767085462]",1.8787436937052586,91,0.3033031572917243,0.6573910981444387
10,1,2,0,1,2,0.24697231342430476,"{""16"": 0.13948252743594997, ""27"": 0.12061022060850043, ""79"": 0.061586973679363895, ""84"": 0.20108116424570122, ""86"": 0.16723455444909294, ""91"": 0.3100045595813915}","[0.24697231342430476, 0.378954521406538, 0.3119893313701021, 0.062083833799055084]",1.6862165771473163,91,0.3100045595813915,0.6783202782761857
11,4,4,1,0,2,0.661247409291621,"{""16"": 0.13553633708486934, ""27"": 0.1332058793060722, ""30"": 0.14871628624003683, ""36"": 0.10395237367293782, ""72"": 0.14218506021521113, ""86"": 0.13204779580862244, ""91"": 0.2043562676722503}","[0.05622123024033886, 0.16088394548597434, 0.12164741498206591, 0.661247409291621]",1.927324380611682,91,0.2043562676722503,0.49525761412749825
