ruleID,iSession,iBlock,iTrial,stiID,category,choice,presskey,rating,feedback,choRT,rateRT,recDU
1,1,1,1,21,1,2,2,1,0,2.494,1.449,5.052
1,1,1,2,17,1,1,1,1,1,6.247,0.944,6.908
1,1,1,3,5,1,1,1,1,1,4.122,1.035,7.258
1,1,1,4,2,1,1,1,3,1,2.616,1.996,7.307
1,1,1,5,18,1,1,1,3,1,3.137,1.748,6.148
1,1,1,6,23,2,2,2,3,1,3.234,2.569,8.817
1,1,1,7,8,2,2,2,4,1,1.634,1.579,6.517
1,1,1,8,20,2,2,2,4,1,1.96,1.768,7.737
1,1,1,9,2,1,1,1,4,1,1.649,1.412,6.49
1,1,1,10,2,1,1,1,4,1,1.644,1.353,8.065
1,1,1,11,22,1,2,2,4,0,2.354,1.739,5.778
1,1,1,12,19,2,1,1,2,0,7.257,2.223,6.9
1,1,1,13,4,2,1,1,1,0,4.055,1.063,8.683
1,1,1,14,32,1,1,1,1,1,5.162,1.039,6.963
1,1,1,15,2,1,2,2,1,0,4.917,1.028,6.062
1,1,1,16,7,2,2,2,1,1,6.787,1.304,11.601
1,1,1,17,6,1,2,2,1,0,2.078,1.124,4.29
1,1,1,18,12,1,2,2,1,0,4.904,1.519,5.274
1,1,1,19,15,1,1,1,1,1,5.808,2.058,12.443
1,1,1,20,4,2,2,2,1,1,6.097,2.068,5.422
1,1,1,21,10,2,2,2,1,1,7.306,1.25,8.178
1,1,1,22,20,2,2,2,1,1,1.886,0.863,5.425
1,1,1,23,5,1,1,1,1,1,2.028,1.341,5.418
1,1,1,24,29,2,2,2,1,1,3.022,1.55,5.796
1,1,1,25,20,2,2,2,1,1,3.896,0.869,6.594
1,1,1,26,15,1,1,1,1,1,1.924,1.349,5.993
1,1,1,27,27,1,2,2,1,0,1.945,1.127,5.48
1,1,1,28,2,1,1,1,1,1,7.418,1.546,10.246
1,1,1,29,18,1,2,2,2,0,2.266,3.757,5.39
1,1,1,30,4,2,1,1,1,0,7.935,1.089,6.329
1,1,1,31,19,2,1,1,1,0,5.055,1.25,9.458
1,1,1,32,2,1,1,1,1,1,2.417,0.574,5.117
1,1,1,33,11,1,2,2,1,0,1.859,0.865,6.974
1,1,1,34,32,1,1,1,1,1,5.167,0.813,6.086
1,1,1,35,4,2,1,1,1,0,7.206,1.128,12.475
1,1,1,36,19,2,2,2,1,1,4.1,1.019,6.977
1,1,1,37,32,1,1,1,1,1,5.015,1.262,9.058
1,1,1,38,29,2,2,2,1,1,2.61,0.939,8.07
1,1,1,39,6,1,2,2,1,0,1.864,1.37,7.209
1,1,1,40,30,2,1,1,1,0,5.728,1.279,7.905
1,1,1,41,20,2,1,1,1,0,12.93,0.959,9.266
1,1,1,42,19,2,2,2,1,1,4.65,1.868,4.78
1,1,1,43,17,1,2,2,1,0,1.682,0.316,6.25
1,1,1,44,5,1,1,1,1,1,7.218,1.176,8.88
1,1,1,45,9,2,1,1,1,0,5.235,0.999,5.962
1,1,1,46,17,1,1,1,1,1,10.683,0.878,11.076
1,1,1,47,3,2,2,2,1,1,9.306,1.31,10.239
1,1,1,48,27,1,1,1,1,1,10.604,3.426,15.96
1,1,1,49,24,2,1,1,1,0,3.588,0.881,10.693
1,1,1,50,20,2,1,1,1,0,6.979,1.232,13.114
1,1,1,51,9,2,2,2,1,1,9.445,1.803,19.093
1,1,1,52,12,1,2,2,1,0,9.877,0.931,27.196
1,1,1,53,7,2,2,2,1,1,3.175,1.468,33.349
1,1,1,54,24,2,1,1,1,0,4.275,1.245,18.744
1,1,1,55,13,2,1,1,1,0,6.066,0.911,16.306
1,1,1,56,2,1,1,1,1,1,5.747,1.371,12.637
1,1,1,57,13,2,2,2,1,1,9.692,1.148,17.192
1,1,1,58,8,2,1,1,1,0,5.532,1.024,9.839
1,1,1,59,13,2,2,2,1,1,1.684,0.998,7.23
1,1,1,60,11,1,1,1,1,1,5.277,1.349,6.317
1,1,1,61,13,2,2,2,1,1,1.677,0.996,6.004
1,1,1,62,9,2,1,1,1,0,1.979,0.94,6.762
1,1,1,63,3,2,1,1,1,0,16.579,1.26,16.219
1,1,1,64,20,2,2,2,1,1,6.096,1.262,10.21
1,1,2,65,17,1,2,2,1,0,15.655,1.299,13.169
1,1,2,66,24,2,1,1,1,0,12.813,5.012,16.645
1,1,2,67,31,1,2,2,1,0,11.636,1.759,51.662
1,1,2,68,18,1,1,1,1,1,28.18,2.018,15.683
1,1,2,69,13,2,1,1,1,0,14.939,1.298,9.023
1,1,2,70,12,1,2,2,1,0,14.65,2.679,24.482
1,1,2,71,26,2,2,2,1,1,23.465,1.305,8.404
1,1,2,72,3,2,2,2,1,1,13.147,1.304,6.136
1,1,2,73,7,2,2,2,1,1,2.425,1.016,4.482
1,1,2,74,17,1,1,1,1,1,3.682,0.897,5.074
1,1,2,75,20,2,2,2,1,1,2.789,1.006,5.162
1,1,2,76,22,1,2,2,1,0,7.582,0.873,5.743
1,1,2,77,30,2,2,2,1,1,2.935,0.789,4.073
1,1,2,78,17,1,1,1,1,1,2.063,0.596,5.118
1,1,2,79,9,2,2,2,1,1,3.307,0.545,4.963
1,1,2,80,31,1,1,1,1,1,2.364,0.431,5.22
1,1,2,81,12,1,1,1,1,1,12.552,1.372,5.516
1,1,2,82,17,1,1,1,2,1,2.016,0.359,4.328
