subject,active_capture_ratio,active_topn_overlap,active_oral_mass,oracle_topn_oral_mass
301,0.6758239555030194,0.25615699404761905,0.10387564752416374,0.15361564102131142
302,0.7313875614141491,0.3406509719992866,0.11774545228300932,0.161073205214543
303,0.5826235133429772,0.13307986370813596,0.09738599600053993,0.16574142573950126
304,0.547346936255557,0.11812085593731163,0.045425274341382146,0.08552071738483838
305,0.6055905904587285,0.19668367346938775,0.04633002409167636,0.07832740939922903
306,0.6101808026010649,0.21624142278439154,0.049290392412896504,0.0821362057350959
307,0.6175849809432616,0.19426442949980754,0.09134770709202467,0.14735246373200694
308,0.5362148072541064,0.13239241732392418,0.0682929944054354,0.12981342428949405
309,0.6442269241958939,0.2499122807017544,0.0955416401213672,0.14613996159513482
310,0.582589397210717,0.15943119252621096,0.08538870730731969,0.14828694995357325
311,0.6258272472474344,0.1951748050818501,0.09157260288058766,0.14582860052518792
312,0.5761177142286167,0.14134074550741216,0.08581739359221974,0.14931180047627565
313,0.5090490867436891,0.07059929747821188,0.06631537115686455,0.13061939339867548
314,0.4797784941291224,0.03126847961406785,0.06721053667110166,0.14051913063207616
315,0.6734548831541585,0.25128770406548184,0.10111540597516547,0.14900539937972118
316,0.7023296234936336,0.28217402144103715,0.11648405593151534,0.16681681244661115
317,0.5449872047659798,0.12870864856846165,0.07067076970591987,0.1306679180756348
318,0.6398242746474865,0.2191091477241303,0.09914020155749723,0.15447235630241907
319,0.5098003911192426,0.08234289768132562,0.06192746764557133,0.12279861227819396
320,0.6146005381477938,0.1664574032738095,0.09394592379276569,0.15447660678336927
321,0.5166726433272547,0.06426892336624353,0.03344643685784367,0.06481976115184225
322,0.5501788823061005,0.1491200622024995,0.07788212014379896,0.14324902180593713
323,0.6786201917462593,0.2695076835515083,0.10468287660643226,0.1522572924010141
324,0.6752099419630763,0.2806121341765873,0.09872740789685666,0.14532362925274017
325,0.5645436726723998,0.11864220097487814,0.04765196317424668,0.08623071947062447
326,0.602411775775155,0.15547081255500145,0.07435361218085225,0.12428740228246739
327,0.6914511131032363,0.2896577380952381,0.10661205377038899,0.15242493092929915
328,0.5030675744361403,0.04579432912766246,0.03797873033214394,0.07604630127755047
329,0.694842578224229,0.2596019247594051,0.07534748266494261,0.1133190330238085
330,0.6112968993558134,0.2461344537815126,0.05280930412891421,0.08907912121617786
331,0.6057686357601156,0.19822175460473332,0.08618485413994519,0.1391377650379505
332,0.7148573054206108,0.33303261408730156,0.11315705892508401,0.15824935810540144
