rank,stream_index,run_index,error,subject_id,plot_path
5,6637,6637,0.05903276566894854,101,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_101_top16_posterior.png
6,3938,3938,0.059344165643865916,101,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_101_top16_posterior.png
7,5726,5726,0.05935855233202578,101,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_101_top16_posterior.png
8,2969,2969,0.05965932373144593,101,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_101_top16_posterior.png
9,3204,3204,0.05972060311570426,101,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_101_top16_posterior.png
10,190,190,0.05973015675251624,101,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_101_top16_posterior.png
11,3701,3701,0.05982938533629683,101,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_101_top16_posterior.png
12,1497,1497,0.05998933302158269,101,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_101_top16_posterior.png
13,1591,1591,0.06003388306967134,101,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_101_top16_posterior.png
14,2275,2275,0.06017973112155323,101,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_101_top16_posterior.png
15,3872,3872,0.060333797612027236,101,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_101_top16_posterior.png
16,3587,3587,0.06035425304117248,101,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_101_top16_posterior.png
1,1147,1147,0.06919184188264174,103,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_103_top16_posterior.png
2,1643,1643,0.0699199810691377,103,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_103_top16_posterior.png
3,2943,2943,0.07172213159629943,103,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_103_top16_posterior.png
4,4345,4345,0.07184381789312887,103,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_103_top16_posterior.png
5,2762,2762,0.07220745409949376,103,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_103_top16_posterior.png
6,909,909,0.07257332035840869,103,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_103_top16_posterior.png
7,6516,6516,0.07413839374089343,103,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_103_top16_posterior.png
8,6082,6082,0.07428805997945545,103,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_103_top16_posterior.png
9,7852,7852,0.0744414086184184,103,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_103_top16_posterior.png
10,3638,3638,0.07450656596647078,103,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_103_top16_posterior.png
11,140,140,0.07464599726834838,103,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_103_top16_posterior.png
12,6225,6225,0.07503339599359311,103,results/state-based-grid-result/pmh/cond1_subjectwise_hyper_best/plots/trajectory_posterior/subject_103_top16_posterior.png
