subID,condition,level,iTrial,orien,standard_real,compare_real,diff_real,standard_norm,compare_norm,diff_norm,truth,choice,feedback,cho_RT,threshold_mean,threshold_sd
311,1,5,1,1,1.25,1.222,-0.028,1,0.972,-0.028,1,1,1,0.768,0.029,0.03
311,1,5,2,1,1.25,1.224,-0.026,1,0.974,-0.026,1,1,1,1.11,0.027,0.03
311,1,5,3,1,1.25,1.225,-0.025,1,0.975,-0.025,1,2,0,0.777,0.031,0.03
311,1,5,4,-1,1.25,1.222,-0.028,1,0.972,-0.028,2,1,0,0.552,0.034,0.029
311,1,5,5,1,1.25,1.218,-0.032,1,0.968,-0.032,2,1,0,0.448,0.037,0.029
311,1,5,6,-1,1.25,1.215,-0.035,1,0.965,-0.035,1,1,1,0.645,0.036,0.029
311,1,5,7,-1,1.25,1.217,-0.033,1,0.967,-0.033,1,1,1,0.721,0.034,0.029
311,1,5,8,-1,1.25,1.218,-0.032,1,0.968,-0.032,2,2,1,0.627,0.033,0.029
311,1,5,9,-1,1.25,1.219,-0.031,1,0.969,-0.031,2,1,0,0.595,0.036,0.029
311,1,5,10,-1,1.25,1.216,-0.034,1,0.966,-0.034,1,1,1,0.888,0.035,0.029
311,1,5,11,-1,1.25,1.218,-0.032,1,0.968,-0.032,2,2,1,0.509,0.033,0.029
311,1,5,12,-1,1.25,1.219,-0.031,1,0.969,-0.031,1,1,1,0.358,0.032,0.029
311,1,5,13,-1,1.25,1.22,-0.03,1,0.97,-0.03,1,1,1,0.215,0.031,0.029
311,1,5,14,-1,1.25,1.222,-0.028,1,0.972,-0.028,2,1,0,0.453,0.034,0.029
311,1,5,15,1,1.25,1.219,-0.031,1,0.969,-0.031,1,1,1,0.399,0.033,0.029
311,1,5,16,1,1.25,1.22,-0.03,1,0.97,-0.03,2,2,1,0.293,0.031,0.029
311,1,5,17,-1,1.25,1.221,-0.029,1,0.971,-0.029,2,2,1,0.357,0.03,0.029
311,1,5,18,1,1.25,1.222,-0.028,1,0.972,-0.028,1,1,1,0.623,0.029,0.029
311,1,5,19,-1,1.25,1.224,-0.026,1,0.974,-0.026,2,2,1,0.252,0.027,0.029
311,1,5,20,-1,1.25,1.225,-0.025,1,0.975,-0.025,2,2,1,0.283,0.026,0.029
311,1,5,21,-1,1.25,1.226,-0.024,1,0.976,-0.024,2,2,1,0.24,0.025,0.029
311,1,5,22,1,1.25,1.228,-0.022,1,0.978,-0.022,2,2,1,0.235,0.023,0.029
311,1,5,23,1,1.25,1.229,-0.021,1,0.979,-0.021,2,2,1,0.272,0.022,0.029
311,1,5,24,-1,1.25,1.23,-0.02,1,0.98,-0.02,1,1,1,0.267,0.021,0.029
311,1,5,25,1,1.25,1.232,-0.018,1,0.982,-0.018,2,2,1,0.234,0.02,0.029
311,1,5,26,1,1.25,1.233,-0.017,1,0.983,-0.017,1,1,1,0.259,0.018,0.029
311,1,5,27,1,1.25,1.234,-0.016,1,0.984,-0.016,1,1,1,0.287,0.017,0.029
311,1,5,28,-1,1.25,1.235,-0.015,1,0.985,-0.015,1,1,1,0.278,0.016,0.029
311,1,5,29,-1,1.25,1.237,-0.013,1,0.987,-0.013,1,2,0,0.358,0.019,0.029
311,1,5,30,-1,1.25,1.234,-0.016,1,0.984,-0.016,1,1,1,0.183,0.017,0.028
311,1,3,1,-1,0.75,0.722,-0.028,0.5,0.472,-0.028,2,2,1,0.672,0.029,0.03
311,1,3,2,1,0.75,0.724,-0.026,0.5,0.474,-0.026,1,1,1,0.325,0.027,0.03
311,1,3,3,-1,0.75,0.725,-0.025,0.5,0.475,-0.025,2,2,1,0.222,0.026,0.03
311,1,3,4,1,0.75,0.774,0.024,0.5,0.524,0.024,1,1,1,0.254,0.024,0.03
311,1,3,5,-1,0.75,0.728,-0.022,0.5,0.478,-0.022,1,1,1,0.253,0.023,0.03
311,1,3,6,-1,0.75,0.771,0.021,0.5,0.521,0.021,2,2,1,0.238,0.022,0.03
311,1,3,7,1,0.75,0.769,0.019,0.5,0.519,0.019,2,2,1,0.252,0.02,0.03
311,1,3,8,-1,0.75,0.768,0.018,0.5,0.518,0.018,1,1,1,0.258,0.019,0.03
311,1,3,9,-1,0.75,0.734,-0.016,0.5,0.484,-0.016,1,1,1,0.258,0.017,0.03
311,1,3,10,1,0.75,0.765,0.015,0.5,0.515,0.015,1,1,1,0.258,0.016,0.03
311,1,3,11,-1,0.75,0.764,0.014,0.5,0.514,0.014,2,2,1,0.128,0.014,0.03
311,1,3,12,1,0.75,0.762,0.012,0.5,0.512,0.012,2,2,1,0.247,0.013,0.03
311,1,3,13,1,0.75,0.761,0.011,0.5,0.511,0.011,2,2,1,0.231,0.012,0.03
311,1,3,14,1,0.75,0.759,0.009,0.5,0.509,0.009,2,2,1,0.142,0.01,0.03
