subID,condition,level,iTrial,orien,standard_real,compare_real,diff_real,standard_norm,compare_norm,diff_norm,truth,choice,feedback,cho_RT,threshold_mean,threshold_sd
104,2,5,1,-1,1.250,1.222,-0.028,1.000,0.972,-0.028,2,1,0,0.471,0.033,0.030
104,2,5,2,1,1.250,1.219,-0.031,1.000,0.969,-0.031,1,2,0,0.522,0.036,0.029
104,2,5,3,1,1.250,1.216,-0.034,1.000,0.966,-0.034,1,1,1,0.289,0.035,0.029
104,2,5,4,-1,1.250,1.217,-0.033,1.000,0.967,-0.033,1,1,1,0.276,0.034,0.029
104,2,5,5,-1,1.250,1.218,-0.032,1.000,0.968,-0.032,1,1,1,0.252,0.032,0.029
104,2,5,6,-1,1.250,1.220,-0.030,1.000,0.970,-0.030,2,2,1,0.233,0.031,0.029
104,2,5,7,1,1.250,1.221,-0.029,1.000,0.971,-0.029,1,1,1,0.253,0.030,0.029
104,2,5,8,-1,1.250,1.223,-0.027,1.000,0.973,-0.027,2,2,1,0.198,0.028,0.029
104,2,5,9,1,1.250,1.224,-0.026,1.000,0.974,-0.026,1,1,1,0.242,0.027,0.029
104,2,5,10,1,1.250,1.225,-0.025,1.000,0.975,-0.025,2,2,1,0.156,0.026,0.030
104,2,5,11,1,1.250,1.227,-0.023,1.000,0.977,-0.023,1,1,1,0.250,0.024,0.030
104,2,5,12,-1,1.250,1.228,-0.022,1.000,0.978,-0.022,1,1,1,0.293,0.023,0.030
104,2,5,13,1,1.250,1.229,-0.021,1.000,0.979,-0.021,1,1,1,0.225,0.022,0.030
104,2,5,14,1,1.250,1.231,-0.019,1.000,0.981,-0.019,1,1,1,0.268,0.020,0.030
104,2,5,15,-1,1.250,1.232,-0.018,1.000,0.982,-0.018,1,1,1,0.249,0.019,0.030
104,2,5,16,1,1.250,1.233,-0.017,1.000,0.983,-0.017,2,2,1,0.435,0.017,0.030
104,2,5,17,-1,1.250,1.235,-0.015,1.000,0.985,-0.015,1,1,1,2.082,0.016,0.030
104,2,5,18,1,1.250,1.236,-0.014,1.000,0.986,-0.014,2,2,1,0.250,0.015,0.030
104,2,5,19,-1,1.250,1.238,-0.012,1.000,0.988,-0.012,2,1,0,0.255,0.018,0.029
104,2,5,20,-1,1.250,1.235,-0.015,1.000,0.985,-0.015,1,2,0,0.212,0.021,0.029
104,2,5,21,-1,1.250,1.231,-0.019,1.000,0.981,-0.019,2,2,1,0.242,0.020,0.029
104,2,5,22,1,1.250,1.233,-0.017,1.000,0.983,-0.017,2,2,1,0.373,0.018,0.029
104,2,5,23,-1,1.250,1.234,-0.016,1.000,0.984,-0.016,1,1,1,0.253,0.017,0.029
104,2,5,24,1,1.250,1.235,-0.015,1.000,0.985,-0.015,1,1,1,0.289,0.016,0.029
104,2,5,25,-1,1.250,1.237,-0.013,1.000,0.987,-0.013,2,2,1,0.362,0.014,0.029
104,2,5,26,1,1.250,1.238,-0.012,1.000,0.988,-0.012,1,1,1,0.284,0.013,0.029
104,2,5,27,1,1.250,1.239,-0.011,1.000,0.989,-0.011,2,2,1,0.250,0.012,0.029
104,2,5,28,-1,1.250,1.241,-0.009,1.000,0.991,-0.009,2,1,0,0.218,0.015,0.029
104,2,5,29,1,1.250,1.238,-0.012,1.000,0.988,-0.012,2,2,1,0.509,0.014,0.029
104,2,5,30,1,1.250,1.239,-0.011,1.000,0.989,-0.011,1,1,1,0.238,0.012,0.029
104,2,2,1,-1,0.500,0.472,-0.028,0.250,0.222,-0.028,1,1,1,0.362,0.029,0.030
104,2,2,2,1,0.500,0.526,0.026,0.250,0.276,0.026,1,1,1,0.264,0.027,0.030
104,2,2,3,-1,0.500,0.525,0.025,0.250,0.275,0.025,1,2,0,0.139,0.031,0.030
104,2,2,4,-1,0.500,0.528,0.028,0.250,0.278,0.028,2,2,1,0.225,0.029,0.030
104,2,2,5,-1,0.500,0.527,0.027,0.250,0.277,0.027,2,1,0,0.217,0.032,0.029
104,2,2,6,1,0.500,0.470,-0.030,0.250,0.220,-0.030,1,1,1,0.292,0.031,0.029
