subID,condition,level,iTrial,standard_real,compare_real,diff_real,standard_norm,compare_norm,diff_norm,truth,choice,feedback,cho_RT,threshold_mean,threshold_sd
1,2,2,28,1.750,1.664,-0.086,0.250,0.221,-0.029,1,1,1,0.429,0.028,0.014
1,2,2,29,1.750,1.667,-0.083,0.250,0.222,-0.028,2,1,0,0.407,0.030,0.014
1,2,2,30,1.750,1.839,0.089,0.250,0.280,0.030,1,1,1,0.393,0.029,0.014
1,2,3,1,2.500,2.430,-0.070,0.500,0.477,-0.023,2,1,0,0.702,0.026,0.016
1,2,3,2,2.500,2.579,0.079,0.500,0.526,0.026,1,1,1,0.136,0.025,0.016
1,2,3,3,2.500,2.575,0.075,0.500,0.525,0.025,2,1,0,0.280,0.028,0.016
1,2,3,4,2.500,2.417,-0.083,0.500,0.472,-0.028,2,1,0,0.650,0.031,0.016
1,2,3,5,2.500,2.409,-0.091,0.500,0.470,-0.030,1,1,1,0.276,0.029,0.016
1,2,3,6,2.500,2.587,0.087,0.500,0.529,0.029,1,1,1,0.154,0.028,0.016
1,2,3,7,2.500,2.584,0.084,0.500,0.528,0.028,2,2,1,0.181,0.027,0.016
1,2,3,8,2.500,2.419,-0.081,0.500,0.473,-0.027,2,1,0,0.054,0.030,0.015
1,2,3,9,2.500,2.588,0.088,0.500,0.529,0.029,2,1,0,0.342,0.032,0.015
1,2,3,10,2.500,2.404,-0.096,0.500,0.468,-0.032,2,1,0,0.216,0.035,0.015
1,2,3,11,2.500,2.397,-0.103,0.500,0.466,-0.034,1,1,1,0.066,0.034,0.015
1,2,3,12,2.500,2.600,0.100,0.500,0.533,0.033,2,1,0,0.481,0.036,0.014
1,2,3,13,2.500,2.607,0.107,0.500,0.536,0.036,1,1,1,0.226,0.035,0.014
1,2,3,14,2.500,2.604,0.104,0.500,0.535,0.035,1,1,1,0.197,0.034,0.014
1,2,3,15,2.500,2.399,-0.101,0.500,0.466,-0.034,2,2,1,0.278,0.033,0.014
1,2,3,16,2.500,2.598,0.098,0.500,0.533,0.033,1,1,1,0.024,0.032,0.014
1,2,3,17,2.500,2.595,0.095,0.500,0.532,0.032,1,2,0,0.363,0.035,0.014
1,2,3,18,2.500,2.602,0.102,0.500,0.534,0.034,2,2,1,0.390,0.034,0.014
1,2,3,19,2.500,2.401,-0.099,0.500,0.467,-0.033,2,2,1,0.267,0.033,0.014
1,2,3,20,2.500,2.403,-0.097,0.500,0.468,-0.032,1,1,1,0.245,0.032,0.014
1,2,3,21,2.500,2.406,-0.094,0.500,0.469,-0.031,2,1,0,0.288,0.034,0.014
1,2,3,22,2.500,2.600,0.100,0.500,0.533,0.033,1,1,1,0.122,0.033,0.014
1,2,3,23,2.500,2.403,-0.097,0.500,0.468,-0.032,1,1,1,0.230,0.032,0.014
1,2,3,24,2.500,2.595,0.095,0.500,0.532,0.032,2,1,0,0.113,0.034,0.014
1,2,3,25,2.500,2.601,0.101,0.500,0.534,0.034,1,1,1,0.380,0.033,0.014
1,2,3,26,2.500,2.598,0.098,0.500,0.533,0.033,1,1,1,0.298,0.032,0.014
1,2,3,27,2.500,2.405,-0.095,0.500,0.468,-0.032,1,2,0,4.745,0.034,0.014
1,2,3,28,2.500,2.601,0.101,0.500,0.534,0.034,1,1,1,0.180,0.034,0.014
1,2,3,29,2.500,2.599,0.099,0.500,0.533,0.033,2,2,1,0.525,0.033,0.014
1,2,3,30,2.500,2.596,0.096,0.500,0.532,0.032,2,2,1,0.336,0.032,0.013
1,2,5,1,4.000,3.930,-0.070,1.000,0.977,-0.023,1,2,0,0.430,0.026,0.016
1,2,5,2,4.000,3.921,-0.079,1.000,0.974,-0.026,1,1,1,0.152,0.025,0.016
1,2,5,3,4.000,3.925,-0.075,1.000,0.975,-0.025,1,1,1,0.221,0.024,0.016
1,2,5,4,4.000,3.929,-0.071,1.000,0.976,-0.024,2,2,1,0.356,0.023,0.016
1,2,5,5,4.000,3.932,-0.068,1.000,0.977,-0.023,2,2,1,0.260,0.022,0.016
1,2,5,6,4.000,3.936,-0.064,1.000,0.979,-0.021,1,1,1,0.715,0.020,0.016
