subID,condition,level,iTrial,standard_real,compare_real,diff_real,standard_norm,compare_norm,diff_norm,truth,choice,feedback,cho_RT,threshold_mean,threshold_sd
334,3,5,1,4.000,3.930,-0.070,1.000,0.977,-0.023,2,2,1,1.343,0.022,0.017
334,3,5,2,4.000,3.934,-0.066,1.000,0.978,-0.022,1,1,1,0.491,0.021,0.017
334,3,5,3,4.000,3.938,-0.062,1.000,0.979,-0.021,1,1,1,0.100,0.020,0.017
334,3,5,4,4.000,3.942,-0.058,1.000,0.981,-0.019,2,2,1,0.486,0.018,0.017
334,3,5,5,4.000,3.946,-0.054,1.000,0.982,-0.018,1,1,1,0.237,0.017,0.017
334,3,5,6,4.000,3.950,-0.050,1.000,0.983,-0.017,2,2,1,1.302,0.016,0.017
334,3,5,7,4.000,3.953,-0.047,1.000,0.984,-0.016,2,2,1,0.462,0.015,0.017
334,3,5,8,4.000,3.957,-0.043,1.000,0.986,-0.014,2,2,1,0.294,0.013,0.017
334,3,5,9,4.000,3.961,-0.039,1.000,0.987,-0.013,1,1,1,0.252,0.012,0.017
334,3,5,10,4.000,3.965,-0.035,1.000,0.988,-0.012,2,1,0,0.928,0.015,0.016
334,3,5,11,4.000,3.956,-0.044,1.000,0.985,-0.015,1,1,1,0.460,0.014,0.016
334,3,5,12,4.000,3.960,-0.040,1.000,0.987,-0.013,2,2,1,0.281,0.013,0.016
334,3,5,13,4.000,3.963,-0.037,1.000,0.988,-0.012,2,2,1,1.523,0.011,0.016
334,3,5,14,4.000,3.967,-0.033,1.000,0.989,-0.011,2,2,1,0.094,0.010,0.016
334,3,5,15,4.000,3.971,-0.029,1.000,0.990,-0.010,1,1,1,0.122,0.009,0.016
334,3,5,16,4.000,3.974,-0.026,1.000,0.991,-0.009,1,1,1,0.333,0.008,0.016
334,3,5,17,4.000,3.978,-0.022,1.000,0.993,-0.007,2,1,0,1.258,0.011,0.016
334,3,5,18,4.000,3.970,-0.030,1.000,0.990,-0.010,2,1,0,2.308,0.013,0.016
334,3,5,19,4.000,3.962,-0.038,1.000,0.987,-0.013,1,1,1,0.339,0.012,0.016
334,3,5,20,4.000,3.965,-0.035,1.000,0.988,-0.012,1,1,1,0.146,0.011,0.016
334,3,5,21,4.000,3.968,-0.032,1.000,0.989,-0.011,1,1,1,1.149,0.010,0.015
334,3,5,22,4.000,3.972,-0.028,1.000,0.991,-0.009,1,1,1,0.998,0.009,0.015
334,3,5,23,4.000,3.975,-0.025,1.000,0.992,-0.008,2,2,1,0.247,0.008,0.015
334,3,5,24,4.000,3.978,-0.022,1.000,0.993,-0.007,2,2,1,0.747,0.007,0.015
334,3,5,25,4.000,3.982,-0.018,1.000,0.994,-0.006,1,1,1,0.116,0.006,0.015
334,3,5,26,4.000,3.985,-0.015,1.000,0.995,-0.005,1,1,1,2.297,0.005,0.015
334,3,5,27,4.000,3.988,-0.012,1.000,0.996,-0.004,1,2,0,1.987,0.007,0.015
334,3,5,28,4.000,3.981,-0.019,1.000,0.994,-0.006,1,1,1,1.932,0.006,0.015
334,3,5,29,4.000,3.984,-0.016,1.000,0.995,-0.005,1,2,0,1.542,0.008,0.015
334,3,5,30,4.000,3.977,-0.023,1.000,0.992,-0.008,1,1,1,0.234,0.007,0.015
334,3,2,1,1.750,1.820,0.070,0.250,0.273,0.023,2,2,1,0.724,0.022,0.017
334,3,2,2,1.750,1.816,0.066,0.250,0.272,0.022,1,2,0,0.271,0.025,0.016
334,3,2,3,1.750,1.825,0.075,0.250,0.275,0.025,1,1,1,0.064,0.024,0.016
334,3,2,4,1.750,1.679,-0.071,0.250,0.226,-0.024,1,1,1,0.246,0.023,0.016
334,3,2,5,1.750,1.682,-0.068,0.250,0.227,-0.023,1,1,1,0.259,0.022,0.016
334,3,2,6,1.750,1.686,-0.064,0.250,0.229,-0.021,1,1,1,0.936,0.020,0.016
334,3,2,7,1.750,1.810,0.060,0.250,0.270,0.020,2,2,1,0.277,0.019,0.016
334,3,2,8,1.750,1.807,0.057,0.250,0.269,0.019,1,1,1,0.059,0.018,0.016
334,3,2,9,1.750,1.697,-0.053,0.250,0.232,-0.018,1,1,1,0.074,0.017,0.016
334,3,2,10,1.750,1.799,0.049,0.250,0.266,0.016,2,2,1,0.505,0.015,0.016
334,3,2,11,1.750,1.796,0.046,0.250,0.265,0.015,2,1,0,1.726,0.018,0.016
334,3,2,12,1.750,1.696,-0.054,0.250,0.232,-0.018,2,2,1,0.261,0.017,0.016
334,3,2,13,1.750,1.699,-0.051,0.250,0.233,-0.017,1,1,1,0.262,0.016,0.016
334,3,2,14,1.750,1.797,0.047,0.250,0.266,0.016,2,2,1,0.227,0.015,0.016
334,3,2,15,1.750,1.706,-0.044,0.250,0.235,-0.015,2,2,1,0.807,0.014,0.016
334,3,2,16,1.750,1.790,0.040,0.250,0.263,0.013,1,1,1,0.589,0.013,0.016
334,3,2,17,1.750,1.713,-0.037,0.250,0.238,-0.012,1,1,1,0.225,0.012,0.016
334,3,2,18,1.750,1.717,-0.033,0.250,0.239,-0.011,1,1,1,0.096,0.010,0.016
334,3,2,19,1.750,1.780,0.030,0.250,0.260,0.010,1,1,1,0.074,0.009,0.016
334,3,2,20,1.750,1.776,0.026,0.250,0.259,0.009,1,1,1,0.381,0.008,0.016
334,3,2,21,1.750,1.773,0.023,0.250,0.258,0.008,2,2,1,1.837,0.007,0.016
334,3,2,22,1.750,1.730,-0.020,0.250,0.243,-0.007,2,1,0,0.444,0.010,0.015
334,3,2,23,1.750,1.723,-0.027,0.250,0.241,-0.009,2,1,0,2.349,0.012,0.015
334,3,2,24,1.750,1.785,0.035,0.250,0.262,0.012,1,1,1,0.062,0.011,0.015
334,3,2,25,1.750,1.718,-0.032,0.250,0.239,-0.011,2,2,1,0.338,0.010,0.015
334,3,2,26,1.750,1.779,0.029,0.250,0.260,0.010,1,1,1,0.387,0.009,0.015
334,3,2,27,1.750,1.775,0.025,0.250,0.258,0.008,2,2,1,2.409,0.008,0.015
334,3,2,28,1.750,1.772,0.022,0.250,0.257,0.007,2,1,0,0.652,0.010,0.015
334,3,2,29,1.750,1.779,0.029,0.250,0.260,0.010,2,2,1,1.368,0.009,0.015
334,3,2,30,1.750,1.724,-0.026,0.250,0.241,-0.009,1,1,1,0.232,0.008,0.015
334,3,4,1,3.250,3.180,-0.070,0.750,0.727,-0.023,1,1,1,0.039,0.022,0.017
334,3,4,2,3.250,3.184,-0.066,0.750,0.728,-0.022,2,2,1,0.041,0.021,0.017
334,3,4,3,3.250,3.312,0.062,0.750,0.771,0.021,2,2,1,0.038,0.020,0.017
334,3,4,4,3.250,3.308,0.058,0.750,0.769,0.019,1,1,1,0.027,0.018,0.017
