subID,condition,level,iTrial,standard_real,compare_real,diff_real,standard_norm,compare_norm,diff_norm,truth,choice,feedback,cho_RT,threshold_mean,threshold_sd
335,4,4,1,3.250,3.320,0.070,0.750,0.773,0.023,1,1,1,0.975,0.022,0.017
335,4,4,2,3.250,3.316,0.066,0.750,0.772,0.022,2,1,0,1.299,0.025,0.016
335,4,4,3,3.250,3.325,0.075,0.750,0.775,0.025,2,1,0,1.791,0.028,0.016
335,4,4,4,3.250,3.167,-0.083,0.750,0.722,-0.028,1,1,1,1.061,0.027,0.016
335,4,4,5,3.250,3.170,-0.080,0.750,0.723,-0.027,1,1,1,1.005,0.026,0.016
335,4,4,6,3.250,3.326,0.076,0.750,0.775,0.025,1,1,1,0.870,0.024,0.016
335,4,4,7,3.250,3.323,0.073,0.750,0.774,0.024,2,2,1,0.554,0.023,0.016
335,4,4,8,3.250,3.319,0.069,0.750,0.773,0.023,2,1,0,2.269,0.026,0.016
335,4,4,9,3.250,3.327,0.077,0.750,0.776,0.026,1,1,1,0.596,0.025,0.016
335,4,4,10,3.250,3.324,0.074,0.750,0.775,0.025,2,1,0,1.513,0.027,0.015
335,4,4,11,3.250,3.169,-0.081,0.750,0.723,-0.027,2,2,1,0.563,0.026,0.015
335,4,4,12,3.250,3.328,0.078,0.750,0.776,0.026,1,1,1,0.507,0.025,0.015
335,4,4,13,3.250,3.325,0.075,0.750,0.775,0.025,1,1,1,0.809,0.024,0.015
335,4,4,14,3.250,3.178,-0.072,0.750,0.726,-0.024,1,2,0,1.090,0.027,0.015
335,4,4,15,3.250,3.171,-0.079,0.750,0.724,-0.026,1,1,1,0.544,0.026,0.015
335,4,4,16,3.250,3.326,0.076,0.750,0.775,0.025,1,1,1,1.312,0.025,0.015
335,4,4,17,3.250,3.323,0.073,0.750,0.774,0.024,2,2,1,1.242,0.024,0.015
335,4,4,18,3.250,3.181,-0.069,0.750,0.727,-0.023,1,1,1,0.591,0.023,0.015
335,4,4,19,3.250,3.316,0.066,0.750,0.772,0.022,1,1,1,0.640,0.022,0.015
335,4,4,20,3.250,3.313,0.063,0.750,0.771,0.021,2,2,1,0.608,0.021,0.015
335,4,4,21,3.250,3.310,0.060,0.750,0.770,0.020,2,1,0,0.629,0.023,0.015
335,4,4,22,3.250,3.183,-0.067,0.750,0.728,-0.022,2,2,1,0.973,0.022,0.015
335,4,4,23,3.250,3.314,0.064,0.750,0.771,0.021,2,1,0,0.562,0.024,0.014
335,4,4,24,3.250,3.179,-0.071,0.750,0.726,-0.024,2,2,1,1.156,0.023,0.014
335,4,4,25,3.250,3.182,-0.068,0.750,0.727,-0.023,1,1,1,0.449,0.022,0.014
335,4,4,26,3.250,3.315,0.065,0.750,0.772,0.022,2,1,0,1.111,0.025,0.014
335,4,4,27,3.250,3.322,0.072,0.750,0.774,0.024,2,2,1,0.695,0.024,0.014
335,4,4,28,3.250,3.319,0.069,0.750,0.773,0.023,1,1,1,0.727,0.023,0.014
335,4,4,29,3.250,3.184,-0.066,0.750,0.728,-0.022,1,1,1,1.444,0.022,0.014
335,4,4,30,3.250,3.187,-0.063,0.750,0.729,-0.021,1,1,1,1.189,0.021,0.014
335,4,1,1,1.000,1.070,0.070,0.000,0.023,0.023,1,2,0,0.854,0.026,0.016
335,4,1,2,1.000,1.079,0.079,0.000,0.026,0.026,2,2,1,0.668,0.025,0.016
335,4,1,3,1.000,1.075,0.075,0.000,0.025,0.025,1,1,1,0.790,0.024,0.016
335,4,1,4,1.000,1.071,0.071,0.000,0.024,0.024,1,1,1,1.004,0.023,0.016
335,4,1,5,1.000,1.068,0.068,0.000,0.023,0.023,1,1,1,0.722,0.022,0.016
335,4,1,6,1.000,1.064,0.064,0.000,0.021,0.021,1,1,1,0.772,0.020,0.016
335,4,1,7,1.000,1.060,0.060,0.000,0.020,0.020,2,2,1,0.556,0.019,0.016
335,4,1,8,1.000,1.057,0.057,0.000,0.019,0.019,2,2,1,0.715,0.018,0.016
335,4,1,9,1.000,1.053,0.053,0.000,0.018,0.018,2,2,1,0.850,0.017,0.016
335,4,1,10,1.000,1.049,0.049,0.000,0.016,0.016,1,1,1,0.558,0.016,0.016
335,4,1,11,1.000,1.046,0.046,0.000,0.015,0.015,2,2,1,1.236,0.014,0.016
335,4,1,12,1.000,1.042,0.042,0.000,0.014,0.014,2,2,1,0.951,0.013,0.016
335,4,1,13,1.000,1.038,0.038,0.000,0.013,0.013,1,1,1,0.546,0.012,0.016
335,4,1,14,1.000,1.035,0.035,0.000,0.012,0.012,1,1,1,0.709,0.011,0.016
335,4,1,15,1.000,1.031,0.031,0.000,0.010,0.010,1,1,1,0.752,0.010,0.016
335,4,1,16,1.000,1.027,0.027,0.000,0.009,0.009,2,2,1,0.687,0.008,0.016
335,4,1,17,1.000,1.024,0.024,0.000,0.008,0.008,1,1,1,0.369,0.007,0.016
