condition,iSession,iBlock,iTrial,stiID,category,ambiguous,choice,presskey,feedback,choRT,recDU
1,1,1,1,2,1,0,2,1,0,18.761,4.285
1,1,1,2,14,2,0,2,1,1,11.002,5.661
1,1,1,3,59,2,1,1,2,0,11.45,2.334
1,1,1,4,20,1,0,1,2,1,5.718,4.015
1,1,1,5,55,1,0,1,2,1,5.016,4.374
1,1,1,6,38,1,0,2,1,0,2.507,2.934
1,1,1,7,10,2,1,2,1,1,10.406,2.558
1,1,1,8,18,1,0,1,2,1,1.63,2.166
1,1,1,9,61,2,0,2,1,1,2.513,2.311
1,1,1,10,54,1,1,1,2,1,1.666,2.135
1,1,1,11,39,1,0,2,1,0,4.362,3.398
1,1,1,12,31,2,0,2,1,1,2.819,2.27
1,1,1,13,12,2,0,2,1,1,1.282,2.126
1,1,1,14,53,1,0,1,2,1,1.107,1.99
1,1,1,15,62,2,0,1,2,0,3.217,2.35
1,1,1,16,57,2,0,2,1,1,7.531,3.718
1,1,1,17,17,1,0,1,2,1,6.516,4.286
1,1,1,18,30,2,0,2,1,1,1.122,4.214
1,1,1,19,51,1,0,1,2,1,1.767,3.862
1,1,1,20,4,1,0,2,1,0,3.264,3.678
1,1,1,21,9,2,1,1,2,0,2.034,3.222
1,1,1,22,3,1,0,2,1,0,9.703,2.39
1,1,1,23,22,1,0,1,2,1,4.843,2.774
1,1,1,24,23,1,1,1,2,1,4.405,2.548
1,1,1,25,1,1,0,1,2,1,1.462,2.589
1,1,1,26,36,1,0,2,1,0,2.116,2.286
1,1,1,27,48,2,0,2,1,1,12.709,3.158
1,1,1,28,21,1,0,1,2,1,7.638,3.374
1,1,1,29,63,2,0,1,2,0,7.775,3.102
1,1,1,30,19,1,0,1,2,1,43.174,5.462
1,1,1,31,37,1,0,1,2,1,4.734,3.822
1,1,1,32,8,1,0,1,2,1,2.846,2.95
1,1,1,33,5,1,1,2,1,0,6.613,4.342
1,1,1,34,33,1,0,1,2,1,18.893,4.701
1,1,1,35,34,1,0,1,2,1,3.432,3.806
1,1,1,36,50,1,0,2,1,0,7.111,2.767
1,1,1,37,58,2,0,1,2,0,11.032,3.23
1,1,1,38,25,2,0,2,1,1,1.185,2.91
1,1,1,39,56,1,0,1,2,1,3.135,2.998
1,1,1,40,16,2,0,2,1,1,1.467,2.998
1,1,1,41,44,2,0,1,2,0,12.192,3.55
1,1,1,42,6,1,0,2,1,0,20.133,4.478
1,1,1,43,41,2,0,1,2,0,16.616,2.574
1,1,1,44,11,2,0,2,1,1,9.062,2.31
1,1,1,45,49,1,0,1,2,1,1.91,2.086
1,1,1,46,40,1,0,2,1,0,2.325,2.382
1,1,1,47,43,2,0,1,2,0,1.428,2.318
1,1,1,48,35,1,0,2,1,0,3.711,2.175
1,1,1,49,7,1,0,1,2,1,11.788,1.759
1,1,1,50,13,2,0,2,1,1,0.875,1.742
1,1,1,51,26,2,0,2,1,1,1.045,2.094
1,1,1,52,15,2,0,2,1,1,0.795,1.854
1,1,1,53,45,2,0,2,1,1,0.739,2.07
1,1,1,54,47,2,0,2,1,1,1.725,1.998
1,1,1,55,29,2,0,1,2,0,4.525,1.766
1,1,1,56,24,1,0,1,2,1,0.833,1.806
1,1,1,57,64,2,0,2,1,1,0.753,2.407
1,1,1,58,27,2,0,2,1,1,0.657,1.902
1,1,1,59,46,2,0,2,1,1,0.653,2.278
1,1,1,60,42,2,0,1,2,0,1.038,1.67
1,1,1,61,60,2,1,1,2,0,0.972,1.95
1,1,1,62,32,2,0,2,1,1,22.194,2.55
1,1,1,63,28,2,0,2,1,1,1.363,2.606
1,1,1,64,52,1,0,1,2,1,1.503,2.566
1,1,2,65,123,2,0,2,1,1,5.838,3.27
1,1,2,66,100,1,0,1,2,1,1.954,2.59
1,1,2,67,71,1,0,1,2,1,1.199,2.758
1,1,2,68,66,1,0,1,2,1,1.092,2.614
1,1,2,69,75,2,0,2,1,1,3.693,3.158
1,1,2,70,86,1,0,1,2,1,3.091,2.709
1,1,2,71,103,1,0,1,2,1,1.513,2.662
1,1,2,72,83,1,0,1,2,1,3.973,2.622
1,1,2,73,94,2,0,2,1,1,4.363,3.126
1,1,2,74,106,2,0,1,2,0,2.047,2.582
1,1,2,75,98,1,1,2,1,0,6.802,2.646
1,1,2,76,99,1,0,1,2,1,1.714,2.045
1,1,2,77,92,2,0,2,1,1,8.441,3.174
1,1,2,78,93,2,0,2,1,1,7.245,2.262
1,1,2,79,79,2,0,2,1,1,8.465,2.054
1,1,2,80,97,1,0,2,1,0,4.005,2.23
1,1,2,81,109,2,0,2,1,1,2.503,3.078
1,1,2,82,117,1,0,1,2,1,4.001,2.926
1,1,2,83,69,1,0,1,2,1,5.724,2.734
1,1,2,84,128,2,0,2,1,1,1.648,2.903
1,1,2,85,111,2,0,2,1,1,2.777,2.974
1,1,2,86,104,1,0,1,2,1,1.102,1.886
1,1,2,87,72,1,0,1,2,1,0.973,2.118
1,1,2,88,115,1,0,1,2,1,1.116,2.598
1,1,2,89,96,2,0,2,1,1,1.407,2.222
1,1,2,90,85,1,0,1,2,1,1.175,2.045
1,1,2,91,88,1,0,1,2,1,0.918,2.286
1,1,2,92,81,1,1,2,1,0,7.124,2.982
1,1,2,93,114,1,0,1,2,1,1.405,1.742
1,1,2,94,107,2,0,2,1,1,2.851,1.974
1,1,2,95,118,1,0,1,2,1,1.004,1.886
1,1,2,96,121,2,1,1,2,0,1.11,1.806
1,1,2,97,102,1,0,1,2,1,2.555,1.998
1,1,2,98,101,1,0,1,2,1,0.846,2.83
1,1,2,99,105,2,0,2,1,1,4.659,2.014
1,1,2,100,67,1,0,1,2,1,0.988,1.934
1,1,2,101,65,1,0,1,2,1,0.817,2.054
1,1,2,102,91,2,0,2,1,1,1.073,1.974
1,1,2,103,68,1,0,1,2,1,0.866,1.974
1,1,2,104,112,2,0,2,1,1,2.689,1.982
1,1,2,105,89,2,0,2,1,1,1.234,2.054
1,1,2,106,119,1,0,1,2,1,0.8,2.022
1,1,2,107,113,1,0,1,2,1,0.65,2.062
1,1,2,108,116,1,0,1,2,1,1.279,2.118
1,1,2,109,110,2,0,2,1,1,1.096,1.998
1,1,2,110,74,2,1,1,2,0,4.178,1.989
1,1,2,111,70,1,0,1,2,1,1.249,1.885
1,1,2,112,122,2,0,2,1,1,0.682,2.039
1,1,2,113,126,2,0,2,1,1,1.224,1.726
1,1,2,114,120,1,0,1,2,1,0.621,1.614
1,1,2,115,108,2,0,2,1,1,1.383,1.918
1,1,2,116,127,2,1,1,2,0,7.04,1.83
1,1,2,117,125,2,0,2,1,1,0.785,1.886
1,1,2,118,124,2,0,2,1,1,0.591,1.862
1,1,2,119,82,1,0,1,2,1,0.68,1.758
1,1,2,120,87,1,0,1,2,1,0.484,1.838
1,1,2,121,77,2,0,2,1,1,0.773,1.582
1,1,2,122,76,2,0,2,1,1,0.681,1.838
1,1,2,123,80,2,0,2,1,1,0.67,1.966
1,1,2,124,84,1,0,1,2,1,0.699,1.782
1,1,2,125,78,2,0,2,1,1,0.851,1.733
1,1,2,126,90,2,0,2,1,1,0.552,1.735
1,1,2,127,73,2,0,2,1,1,1.137,1.63
1,1,2,128,95,2,0,2,1,1,0.672,1.606
