iSub,iSession,iTrial,text
10,1,1,头长，腿长，脖子、尾巴短。
10,1,2,头长，腿长，脖子、尾巴较短。
10,1,3,头、腿较短，脖子、尾巴较长。
10,1,4,脖子、尾巴较长，头、腿略短。
10,1,5,头、腿较长，脖子、尾巴较短。
10,1,6,脖子较长，尾巴较长，头、腿略短。
10,1,7,脖子、腿较长，头、尾巴较短。
10,1,8,腿短，头、脖子、尾巴中等长度。
10,1,9,腿长，头、脖子短，尾巴中等长度。
10,1,10,头长，脖子较短，尾巴、腿中等长度。
10,1,11,腿、尾巴长，头、脖子较短。
10,1,12,腿、尾巴短，头、脖子较长。
10,1,13,头、腿、尾巴短，脖子较长。
10,1,14,腿、头长， 脖子、尾巴较短。
10,1,15,腿短，头、脖子、尾巴中等长度。
10,1,16,腿短，头较长，脖子、尾巴较短。
10,1,17,腿短，脖子长，头、尾巴中等长度。
10,1,18,腿长，头短，脖子、尾巴中等长度。
10,1,19,头、脖子、腿、尾巴中等长度。
10,1,20,头、尾巴、腿长，脖子较短。
10,1,21,头短，尾巴长，脖子、腿中等长度。
10,1,22,头、脖子、腿短，尾巴长。
10,1,23,头、脖子长，腿、尾巴中等长度。
10,1,24,脖子、腿长，头、尾巴较短。
10,1,25,头、腿较长，脖子、尾巴较短。
10,1,26,腿、尾巴较长，头、脖子较短。
10,1,27,腿、尾巴短，头、脖子较长。
10,1,28,腿、尾巴短，头、脖子较长。
10,1,29,脖子短，头、腿、尾巴较长。
10,1,30,腿短，头、脖子、尾巴中等长度。
10,1,31,腿较短，头较长，脖子、尾巴中等长度。
10,1,32,头、脖子长，腿、尾巴中等长度。
10,1,33,尾巴短，头、脖子、腿长。
10,1,34,头、脖子、腿、尾巴中等长度。
10,1,35,脖子短，尾巴、腿长，头中等长度。
10,1,36,头、脖子、腿、尾巴中等长度。
10,1,37,脖子短，头、腿、尾巴长。
10,1,38,头、脖子、腿、尾巴中等长度。
10,1,39,头、脖子长，腿长，尾巴短。
10,1,40,头、脖子长，腿长，尾巴短。
10,1,41,头、脖子长，腿长，尾巴短。
10,1,42,尾巴长，腿较长，头较长，脖子中等长度。
10,1,43,头、腿短，脖子、尾巴较长。
10,1,44,脖子长，头短，腿、尾巴中等长度。
10,1,45,头、脖子、尾巴长，腿较短。
10,1,46,头、脖子、尾巴长，腿较短。
10,1,47,头、脖子、尾巴长，腿较短。
10,1,48,头、脖子、尾巴、腿中等长度，尾巴、脖子略长。
10,1,49,脖子短，头、腿、尾巴中等长度。
10,1,50,脖子、尾巴长，头、腿中等长度。
10,1,51,头、脖子长，腿、尾巴中等长度。
10,1,52,尾巴短，腿长，头、脖子中等长度。
10,1,53,脖子长，头、腿、尾巴较短。
10,1,54,尾巴长，脖子、头、腿较短。
10,1,55,尾巴长，头短，脖子、腿中等长度。
10,1,56,头短，尾巴长，脖子、腿中等长度。
10,1,57,腿短，头、脖子、尾巴中等长度。
10,1,58,头、脖子、腿、尾巴中等长度。
10,1,59,头、尾巴短，腿长，脖子中等长度。
10,1,60,尾巴短，腿、脖子、头中等长度。
10,1,61,尾巴、脖子长，头、腿短。
10,1,62,尾巴、脖子长，头、腿短。
10,1,63,尾巴、脖子、头、腿中等长度。
10,1,64,脖子短，头、腿、尾巴中等长度。
10,1,65,头长，脖子、尾巴、腿长等长度。
10,1,66,头短，脖子、尾巴、腿中等长度。
10,1,67,腿短，头、脖子、尾巴中等长度。
10,1,68,尾巴长，脖子短，头、腿中等长度。
10,1,69,脖子、尾巴较短，头、腿较长。
