iSession,iTrial,text
1,1,头较长，腿较长，脖子中等，尾巴较短。
1,2,头较长，脖子中等，腿较短，尾巴中等。
1,3,头较短，脖子较短，腿较长，尾巴中等。
1,4,头中等，脖子较短，腿较短，尾巴较长。
1,5,头较长，脖子中等，腿较短，尾巴较短。
1,6,头较短，脖子较短，腿较长，尾巴较短。
1,7,头较短，脖子中等，腿较短，尾巴较短。
1,8,头较短，脖子较长，腿较长，尾巴较短。
1,9,头较长，脖子较长，尾巴较长，腿较短。
1,10,头较长，脖子较短，腿较长，尾巴较短。
1,11,头较短，脖子较短，腿特别短，尾巴较长。
1,12,头中等，脖子较短，腿中等，尾巴较长。
1,13,头较长，脖子中等，腿较长，尾巴中等。
1,14,头较短，脖子中等，腿较长，尾巴中等。
1,15,头较短，脖子较长，腿特别短，尾巴中等。
1,16,头较长，脖子中等，腿中等，尾巴较长。
1,17,头较长，脖子中等，腿较长，尾巴中等。
1,18,头较短，脖子较长，腿较长，尾巴较短。
1,19,头较短，脖子较长，腿中等，尾巴较长。
1,20,头中等，脖子较长，腿很短，尾巴中等。
1,21,头较长，脖子中等，腿中等，尾巴较短。
1,22,头中等，脖子较长，腿中等，尾巴较短。
1,23,头中等，脖子较短，腿中等，尾巴较长。
1,24,头较短，脖子中等，腿较长，尾巴较长。
1,25,头较长，脖子中等，腿较长，尾巴较短。
1,26,头较长，脖子较长，腿很短，尾巴较长。
1,27,头较长，脖子中等，腿较长，尾巴较短。
1,28,头较长，脖子较长，腿也较长，尾巴中等。
1,29,头较长，脖子很短，腿较长，尾巴中等。
1,30,头较短，脖子较长，腿中等，尾巴较短。
1,31,头较短，脖子较长，腿较长，尾巴较短。
1,32,头较长，脖子很长，腿较短，尾巴较短。
1,33,头较短，腿较短。
1,34,头较长，脖子较长。
1,35,头较长，腿较短。
1,36,头较长，腿中等。
1,37,脖子较长，腿很短。
1,38,腿较长，脖子中等。
1,39,头较短，腿中等。
1,40,尾巴较长，腿较长。
1,41,头较短，腿中等。
1,42,脖子较长，腿中等。
1,43,头中等，腿较长。
1,44,头较长，腿中等。
1,45,头中等，腿较短。
1,46,脖子较短，腿中等。
1,47,头较长，腿中等。
1,48,头较短，腿较长。
1,49,头较长，腿中等。
1,50,头较短，腿中等。
1,51,头中等，腿较长。
1,52,头较短，腿较短，尾巴较长。
1,53,头较长，腿较长。
1,54,头较长，腿很短。
1,55,脖子较短，腿较短。
1,56,脖子较长，腿中等。
1,57,脖子较短，腿中等。
1,58,脖子较短，腿较短。
1,59,脖子较短，腿较长。
1,60,脖子中等，腿较长。
1,61,脖子较长，腿较短。
1,62,头较长，尾巴较短。
1,63,头较长，尾巴较短。
1,64,头较长，尾巴中等。
1,65,头较长，尾巴很长。
1,66,头中等，脖子较长，尾巴中等。
1,67,头较长，尾巴较短。
1,68,头较长，尾巴中等。
1,69,头较短，尾巴较长。
1,70,头较短，尾巴中等。
1,71,头较短，尾巴中等。
1,72,头较短，脖子较长，尾巴较短。
1,73,头较长，尾巴较短。
1,74,头较短，尾巴中等。
1,75,头很长，尾巴较长。
1,76,头中等，尾巴较短。
1,77,头较短，尾巴较长。
1,78,头较短，尾巴较短。
1,79,头较长，尾巴较短。
1,80,头中等，尾巴较长。
1,81,头较长，尾巴较短。
1,82,尾巴较长。
1,83,尾巴较长。
1,84,尾巴较短。
1,85,尾巴较长。
1,86,尾巴较短。
1,87,尾巴较长。
1,88,尾巴较长。
1,89,尾巴较短。
1,90,尾巴较长。
1,91,尾巴较短。
1,92,尾巴较短。
1,93,尾巴较长。
1,94,尾巴较短。
1,95,尾巴较短。
1,96,尾巴较短。
1,97,尾巴较短。
1,98,尾巴较长。
1,99,尾巴较长。
1,100,尾巴较短。
1,101,尾巴中等。
1,102,尾巴较长。
1,103,尾巴较短。
1,104,尾巴较短。
1,105,尾巴较长。
1,106,尾巴特别长。
1,107,尾巴特别长。
1,108,尾巴较长。
1,109,尾巴较长。
1,110,尾巴较长。
1,111,尾巴较长。
1,112,尾巴较短。
1,113,尾巴较长。
1,114,尾巴特别长。
1,115,尾巴较长。
1,116,尾巴较长。
1,117,尾巴较短。
1,118,尾巴较短。
1,119,尾巴较长。
1,120,尾巴极短。
1,121,尾巴较长。
1,122,尾巴较长。
1,123,尾巴中等。
1,124,尾巴较长。
1,125,尾巴较长。
1,126,尾巴很短。
1,127,尾巴较短。
1,128,尾巴较长。
