subID,condition,level,iTrial,standard_real,compare_real,diff_real,standard_norm,compare_norm,diff_norm,truth,choice,feedback,cho_RT,threshold_mean,threshold_sd
402,2,1,11,1.000,1.081,0.081,0.000,0.027,0.027,2,1,0,0.447,0.030,0.015
402,2,1,12,1.000,1.089,0.089,0.000,0.030,0.030,2,1,0,0.376,0.032,0.015
402,2,1,13,1.000,1.096,0.096,0.000,0.032,0.032,1,1,1,0.372,0.031,0.015
402,2,1,14,1.000,1.093,0.093,0.000,0.031,0.031,1,1,1,0.584,0.030,0.015
402,2,1,15,1.000,1.090,0.090,0.000,0.030,0.030,2,1,0,0.461,0.033,0.015
402,2,1,16,1.000,1.097,0.097,0.000,0.032,0.032,1,1,1,0.292,0.032,0.015
402,2,1,17,1.000,1.094,0.094,0.000,0.031,0.031,1,1,1,0.574,0.031,0.014
402,2,1,18,1.000,1.091,0.091,0.000,0.030,0.030,2,2,1,1.137,0.030,0.014
402,2,1,19,1.000,1.088,0.088,0.000,0.029,0.029,2,1,0,0.674,0.032,0.014
402,2,1,20,1.000,1.095,0.095,0.000,0.032,0.032,2,2,1,0.432,0.031,0.014
402,2,1,21,1.000,1.092,0.092,0.000,0.031,0.031,2,1,0,0.611,0.033,0.014
402,2,1,22,1.000,1.098,0.098,0.000,0.033,0.033,2,2,1,0.309,0.032,0.014
402,2,1,23,1.000,1.095,0.095,0.000,0.032,0.032,2,1,0,0.832,0.035,0.014
402,2,1,24,1.000,1.102,0.102,0.000,0.034,0.034,2,1,0,0.464,0.037,0.014
402,2,1,25,1.000,1.108,0.108,0.000,0.036,0.036,2,2,1,0.515,0.036,0.014
402,2,1,26,1.000,1.105,0.105,0.000,0.035,0.035,2,1,0,0.380,0.038,0.014
402,2,1,27,1.000,1.112,0.112,0.000,0.037,0.037,2,2,1,0.531,0.037,0.014
402,2,1,28,1.000,1.109,0.109,0.000,0.036,0.036,1,1,1,0.068,0.036,0.014
402,2,1,29,1.000,1.106,0.106,0.000,0.035,0.035,1,1,1,0.616,0.035,0.013
402,2,1,30,1.000,1.104,0.104,0.000,0.035,0.035,1,1,1,0.429,0.034,0.013
402,2,3,1,2.500,2.430,-0.070,0.500,0.477,-0.023,1,2,0,0.952,0.026,0.016
402,2,3,2,2.500,2.579,0.079,0.500,0.526,0.026,1,1,1,0.383,0.025,0.016
402,2,3,3,2.500,2.425,-0.075,0.500,0.475,-0.025,1,1,1,0.465,0.024,0.016
402,2,3,4,2.500,2.571,0.071,0.500,0.524,0.024,1,1,1,0.421,0.023,0.016
402,2,3,5,2.500,2.432,-0.068,0.500,0.477,-0.023,1,1,1,0.113,0.022,0.016
402,2,3,6,2.500,2.436,-0.064,0.500,0.479,-0.021,2,2,1,1.106,0.020,0.016
402,2,3,7,2.500,2.440,-0.060,0.500,0.480,-0.020,2,1,0,0.080,0.023,0.016
402,2,3,8,2.500,2.569,0.069,0.500,0.523,0.023,2,1,0,0.170,0.026,0.016
