subID,feature,level,iTrial,standard_real,compare_real,diff_real,standard_norm,compare_norm,diff_norm,truth,choice,feedback,cho_RT,threshold_mean,threshold_sd
403,4,5,14,4.000,3.954,-0.046,1.000,0.985,-0.015,2,2,1,0.102,0.015,0.016
403,4,5,15,4.000,3.957,-0.043,1.000,0.986,-0.014,1,2,0,0.060,0.017,0.016
403,4,5,16,4.000,3.950,-0.050,1.000,0.983,-0.017,2,2,1,0.049,0.016,0.016
403,4,5,17,4.000,3.953,-0.047,1.000,0.984,-0.016,2,2,1,0.045,0.015,0.016
403,4,5,18,4.000,3.956,-0.044,1.000,0.985,-0.015,1,1,1,0.298,0.014,0.016
403,4,5,19,4.000,3.960,-0.040,1.000,0.987,-0.013,1,1,1,0.045,0.013,0.015
403,4,5,20,4.000,3.963,-0.037,1.000,0.988,-0.012,2,2,1,0.005,0.012,0.015
403,4,5,21,4.000,3.966,-0.034,1.000,0.989,-0.011,1,2,0,0.459,0.014,0.015
403,4,5,22,4.000,3.959,-0.041,1.000,0.986,-0.014,2,2,1,0.069,0.013,0.015
403,4,5,23,4.000,3.962,-0.038,1.000,0.987,-0.013,2,2,1,0.026,0.012,0.015
403,4,5,24,4.000,3.965,-0.035,1.000,0.988,-0.012,1,1,1,0.001,0.011,0.015
403,4,5,25,4.000,3.968,-0.032,1.000,0.989,-0.011,1,1,1,0.510,0.010,0.015
403,4,5,26,4.000,3.972,-0.028,1.000,0.991,-0.009,2,2,1,0.032,0.009,0.015
403,4,5,27,4.000,3.975,-0.025,1.000,0.992,-0.008,1,1,1,0.045,0.008,0.015
403,4,5,28,4.000,3.978,-0.022,1.000,0.993,-0.007,1,1,1,0.087,0.007,0.015
403,4,5,29,4.000,3.981,-0.019,1.000,0.994,-0.006,2,2,1,0.484,0.006,0.015
403,4,5,30,4.000,3.984,-0.016,1.000,0.995,-0.005,1,1,1,0.031,0.005,0.015
403,3,3,1,2.500,2.430,-0.070,0.500,0.477,-0.023,2,2,1,17.186,0.022,0.017
403,3,3,2,2.500,2.434,-0.066,0.500,0.478,-0.022,2,2,1,0.119,0.021,0.017
403,3,3,3,2.500,2.438,-0.062,0.500,0.479,-0.021,2,2,1,0.082,0.020,0.017
403,3,3,4,2.500,2.558,0.058,0.500,0.519,0.019,2,2,1,0.450,0.018,0.017
403,3,3,5,2.500,2.554,0.054,0.500,0.518,0.018,1,2,0,0.048,0.021,0.016
403,3,3,6,2.500,2.437,-0.063,0.500,0.479,-0.021,2,2,1,0.487,0.020,0.016
403,3,3,7,2.500,2.559,0.059,0.500,0.520,0.020,2,1,0,0.106,0.023,0.016
403,3,3,8,2.500,2.568,0.068,0.500,0.523,0.023,1,1,1,0.030,0.022,0.016
403,3,3,9,2.500,2.436,-0.064,0.500,0.479,-0.021,2,2,1,0.340,0.021,0.016
403,3,3,10,2.500,2.439,-0.061,0.500,0.480,-0.020,1,1,1,0.030,0.019,0.016
403,3,3,11,2.500,2.443,-0.057,0.500,0.481,-0.019,2,2,1,0.122,0.018,0.016
403,3,3,12,2.500,2.554,0.054,0.500,0.518,0.018,1,1,1,0.684,0.017,0.016
403,3,3,13,2.500,2.450,-0.050,0.500,0.483,-0.017,1,1,1,0.490,0.016,0.016
403,3,3,14,2.500,2.547,0.047,0.500,0.516,0.016,1,1,1,0.135,0.015,0.016
403,3,3,15,2.500,2.457,-0.043,0.500,0.486,-0.014,1,1,1,0.141,0.014,0.016
403,3,3,16,2.500,2.460,-0.040,0.500,0.487,-0.013,1,1,1,0.093,0.013,0.016
403,3,3,17,2.500,2.536,0.036,0.500,0.512,0.012,2,2,1,0.504,0.011,0.016
403,3,3,18,2.500,2.533,0.033,0.500,0.511,0.011,1,1,1,0.087,0.010,0.016
403,3,3,19,2.500,2.471,-0.029,0.500,0.490,-0.010,1,1,1,0.510,0.009,0.016
403,3,3,20,2.500,2.526,0.026,0.500,0.509,0.009,1,1,1,0.186,0.008,0.016
403,3,3,21,2.500,2.522,0.022,0.500,0.507,0.007,1,1,1,0.123,0.007,0.016
403,3,3,22,2.500,2.481,-0.019,0.500,0.494,-0.006,1,2,0,0.816,0.010,0.015
403,3,3,23,2.500,2.527,0.027,0.500,0.509,0.009,1,1,1,0.135,0.008,0.015
403,3,3,24,2.500,2.476,-0.024,0.500,0.492,-0.008,2,1,0,0.119,0.011,0.015
403,3,3,25,2.500,2.531,0.031,0.500,0.510,0.010,2,1,0,0.132,0.013,0.015
403,3,3,26,2.500,2.462,-0.038,0.500,0.487,-0.013,1,1,1,0.501,0.012,0.015
403,3,3,27,2.500,2.535,0.035,0.500,0.512,0.012,2,1,0,3.427,0.015,0.015
403,3,3,28,2.500,2.542,0.042,0.500,0.514,0.014,2,1,0,0.130,0.017,0.015
403,3,3,29,2.500,2.549,0.049,0.500,0.516,0.016,2,1,0,0.108,0.019,0.015
403,3,3,30,2.500,2.444,-0.056,0.500,0.481,-0.019,1,1,1,2.151,0.018,0.014
403,3,5,1,4.000,3.930,-0.070,1.000,0.977,-0.023,1,1,1,0.057,0.022,0.017
403,3,5,2,4.000,3.934,-0.066,1.000,0.978,-0.022,1,1,1,0.076,0.021,0.017
403,3,5,3,4.000,3.938,-0.062,1.000,0.979,-0.021,1,1,1,0.063,0.020,0.017
403,3,5,4,4.000,3.942,-0.058,1.000,0.981,-0.019,2,1,0,0.073,0.023,0.016
403,3,5,5,4.000,3.933,-0.067,1.000,0.978,-0.022,1,1,1,0.115,0.021,0.016
403,3,5,6,4.000,3.937,-0.063,1.000,0.979,-0.021,1,1,1,0.035,0.020,0.016
403,3,5,7,4.000,3.940,-0.060,1.000,0.980,-0.020,1,1,1,0.071,0.019,0.016
403,3,5,8,4.000,3.944,-0.056,1.000,0.981,-0.019,2,1,0,0.017,0.022,0.016
403,3,5,9,4.000,3.935,-0.065,1.000,0.978,-0.022,1,1,1,0.126,0.021,0.016
403,3,5,10,4.000,3.939,-0.061,1.000,0.980,-0.020,2,1,0,0.420,0.023,0.016
403,3,5,11,4.000,3.931,-0.069,1.000,0.977,-0.023,2,2,1,0.137,0.022,0.016
403,3,5,12,4.000,3.934,-0.066,1.000,0.978,-0.022,1,1,1,0.435,0.021,0.016
403,3,5,13,4.000,3.938,-0.062,1.000,0.979,-0.021,1,1,1,0.870,0.020,0.016
403,3,5,14,4.000,3.941,-0.059,1.000,0.980,-0.020,1,1,1,0.713,0.019,0.016
403,3,5,15,4.000,3.944,-0.056,1.000,0.981,-0.019,1,1,1,0.292,0.018,0.016
403,3,5,16,4.000,3.948,-0.052,1.000,0.983,-0.017,2,2,1,0.159,0.017,0.016
403,3,5,17,4.000,3.951,-0.049,1.000,0.984,-0.016,2,2,1,0.362,0.016,0.015
403,3,5,18,4.000,3.954,-0.046,1.000,0.985,-0.015,1,2,0,10.930,0.018,0.015
403,3,5,19,4.000,3.947,-0.053,1.000,0.982,-0.018,2,1,0,0.101,0.021,0.015
403,3,5,20,4.000,3.939,-0.061,1.000,0.980,-0.020,2,2,1,0.066,0.020,0.015
403,3,5,21,4.000,3.943,-0.057,1.000,0.981,-0.019,1,1,1,0.064,0.019,0.015
403,3,5,22,4.000,3.946,-0.054,1.000,0.982,-0.018,2,1,0,0.072,0.021,0.015
403,3,5,23,4.000,3.939,-0.061,1.000,0.980,-0.020,1,1,1,0.414,0.020,0.015
403,3,5,24,4.000,3.942,-0.058,1.000,0.981,-0.019,1,1,1,0.422,0.019,0.015
403,3,5,25,4.000,3.945,-0.055,1.000,0.982,-0.018,1,2,0,4.420,0.021,0.015
403,3,5,26,4.000,3.938,-0.062,1.000,0.979,-0.021,2,1,0,0.068,0.024,0.014
403,3,5,27,4.000,3.931,-0.069,1.000,0.977,-0.023,1,1,1,0.070,0.023,0.014
403,3,5,28,4.000,3.934,-0.066,1.000,0.978,-0.022,1,2,0,0.067,0.025,0.014
403,3,5,29,4.000,3.927,-0.073,1.000,0.976,-0.024,1,2,0,0.222,0.027,0.014
403,3,5,30,4.000,3.921,-0.079,1.000,0.974,-0.026,2,2,1,0.136,0.026,0.014
403,3,4,1,3.250,3.320,0.070,0.750,0.773,0.023,1,1,1,0.421,0.022,0.017
403,3,4,2,3.250,3.184,-0.066,0.750,0.728,-0.022,1,1,1,0.570,0.021,0.017
403,3,4,3,3.250,3.188,-0.062,0.750,0.729,-0.021,2,1,0,0.179,0.024,0.016
403,3,4,4,3.250,3.179,-0.071,0.750,0.726,-0.024,2,1,0,0.163,0.027,0.016
403,3,4,5,3.250,3.171,-0.079,0.750,0.724,-0.026,1,1,1,0.076,0.025,0.016
403,3,4,6,3.250,3.174,-0.076,0.750,0.725,-0.025,2,2,1,0.091,0.024,0.016
403,3,4,7,3.250,3.178,-0.072,0.750,0.726,-0.024,1,1,1,0.051,0.023,0.016
403,3,4,8,3.250,3.319,0.069,0.750,0.773,0.023,1,1,1,0.034,0.022,0.016
403,3,4,9,3.250,3.315,0.065,0.750,0.772,0.022,1,1,1,0.071,0.021,0.016
403,3,4,10,3.250,3.312,0.062,0.750,0.771,0.021,2,1,0,0.077,0.023,0.016
403,3,4,11,3.250,3.181,-0.069,0.750,0.727,-0.023,2,2,1,0.095,0.022,0.016
403,3,4,12,3.250,3.184,-0.066,0.750,0.728,-0.022,1,1,1,0.041,0.021,0.016
403,3,4,13,3.250,3.187,-0.063,0.750,0.729,-0.021,2,1,0,0.176,0.024,0.015
403,3,4,14,3.250,3.180,-0.070,0.750,0.727,-0.023,1,1,1,0.738,0.023,0.015
403,3,4,15,3.250,3.183,-0.067,0.750,0.728,-0.022,2,2,1,0.304,0.022,0.015
403,3,4,16,3.250,3.314,0.064,0.750,0.771,0.021,1,1,1,1.130,0.021,0.015
403,3,4,17,3.250,3.311,0.061,0.750,0.770,0.020,1,1,1,0.123,0.020,0.015
403,3,4,18,3.250,3.193,-0.057,0.750,0.731,-0.019,1,1,1,1.069,0.019,0.015
403,3,4,19,3.250,3.304,0.054,0.750,0.768,0.018,2,1,0,0.126,0.021,0.015
403,3,4,20,3.250,3.189,-0.061,0.750,0.730,-0.020,1,2,0,0.552,0.023,0.015
403,3,4,21,3.250,3.318,0.068,0.750,0.773,0.023,1,1,1,0.241,0.022,0.015
403,3,4,22,3.250,3.185,-0.065,0.750,0.728,-0.022,2,2,1,1.036,0.021,0.015
403,3,4,23,3.250,3.188,-0.062,0.750,0.729,-0.021,2,2,1,2.848,0.020,0.015
