val,un_pro,origin
"[0.5625, 0.4375, 0.5625, 0.5625]",[],头较短，脖子很长，腿较长，尾巴较长。
"[0.4375, 0.5625, 0.5625, 0.4375]",[],头很长，脖子较短，腿很长，尾巴较短。
"[0.4375, 0.4375, 0.5625, 0.5625]",[],头很短，脖子较短，腿较长，尾巴较长。
"[0.5625, 0.4375, 0.4375, 0.5625]",[],头较短，脖子很长，腿短，尾巴较长。
"[0.4375, 0.5625, 0.4375, 0.4375]",[],头很长，脖子短，腿很短，尾巴短。
"[0.4375, 0.5625, 0.5625, 0.5625]",[],头很长，脖子很短，腿较长，尾巴较长。
"[0.5625, 0.5625, 0.5625, 0.5625]",[],头很长，脖子较长，腿较长，尾巴较长。
"[0.5625, 0.4375, 0.4375, 0.4375]",[],头很短，脖子很长，腿很短，尾巴较短。
"[0.5625, 0.4375, 0.5625, 0.5625]",[],头较短，脖子很长，腿较长，尾巴较长。
"[0.5625, 0.5625, 0.4375, 0.4375]",[],头较长，脖子较长，腿较短，尾巴较短。
"[0.5625, 0.4375, 0.5625, 0.5625]",[],头很短，脖子较长，腿很长，尾巴很长。
"[0.5625, 0.5625, 0.4375, 0.4375]",[],头很长，脖子较长，腿很短，尾巴较短。
"[0.4375, 0.5625, 0.5625, 0.4375]",[],头很长，脖子很短，腿较长，尾巴较短。
"[0.5625, 0.5625, 0.4375, 0.4375]",[],头很长，脖子较长，腿很短，尾巴较短。
"[0.5625, 0.4375, 0.5625, 0.4375]",[],头较短，脖子较长，腿较长，尾巴较短。
"[0.5625, 0.5625, 0.4375, 0.5625]",[],头很长，脖子很长，腿很短，尾巴较长。
"[0.5625, 0.4375, 0.5625, 0.5625]",[],头很短，脖子很长，腿较长，尾巴很长。
"[0.4375, 0.5625, 0.5625, 0.5625]",[],头很长，脖子较短，腿较长，尾巴较长。
"[0.5625, 0.5625, 0.4375, 0.5625]",[],头很长，脖子较长，腿很短，尾巴较长。
"[0.5625, 0.5625, 0.5625, 0.5625]",[],头很长，脖子很长，腿较长，尾巴较长。
"[0.5625, 0.4375, 0.5625, 0.5625]",[],头较短，脖子较长，腿很长，尾巴很长。
"[0.4375, 0.5625, 0.5625, 0.4375]",[],头很长，脖子很短，腿很长，尾巴较短。
"[0.5625, 0.5625, 0.4375, 0.4375]",[],头很长，脖子很长，腿很短，尾巴较短。
"[0.4375, 0.4375, 0.4375, 0.5625]",[],头较短，脖子很短，腿很短，尾巴很长。
"[0.5625, 0.5625, 0.5625, 0.4375]",[],头很长，脖子较长，腿很长，尾巴很短。
"[0.5625, 0.4375, 0.5625, 0.4375]",[],头很短，脖子很长，腿很长，尾巴很短。
"[0.4375, 0.5625, 0.4375, 0.4375]",[],头很长，脖子较短，腿较短，尾巴较短。
"[0.5625, 0.5625, 0.5625, 0.4375]",[],头很长，脖子较长，尾巴很短，腿较长。
"[0.5625, 0.4375, 0.5625, 0.4375]",[],头较短，脖子较长，腿很长，尾巴很短。
"[0.4375, 0.5625, 0.4375, 0.5625]",[],头很长，脖子很短，腿较短，尾巴很长。
