version,condition,structure1,structure2,iTrial,stiID,category,choice,feedback,choRT
1,1,3,5,1,220,1,1,1,1.844
1,1,3,5,2,383,4,2,1,2.344
1,1,3,5,3,338,2,1,1,3.233
1,1,3,5,4,72,3,2,1,3.216
1,1,3,5,5,37,4,2,1,13.529
1,1,3,5,6,501,4,2,1,2.135
1,1,3,5,7,457,2,1,1,1.499
1,1,3,5,8,431,4,2,1,2.138
1,1,3,5,9,476,2,1,1,2.027
1,1,3,5,10,344,3,2,1,2.35
1,1,3,5,11,419,2,1,1,4.296
1,1,3,5,12,348,2,1,1,3.956
1,1,3,5,13,90,1,1,1,6.983
1,1,3,5,14,323,2,1,1,2.518
1,1,3,5,15,331,2,1,1,1.797
1,1,3,5,16,309,4,2,1,4.919
1,1,3,5,17,268,2,1,1,2.031
1,1,3,5,18,179,1,1,1,2.194
1,1,3,5,19,126,4,2,1,1.464
1,1,3,5,20,347,2,1,1,1.715
1,1,3,5,21,445,4,2,1,1.229
1,1,3,5,22,460,2,1,1,2.423
1,1,3,5,23,377,2,1,1,0.97
1,1,3,5,24,487,4,2,1,1.289
1,1,3,5,25,386,2,1,1,1.263
1,1,3,5,26,291,2,1,1,1.997
1,1,3,5,27,176,4,2,1,1.382
1,1,3,5,28,205,3,2,1,1.66
1,1,3,5,29,252,1,1,1,1.234
1,1,3,5,30,267,2,1,1,0.935
1,1,3,5,31,108,1,1,1,1.202
1,1,3,5,32,191,4,2,1,1.103
1,1,3,5,33,428,2,1,1,1.143
1,1,3,5,34,503,4,2,1,0.873
1,1,3,5,35,335,3,2,1,1.369
1,1,3,5,36,145,1,1,1,0.777
1,1,3,5,37,180,1,1,1,1.23
1,1,3,5,38,285,3,2,1,4.095
1,1,3,5,39,123,1,1,1,1.674
1,1,3,5,40,38,4,2,1,1.004
1,1,3,5,41,30,3,2,1,1.17
1,1,3,5,42,184,4,2,1,0.956
1,1,3,5,43,306,2,1,1,0.962
1,1,3,5,44,472,3,2,1,1.182
1,1,3,5,45,239,4,2,1,1.214
1,1,3,5,46,58,1,1,1,1.01
1,1,3,5,47,185,1,1,1,0.656
1,1,3,5,48,397,3,2,1,2.356
1,1,3,5,49,42,1,1,1,2.193
1,1,3,5,50,355,2,1,1,1.98
1,1,3,5,51,109,4,2,1,3.615
1,1,3,5,52,324,2,1,1,4.134
1,1,3,5,53,60,1,1,1,1.808
1,1,3,5,54,227,1,1,1,1.532
1,1,3,5,55,96,3,2,1,1.267
1,1,3,5,56,475,2,1,1,1.049
1,1,3,5,57,51,1,1,1,1.679
1,1,3,5,58,11,1,1,1,2.569
1,1,3,5,59,421,4,2,1,1.51
1,1,3,5,60,340,2,1,1,1.352
1,1,3,5,61,33,1,1,1,0.938
1,1,3,5,62,444,2,1,1,0.938
1,1,3,5,63,314,2,1,1,1.234
1,1,3,5,64,9,1,1,1,0.774
1,1,3,5,65,353,2,1,1,0.797
1,1,3,5,66,212,1,1,1,1.62
1,1,3,5,67,43,1,1,1,1.16
1,1,3,5,68,393,2,1,1,0.855
1,1,3,5,69,223,3,2,1,1.019
1,1,3,5,70,23,3,2,1,0.634
1,1,3,5,71,305,2,1,1,0.735
1,1,3,5,72,271,3,2,1,1.494
1,1,3,5,73,69,3,2,1,4.212
1,1,3,5,74,310,4,2,1,1.042
1,1,3,5,75,333,3,2,1,1.178
1,1,3,5,76,228,1,1,1,1.157
1,1,3,5,77,234,1,1,1,0.737
1,1,3,5,78,92,1,1,1,1.27
1,1,3,5,79,412,2,1,1,1.006
1,1,3,5,80,1,1,1,1,0.871
1,1,3,5,81,230,4,2,1,1.593
1,1,3,5,82,429,4,2,1,3.137
1,1,3,5,83,284,2,1,1,0.846
1,1,3,5,84,76,1,1,1,1.365
1,1,3,5,85,322,2,1,1,0.889
1,1,3,5,86,160,3,2,1,0.916
1,1,3,5,87,364,2,1,1,1.977
1,1,3,5,88,40,4,2,1,1.317
1,1,3,5,89,375,4,2,1,1.165
1,1,3,5,90,80,3,2,1,3.114
1,1,3,5,91,114,1,1,1,1.262
1,1,3,5,92,488,4,2,1,1.653
1,1,3,5,93,141,3,2,1,2.206
1,1,3,5,94,466,2,1,1,1.225
1,1,3,5,95,288,3,2,1,1.034
1,1,3,5,96,273,2,1,1,0.717
1,1,3,5,97,248,4,2,1,1.058
1,1,3,5,98,27,1,1,1,1.158
1,1,3,5,99,498,2,1,1,0.838
1,1,3,5,100,68,1,1,1,2.281
1,1,3,5,101,258,2,1,1,1.11
1,1,3,5,102,505,2,1,1,1.633
1,1,3,5,103,84,1,1,1,3.311
1,1,3,5,104,282,2,1,1,1.234
1,1,3,5,105,8,3,2,1,1.378
1,1,3,5,106,256,4,2,1,5.284
1,1,3,5,107,301,4,2,1,2.153
1,1,3,5,108,91,1,1,1,1.116
1,1,3,5,109,500,2,1,1,1.622
