version,condition,structure1,structure2,iTrial,stiID,category,choice,feedback,choRT
1,3,1,6,495,176,4,4,1.0,0.918
1,3,1,6,496,145,1,1,1.0,0.998
1,3,1,6,497,290,2,2,1.0,1.159
1,3,1,6,498,378,2,2,1.0,2.395
1,3,1,6,499,19,1,1,1.0,3.154
1,3,1,6,500,320,4,4,1.0,1.391
1,3,1,6,501,294,4,4,1.0,1.319
1,3,1,6,502,489,2,2,1.0,1.515
1,3,1,6,503,262,3,3,1.0,2.889
1,3,1,6,504,478,3,3,1.0,1.696
1,3,1,6,505,66,1,1,1.0,1.171
1,3,1,6,506,17,1,1,1.0,0.959
1,3,1,6,507,120,4,4,1.0,1.619
1,3,1,6,508,21,3,3,1.0,2.043
1,3,1,6,509,299,2,2,1.0,1.327
1,3,1,6,510,261,3,3,1.0,1.269
1,3,1,6,511,114,1,1,1.0,1.194
1,3,1,6,512,364,2,2,1.0,1.76
