version,condition,structure1,structure2,iTrial,stiID,category,choice,feedback,choRT
1,1,2,6,1,490,2,1,1,1.95
1,1,2,6,2,324,2,1,1,3.028
1,1,2,6,3,506,2,1,1,2.195
1,1,2,6,4,235,1,2,0,1.359
1,1,2,6,5,383,4,2,1,0.833
1,1,2,6,6,343,3,2,1,1.569
1,1,2,6,7,141,3,2,1,3.284
1,1,2,6,8,170,1,1,1,1.41
1,1,2,6,9,271,3,2,1,1.378
1,1,2,6,10,439,4,2,1,1.091
1,1,2,6,11,254,4,2,1,1.142
1,1,2,6,12,213,3,2,1,1.836
1,1,2,6,13,103,4,2,1,1.527
1,1,2,6,14,72,3,2,1,1.153
1,1,2,6,15,33,1,1,1,2.089
1,1,2,6,16,444,2,2,0,4.211
1,1,2,6,17,238,4,2,1,1.415
1,1,2,6,18,258,2,1,1,2.212
1,1,2,6,19,19,1,2,0,1.852
1,1,2,6,20,243,1,2,0,3.361
1,1,2,6,21,149,3,2,1,0.914
1,1,2,6,22,183,4,2,1,1.12
1,1,2,6,23,207,3,2,1,0.939
1,1,2,6,24,181,4,2,1,1.211
1,1,2,6,25,226,1,1,1,0.795
1,1,2,6,26,7,3,2,1,1.628
1,1,2,6,27,308,2,2,0,1.798
1,1,2,6,28,452,2,2,0,1.537
1,1,2,6,29,51,1,1,1,1.252
1,1,2,6,30,153,1,1,1,1.272
1,1,2,6,31,434,2,1,1,1.462
1,1,2,6,32,163,1,1,1,1.443
1,1,2,6,33,125,4,2,1,2.0
1,1,2,6,34,63,4,2,1,1.409
1,1,2,6,35,138,1,1,1,2.296
1,1,2,6,36,117,4,2,1,0.712
1,1,2,6,37,322,2,1,1,0.666
1,1,2,6,38,165,4,2,1,1.001
1,1,2,6,39,112,4,2,1,0.726
1,1,2,6,40,362,2,1,1,0.745
1,1,2,6,41,421,4,2,1,0.742
1,1,2,6,42,244,1,2,0,1.108
1,1,2,6,43,231,4,2,1,0.711
1,1,2,6,44,92,1,2,0,1.445
1,1,2,6,45,427,2,2,0,1.266
1,1,2,6,46,373,4,2,1,1.015
1,1,2,6,47,232,4,2,1,0.987
1,1,2,6,48,430,4,2,1,1.184
1,1,2,6,49,179,1,1,1,0.932
1,1,2,6,50,219,1,2,0,2.288
1,1,2,6,51,380,2,2,0,2.319
1,1,2,6,52,454,3,2,1,0.791
1,1,2,6,53,45,4,2,1,0.735
1,1,2,6,54,417,2,1,1,0.687
1,1,2,6,55,195,1,2,0,0.689
1,1,2,6,56,252,1,2,0,0.783
1,1,2,6,57,331,2,1,1,3.734
1,1,2,6,58,214,3,2,1,0.937
1,1,2,6,59,172,1,2,0,1.519
1,1,2,6,60,290,2,1,1,0.8
1,1,2,6,61,499,2,2,0,0.835
1,1,2,6,62,2,1,1,1,1.004
1,1,2,6,63,298,2,1,1,0.795
1,1,2,6,64,480,3,2,1,0.655
1,1,2,6,65,136,3,2,1,1.126
1,1,2,6,66,348,2,2,0,1.374
1,1,2,6,67,54,4,2,1,2.036
1,1,2,6,68,416,3,2,1,1.288
1,1,2,6,69,463,3,2,1,1.259
1,1,2,6,70,118,4,2,1,0.892
1,1,2,6,71,313,2,1,1,0.629
1,1,2,6,72,473,2,1,1,0.649
1,1,2,6,73,294,4,2,1,0.728
1,1,2,6,74,87,3,2,1,1.112
1,1,2,6,75,91,1,2,0,1.923
1,1,2,6,76,257,2,1,1,0.633
1,1,2,6,77,80,3,2,1,0.877
1,1,2,6,78,432,4,2,1,0.793
1,1,2,6,79,376,4,2,1,0.796
1,1,2,6,80,253,4,2,1,1.045
1,1,2,6,81,177,1,1,1,0.736
1,1,2,6,82,96,3,2,1,1.083
1,1,2,6,83,451,2,1,1,0.955
1,1,2,6,84,265,2,1,1,0.619
1,1,2,6,85,102,4,2,1,1.044
1,1,2,6,86,180,1,2,0,3.065
1,1,2,6,87,32,3,2,1,0.635
1,1,2,6,88,280,3,2,1,0.788
1,1,2,6,89,455,3,2,1,0.504
1,1,2,6,90,460,2,1,1,1.549
1,1,2,6,91,1,1,1,1,0.617
1,1,2,6,92,95,3,2,1,0.807
1,1,2,6,93,18,1,2,0,3.631
1,1,2,6,94,353,2,1,1,1.157
