ruleID,iSession,iBlock,iTrial,stiID,category,choice,presskey,rating,feedback,choRT,rateRT,recDU
1,1,2,86,14,2,2,2,6,1,2.884,1.004,7.316
1,1,2,87,22,1,1,1,6,1,3.334,0.920,11.100
1,1,2,88,30,2,2,2,6,1,1.868,0.779,4.919
1,1,2,89,7,2,2,2,6,1,3.673,0.892,6.211
1,1,2,90,16,1,1,1,6,1,3.045,0.659,7.555
1,1,2,91,14,2,2,2,6,1,5.272,0.762,8.570
1,1,2,92,16,1,1,1,6,1,7.371,0.999,6.893
1,1,2,93,27,1,1,1,6,1,5.706,3.896,11.091
1,1,2,94,11,1,1,1,6,1,2.851,1.017,4.906
1,1,2,95,11,1,1,1,6,1,1.626,1.675,8.229
1,1,2,96,32,1,1,1,6,1,2.224,1.270,5.673
1,1,2,97,27,1,1,1,6,1,8.898,0.764,7.089
1,1,2,98,27,1,1,1,6,1,3.650,0.932,6.387
1,1,2,99,6,1,1,1,6,1,2.976,0.920,6.099
1,1,2,100,2,1,1,1,6,1,4.594,1.692,6.914
1,1,2,101,24,2,2,2,6,1,2.743,0.945,6.894
1,1,2,102,3,2,2,2,6,1,2.227,0.890,6.709
1,1,2,103,4,2,2,2,6,1,3.433,0.773,8.540
1,1,2,104,7,2,2,2,6,1,6.870,0.871,11.253
1,1,2,105,6,1,1,1,6,1,11.631,0.758,5.774
1,1,2,106,24,2,2,2,6,1,4.024,1.050,8.869
1,1,2,107,4,2,2,2,6,1,3.024,1.195,9.229
1,1,2,108,11,1,1,1,6,1,2.029,0.872,7.260
1,1,2,109,6,1,1,1,6,1,9.511,3.136,8.276
1,1,2,110,10,2,2,2,6,1,2.923,0.628,10.737
1,1,2,111,12,1,1,1,6,1,3.176,1.137,8.044
1,1,2,112,13,2,2,2,6,1,4.673,0.820,10.804
1,1,2,113,27,1,1,1,6,1,7.774,0.902,6.509
1,1,2,114,29,2,2,2,6,1,2.839,0.820,10.171
1,1,2,115,5,1,1,1,6,1,3.979,0.507,8.517
1,1,2,116,28,1,1,1,6,1,1.761,1.013,5.739
1,1,2,117,31,1,1,1,6,1,3.326,1.183,7.848
1,1,2,118,29,2,2,2,6,1,2.918,1.329,18.578
1,1,2,119,2,1,1,1,6,1,13.444,4.688,11.381
1,1,2,120,32,1,1,1,6,1,2.954,0.746,4.859
1,1,2,121,14,2,2,2,6,1,3.836,0.705,12.594
1,1,2,122,9,2,2,2,6,1,4.004,0.880,6.229
1,1,2,123,6,1,1,1,6,1,5.874,0.973,4.772
1,1,2,124,12,1,1,1,6,1,2.576,1.520,4.539
1,1,2,125,4,2,2,2,6,1,2.198,1.411,5.017
1,1,2,126,15,1,1,1,6,1,7.872,1.246,3.545
1,1,2,127,12,1,1,1,6,1,2.357,0.882,7.706
1,1,2,128,2,1,1,1,6,1,2.102,1.050,4.661
