subID,feature,level,iTrial,standard_real,compare_real,diff_real,standard_norm,compare_norm,diff_norm,truth,choice,feedback,cho_RT,threshold_mean,threshold_sd
401,2,3,20,2.500,2.425,-0.075,0.500,0.475,-0.025,2,1,0,0.847,0.028,0.014
401,2,3,21,2.500,2.582,0.082,0.500,0.527,0.027,1,1,1,0.672,0.027,0.014
401,2,3,22,2.500,2.579,0.079,0.500,0.526,0.026,1,1,1,0.817,0.026,0.014
401,2,3,23,2.500,2.424,-0.076,0.500,0.475,-0.025,2,2,1,0.188,0.025,0.014
401,2,3,24,2.500,2.427,-0.073,0.500,0.476,-0.024,1,2,0,0.389,0.027,0.014
401,2,3,25,2.500,2.580,0.080,0.500,0.527,0.027,1,1,1,0.579,0.026,0.014
401,2,3,26,2.500,2.423,-0.077,0.500,0.474,-0.026,2,2,1,0.570,0.025,0.014
401,2,3,27,2.500,2.574,0.074,0.500,0.525,0.025,1,1,1,1.458,0.024,0.014
401,2,3,28,2.500,2.572,0.072,0.500,0.524,0.024,2,2,1,1.412,0.024,0.014
401,2,3,29,2.500,2.431,-0.069,0.500,0.477,-0.023,1,2,0,2.426,0.026,0.014
401,2,3,30,2.500,2.575,0.075,0.500,0.525,0.025,1,1,1,0.262,0.025,0.014
401,2,5,1,4.000,3.930,-0.070,1.000,0.977,-0.023,1,1,1,0.297,0.022,0.017
401,2,5,2,4.000,3.934,-0.066,1.000,0.978,-0.022,2,1,0,0.288,0.025,0.016
401,2,5,3,4.000,3.925,-0.075,1.000,0.975,-0.025,2,2,1,0.404,0.024,0.016
401,2,5,4,4.000,3.929,-0.071,1.000,0.976,-0.024,2,1,0,0.366,0.027,0.016
401,2,5,5,4.000,3.920,-0.080,1.000,0.973,-0.027,1,1,1,0.283,0.026,0.016
401,2,5,6,4.000,3.924,-0.076,1.000,0.975,-0.025,1,1,1,0.208,0.024,0.016
401,2,5,7,4.000,3.927,-0.073,1.000,0.976,-0.024,1,2,0,0.420,0.027,0.016
401,2,5,8,4.000,3.920,-0.080,1.000,0.973,-0.027,2,2,1,0.309,0.026,0.016
401,2,5,9,4.000,3.923,-0.077,1.000,0.974,-0.026,2,1,0,1.103,0.029,0.015
401,2,5,10,4.000,3.915,-0.085,1.000,0.972,-0.028,1,2,0,0.372,0.031,0.015
401,2,5,11,4.000,3.908,-0.092,1.000,0.969,-0.031,2,2,1,1.076,0.030,0.015
401,2,5,12,4.000,3.911,-0.089,1.000,0.970,-0.030,1,1,1,2.127,0.029,0.015
401,2,5,13,4.000,3.914,-0.086,1.000,0.971,-0.029,1,2,0,2.161,0.031,0.015
401,2,5,14,4.000,3.907,-0.093,1.000,0.969,-0.031,1,1,1,0.397,0.030,0.015
401,2,5,15,4.000,3.910,-0.090,1.000,0.970,-0.030,1,2,0,2.207,0.033,0.015
401,2,5,16,4.000,3.903,-0.097,1.000,0.968,-0.032,1,1,1,0.197,0.032,0.015
401,2,5,17,4.000,3.906,-0.094,1.000,0.969,-0.031,1,1,1,0.261,0.031,0.014
401,2,5,18,4.000,3.909,-0.091,1.000,0.970,-0.030,1,1,1,0.248,0.030,0.014
401,2,5,19,4.000,3.912,-0.088,1.000,0.971,-0.029,1,2,0,1.994,0.032,0.014
401,2,5,20,4.000,3.905,-0.095,1.000,0.968,-0.032,2,2,1,0.207,0.031,0.014
401,2,5,21,4.000,3.908,-0.092,1.000,0.969,-0.031,1,1,1,0.808,0.030,0.014
401,2,5,22,4.000,3.911,-0.089,1.000,0.970,-0.030,2,2,1,1.131,0.029,0.014
401,2,5,23,4.000,3.913,-0.087,1.000,0.971,-0.029,1,1,1,0.133,0.028,0.014
401,2,5,24,4.000,3.916,-0.084,1.000,0.972,-0.028,2,2,1,1.807,0.028,0.014
401,2,5,25,4.000,3.919,-0.081,1.000,0.973,-0.027,1,1,1,0.131,0.027,0.014
401,2,5,26,4.000,3.922,-0.078,1.000,0.974,-0.026,1,1,1,0.124,0.026,0.014
