subject,active_capture_ratio,active_topn_overlap,active_oral_mass,oracle_topn_oral_mass
101,0.7703802908012308,0.36041666666666666,0.20349087281762554,0.2682389080617694
102,0.6781003225493865,0.25786516853932584,0.135976140764825,0.20370076411580051
103,0.5120990913450888,0.13541666666666666,0.16025298649657457,0.32067167036245786
104,0.5845925339003694,0.21116928446771377,0.16945549682754185,0.30009313626925294
105,0.9053519815026464,0.35978835978835977,0.23195161296276498,0.25798145435357867
106,0.7159956743461696,0.2947154471544715,0.1949405241824431,0.28036365445070316
107,0.5085300635997249,0.17017543859649123,0.14320112125102352,0.285128047219321
108,0.8061648925532781,0.2288995726495726,0.20915848833144296,0.25641365850243997
109,0.649391283959935,0.20823970037453182,0.1920962127627068,0.29984407493006915
110,0.581075508058033,0.25559284116331094,0.22687686711343544,0.39891567606869616
111,0.6121034376886889,0.25625,0.17615100010136964,0.2931373500065503
112,0.6265377430320962,0.39037433155080214,0.15112677131875668,0.24804413942661294
113,0.668277112574382,0.26649076517150394,0.17968901839985785,0.27632141113958675
114,0.5763561494271697,0.25409299279633263,0.16726553080188866,0.2963362981643076
115,0.7300627511923107,0.3645833333333333,0.19461879524552017,0.2724520922880693
116,0.5452909910272029,0.17857142857142858,0.13908892581293233,0.26206219829198757
117,0.8529425190207116,0.4850260416666667,0.17198085017962508,0.2095679064789507
118,0.6470824916101873,0.24227642276422762,0.18183393920623211,0.2925083801905318
119,0.6092605632883281,0.16696588868940754,0.18030745069291765,0.29953592662399287
120,0.6626257111105494,0.2951388888888889,0.23088410038817794,0.3547149289238008
121,0.6297927159515962,0.23218390804597702,0.17669008861405813,0.28929164718888
122,0.5402521421473067,0.15104166666666666,0.1718866379138872,0.3244656524813874
123,0.5123468465824927,0.15684348395546824,0.15897082379344465,0.31738164304282207
124,0.6851887804518187,0.29166666666666663,0.18805652307122372,0.28166848243133885
125,0.7989838846732431,0.296875,0.221608845026248,0.28719787940038205
126,0.566578800030736,0.171875,0.1734800661261183,0.3152968334257776
127,0.7120364544073873,0.32679738562091504,0.19694508914815292,0.28692639802978886
128,0.6735327828635548,0.2534722222222222,0.1836930086594034,0.2811960031958142
129,0.725341345033753,0.335042735042735,0.2422695638478677,0.3411229339157916
130,0.6973880210290112,0.3458005249343832,0.23944317385722028,0.3512517892418675
131,0.6773852514291469,0.33527131782945735,0.1427781402065829,0.21812595723190217
132,0.6230247931329711,0.20461095100864554,0.17274014783923852,0.28200815839899906
