trial_bin,trial_pct,active_capture_ratio_mean,active_capture_ratio_sem,active_topn_overlap_mean,active_topn_overlap_sem,active_oral_mass_mean,active_oral_mass_sem,oracle_topn_oral_mass_mean,oracle_topn_oral_mass_sem,random_expected_mass_mean,random_expected_mass_sem,n_active_mean,n_active_sem,active_fraction_mean,active_fraction_sem
1,0.025,0.5636594545168303,0.014073712591567252,0.2109946272846669,0.01774412351672358,0.17835617888854072,0.0056653091734244765,0.32255972559400264,0.009160283544405607,0.16469695430001569,0.0038518696758228802,3.1292421317002983,0.07318552384063473,0.16469695430001569,0.0038518696758228802
2,0.075,0.5717165412634495,0.017311660390602595,0.18484221424430403,0.013727272709748415,0.1716873339903271,0.005204912079807759,0.3082735886602408,0.0073446015140155845,0.16365131578947367,0.00376985173849498,3.109375,0.0716271830314046,0.16365131578947367,0.00376985173849498
3,0.125,0.581097013626291,0.018921976920683863,0.20673112170877472,0.015520062740637327,0.1716744410573408,0.005854343658185041,0.30133517317523656,0.0073592842779441415,0.1593221334586466,0.004304962209086601,3.027120535714286,0.08179428197264543,0.1593221334586466,0.004304962209086601
4,0.175,0.6158091343877092,0.02625529969562887,0.2191757364763121,0.02384861753721451,0.17935092166167982,0.007401202901627441,0.29913074214984825,0.00841034421182885,0.15784183594952292,0.004557905504031994,2.9989948830409356,0.0866002045766079,0.15784183594952292,0.004557905504031994
5,0.225,0.6081535979394752,0.023709149352013424,0.1992914025742188,0.021305070414341893,0.1761735166097306,0.005691852658061248,0.29771228260954635,0.008223684148914726,0.15773026315789473,0.004845967441549071,2.996875,0.09207338138943237,0.15773026315789473,0.004845967441549071
6,0.275,0.5923929515811946,0.02283902408747751,0.1879935863324021,0.019553479148040866,0.17450598610369447,0.006112068201303788,0.3022772273217408,0.008433419015715758,0.15890466297322253,0.004453320126052603,3.0191885964912277,0.08461308239499944,0.15890466297322253,0.004453320126052603
7,0.325,0.6128231566280049,0.020400768677637605,0.19748900298653588,0.019627815816303372,0.17580376895675637,0.0057935622937274785,0.2948916342435891,0.007941033692002053,0.15919321329639888,0.004429032945366378,3.0246710526315788,0.08415162596196119,0.15919321329639888,0.004429032945366378
8,0.375,0.5965155842872364,0.023493828671278787,0.19787181842643267,0.023238129048245862,0.1732120916444675,0.005860451835900202,0.29953492044018815,0.007105854616029292,0.1589912280701754,0.004451790976178101,3.020833333333333,0.08458402854738392,0.1589912280701754,0.004451790976178101
9,0.425,0.6311211298044811,0.026831117301180953,0.2285461123762933,0.02467383550229114,0.18076398968850776,0.006404164657143446,0.296510417748983,0.007708798580438326,0.15865939519852262,0.004470423936738865,3.01452850877193,0.08493805479803843,0.15865939519852262,0.004470423936738865
10,0.475,0.6363838188914254,0.030469954086876107,0.2641892016875033,0.024856222334253743,0.1789981212511365,0.0080775257310872,0.29178555263693406,0.008319166308140762,0.15637335526315788,0.0047702342164275555,2.97109375,0.09063445011212355,0.15637335526315788,0.0047702342164275555
11,0.525,0.6737094496070051,0.024340760946138233,0.28955089501142134,0.02515387833938299,0.18988447625008892,0.005836540464499266,0.29158582560124563,0.008315909293690905,0.15820531627597573,0.004645183580276,3.005901009243539,0.088258488025244,0.15820531627597573,0.004645183580276
12,0.575,0.680932716900937,0.02762691068547006,0.2858524192904498,0.024518527875494373,0.18799473664627164,0.006469966554898441,0.28688708796756635,0.008310450342413457,0.1548558365353111,0.005250110258911307,2.942260894170911,0.09975209491931483,0.1548558365353111,0.005250110258911307
13,0.625,0.6637497981816152,0.025154398576193858,0.2873693904997076,0.02138432409091267,0.18331159047529663,0.006110442144815468,0.2849730268148911,0.009243701832794424,0.15296052631578946,0.005470948590757302,2.90625,0.10394802322438876,0.15296052631578946,0.005470948590757302
14,0.675,0.6768378032851595,0.026029274876386878,0.3085187989496958,0.0247172536525489,0.18663989379554677,0.006897686293865525,0.2844377809651234,0.009222587589244978,0.15296052631578946,0.005470948590757303,2.90625,0.10394802322438876,0.15296052631578946,0.005470948590757303
15,0.725,0.7025198966405277,0.025407444115901727,0.33449538592022854,0.023530785829368267,0.19125977121479898,0.006592489960862222,0.2794839720650628,0.008200619820614864,0.15347126038781161,0.005338810343626768,2.915953947368421,0.10143739652890862,0.15347126038781161,0.005338810343626768
16,0.775,0.7367957567903884,0.02768973883593545,0.32628534889334515,0.0257787350575187,0.1955663154479844,0.0073368821419114395,0.27273276734293816,0.008911904416745539,0.15314327485380114,0.0054223899389314965,2.9097222222222223,0.10302540883969843,0.15314327485380114,0.0054223899389314965
17,0.825,0.7254529168360175,0.02635148028850601,0.3130378909911611,0.02886425809545132,0.1928817218698396,0.00790293785151595,0.27154012428802987,0.009192311524187468,0.15296052631578946,0.005470948590757303,2.90625,0.10394802322438876,0.15296052631578946,0.005470948590757303
18,0.875,0.7343777394862913,0.03007166506304832,0.323814316061308,0.029388226770482747,0.19299298487192795,0.008515768508066185,0.2690769028487237,0.009458276164175711,0.15280135823429541,0.005647979603791578,2.903225806451613,0.10731161247204,0.15280135823429541,0.005647979603791578
19,0.925,0.764002494528381,0.02916357870184357,0.34592720388773024,0.03126600900854071,0.1997811966566351,0.008731914339196843,0.26664275122179554,0.00963996533164574,0.1526315789473684,0.005836851733348958,2.9,0.1109001829336302,0.1526315789473684,0.005836851733348958
20,0.975,0.7699392538884122,0.029532226567633768,0.34565875789578454,0.03053078736225797,0.20113082246157077,0.009105538175214272,0.26591018498399954,0.009371176754444245,0.15280135823429541,0.005647979603791578,2.903225806451613,0.10731161247204,0.15280135823429541,0.005647979603791578
