neck_length,head_length,leg_length,tail_length,neck_angle,head_angle,leg_angle,tail_angle,timestamp
0.5,0.5,0.50723297522001,0.5,0.5,0.5,0.5,0.5,1734072424594
0.5,0.5,0.5118942510454,0.5,0.5,0.5,0.5,0.5,1734072424617
0.5,0.5,0.52382094564554,0.5,0.5,0.5,0.5,0.5,1734072424627
0.5,0.5,0.53829531673425,0.5,0.5,0.5,0.5,0.5,1734072424637
0.5,0.5,0.55021868541162,0.5,0.5,0.5,0.5,0.5,1734072424647
0.5,0.5,0.56941250813192,0.5,0.5,0.5,0.5,0.5,1734072424657
0.5,0.5,0.5838859190683,0.5,0.5,0.5,0.5,0.5,1734072424667
0.5,0.5,0.58854136324917,0.5,0.5,0.5,0.5,0.5,1734072424677
0.5,0.5,0.6175188151256,0.5,0.5,0.5,0.5,0.5,1734072424687
0.5,0.5,0.62943340209195,0.5,0.5,0.5,0.5,0.5,1734072424697
0.5,0.5,0.64390569833648,0.5,0.5,0.5,0.5,0.5,1734072424711
0.5,0.5,0.65113794368736,0.5,0.5,0.5,0.5,0.5,1734072424719
0.5,0.5,0.66560987281972,0.5,0.5,0.5,0.5,0.5,1734072424727
0.5,0.5,0.67284202784471,0.5,0.5,0.5,0.5,0.5,1734072424759
0.5,0.5,0.68007415370817,0.5,0.5,0.5,0.5,0.5,1734072424829
0.5,0.5,0.68730625086022,0.5,0.5,0.5,0.5,0.5,1734072424857
0.5,0.5,0.69453831974066,0.5,0.5,0.5,0.5,0.5,1734072424869
0.5,0.5,0.70177036077923,0.5,0.5,0.5,0.5,0.5,1734072424885
0.5,0.5,0.70900237439597,0.5,0.5,0.5,0.5,0.5,1734072424893
0.5,0.5,0.71623436100146,0.5,0.5,0.5,0.5,0.5,1734072424901
0.5,0.5,0.73070528653966,0.5,0.5,0.5,0.5,0.5,1734072424927
0.5,0.5,0.73793719445985,0.5,0.5,0.5,0.5,0.5,1734072424957
0.5,0.5,0.74516907692263,0.5,0.5,0.5,0.5,0.5,1734072424967
0.5,0.5,0.75963959791844,0.5,0.5,0.5,0.5,0.5,1734072424981
0.5,0.5,0.76687140615928,0.5,0.5,0.5,0.5,0.5,1734072424997
0.5,0.5,0.78663084472595,0.5,0.5,0.5,0.5,0.5,1734072425011
0.5,0.5,0.79386256496308,0.5,0.5,0.5,0.5,0.5,1734072425019
0.5,0.5,0.80373192347462,0.5,0.5,0.5,0.5,0.5,1734072425027
0.5,0.5,0.81096359027167,0.5,0.5,0.5,0.5,0.5,1734072425037
0.5,0.5,0.82805311767364,0.5,0.5,0.5,0.5,0.5,1734072425051
0.5,0.5,0.8352847113689,0.5,0.5,0.5,0.5,0.5,1734072425059
0.5,0.5,0.852374199198,0.5,0.5,0.5,0.5,0.5,1734072425075
0.5,0.5,0.8694636602494,0.5,0.5,0.5,0.5,0.5,1734072425083
0.5,0.5,0.8937799917046,0.5,0.5,0.5,0.5,0.5,1734072425107
0.5,0.5,0.90101140330112,0.5,0.5,0.5,0.5,0.5,1734072425123
0.5,0.5,0.920766169452,0.5,0.5,0.5,0.5,0.5,1734072425147
0.5,0.5,0.92341935776528,0.5,0.5,0.5,0.5,0.5,1734072425157
0.5,0.5,0.93065069387777,0.5,0.5,0.5,0.5,0.5,1734072425167
