iSession,stiID,body_ori,neck_length,head_length,leg_length,tail_length,neck_angle,head_angle,leg_angle,tail_angle,category,ambigous1,ambigous2
1,1,-1,0.24390149414115345,0.849556946422285,0.4807136088670822,0.03641765836130432,0.5,0.5,0.5,0.5,1,0,1
1,2,1,0.49973272951987135,0.4011498235381182,0.02683332337585357,0.007977198951118019,0.5,0.5,0.5,0.5,1,0,1
1,3,1,0.42012728453021503,0.6170946758495388,0.0758794493242487,0.3832158395096811,0.5,0.5,0.5,0.5,1,0,0
1,4,-1,0.43936805802633405,0.8123908506441658,0.0322726527500072,0.05582094590236748,0.5,0.5,0.5,0.5,1,0,0
1,5,-1,0.15423663096922624,0.45299340371689534,0.2545716310638009,0.19500086046807386,0.5,0.5,0.5,0.5,1,0,0
1,6,-1,0.038206474424638016,0.6028531325586476,0.39918051711309555,0.1557445946645822,0.5,0.5,0.5,0.5,1,0,0
1,7,-1,0.3438272788267314,0.09812284041625843,0.2076223386466421,0.4520425349175414,0.5,0.5,0.5,0.5,1,1,1
1,8,1,0.05512966273063536,0.9197328683998468,0.2034682212149629,0.2822364268132664,0.5,0.5,0.5,0.5,1,0,0
1,9,1,0.5386810224339358,0.5672015141704945,0.30020784035857173,0.6634877190667406,0.5,0.5,0.5,0.5,3,0,1
1,10,-1,0.4898802346242833,0.6656368123266796,0.43935645493239245,0.9847547790363054,0.5,0.5,0.5,0.5,3,0,0
1,11,1,0.5498855849935536,0.6914079107293525,0.20048089931249022,0.7519594585141055,0.5,0.5,0.5,0.5,3,0,1
1,12,1,0.13794331303541602,0.27960840974109036,0.12900426182987226,0.7499842468782906,0.5,0.5,0.5,0.5,3,0,0
1,13,-1,0.15637241532803436,0.3819007483609887,0.08244701928099092,0.8716514986672855,0.5,0.5,0.5,0.5,3,0,0
1,14,1,0.42540520212706423,0.7451669662370338,0.21317642456409927,0.7572463768115345,0.5,0.5,0.5,0.5,3,0,0
1,15,-1,0.08475962802170404,0.47627321436196196,0.07040832865304776,0.5902040765255407,0.5,0.5,0.5,0.5,3,1,1
1,16,1,0.4089167719093285,0.11919026941891836,0.19473710694105598,0.5840241170419008,0.5,0.5,0.5,0.5,3,0,0
1,17,-1,0.16689136822705913,0.4816100401810133,0.8042121271050959,0.10689712613387055,0.5,0.5,0.5,0.5,1,0,0
1,18,-1,0.5061980457853644,0.9930631737789285,0.7643153485066109,0.14577651919173354,0.5,0.5,0.5,0.5,1,0,1
1,19,-1,0.41023565993639977,0.6709520965960339,0.7743260094711865,0.21476859633147144,0.5,0.5,0.5,0.5,1,0,0
1,20,1,0.25195646267819305,0.933419372982681,0.5350549190738533,0.36179813835072666,0.5,0.5,0.5,0.5,1,0,1
1,21,1,0.06468606551472499,0.11939649479255848,0.6732786872598202,0.06652833104687889,0.5,0.5,0.5,0.5,1,0,0
1,22,-1,0.3045870385561629,0.15781119013494946,0.8934439249104743,0.20029302859569398,0.5,0.5,0.5,0.5,1,0,0
