iSub,version,condition,iSession,iBlock,iTrial,neck_length,head_length,leg_length,tail_length,neck_angle,head_angle,leg_angle,tail_angle,feature1,feature2,feature3,feature4,category,choice,feedback,ambigous,choRT,neck_oral,head_oral,leg_oral,tail_oral,text,human_feature_1,human_feature_2,human_feature_3,human_feature_4,neck_use,head_use,leg_use,tail_use,feature1_use,feature2_use,feature3_use,feature4_use,choice_1_feature_1,choice_1_feature_2,choice_1_feature_3,choice_1_feature_4,choice_2_feature_1,choice_2_feature_2,choice_2_feature_3,choice_2_feature_4
19,1,1,1,1,1,0.95925218129065,0.291182076991372,0.173673110507327,0.472100837077826,0.5,0.5,0.5,0.5,0.472100837077826,0.95925218129065,0.291182076991372,0.173673110507327,2,1,1.0,1,5.772,0.75,0.75,0.5,0.5,头比较长，脖子也比较长。,0.5,0.75,0.75,0.5,1,1,0,0,0,1,1,0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666
19,1,1,1,1,2,0.268524481797995,0.87368307169847,0.97969104060504,0.204967458820851,0.5,0.5,0.5,0.5,0.204967458820851,0.268524481797995,0.87368307169847,0.97969104060504,1,2,0.0,0,10.66,0.5,0.5,0.75,0.5,腿比较长。,0.5,0.5,0.5,0.75,0,0,1,0,0,0,0,1,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333
19,1,1,1,1,3,0.003745051985714,0.469206377688053,0.021732357852775,0.016677272787802,0.5,0.5,0.5,0.5,0.016677272787802,0.003745051985714,0.469206377688053,0.021732357852775,1,2,0.0,0,2.743,0.5,0.75,0.25,0.25,腿很短，尾巴也短，头很长。,0.25,0.5,0.75,0.25,0,1,1,1,1,0,1,1,0.3333333333333333,0.5,0.3333333333333333,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5
19,1,1,1,1,4,0.715881069434691,0.88296582026256,0.548226240265685,0.340328858219261,0.5,0.5,0.5,0.5,0.340328858219261,0.715881069434691,0.88296582026256,0.548226240265685,2,1,1.0,0,5.34,0.75,0.75,0.5,0.5,头很长，脖子很长。,0.5,0.75,0.75,0.5,1,1,0,0,0,1,1,0,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.5
19,1,1,1,1,5,0.79106622742739,0.670054513277955,0.648953722193421,0.84439848967511,0.5,0.5,0.5,0.5,0.84439848967511,0.79106622742739,0.670054513277955,0.648953722193421,4,1,0.0,0,5.088,0.75,0.75,0.5,0.5,头很长，脖子也很长。,0.5,0.75,0.75,0.5,1,1,0,0,0,1,1,0,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.5
19,1,1,1,1,6,0.637709119084897,0.076999536875599,0.86565335315268,0.91893385900784,0.5,0.5,0.5,0.5,0.91893385900784,0.637709119084897,0.076999536875599,0.86565335315268,3,2,1.0,0,3.971,0.5,0.25,0.75,0.75,头短，尾巴长，腿也长。,0.75,0.5,0.25,0.75,0,1,1,1,1,0,1,1,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333
19,1,1,1,1,7,0.011345037066549,0.078695362388975,0.707099197890239,0.136948605682218,0.5,0.5,0.5,0.5,0.136948605682218,0.011345037066549,0.078695362388975,0.707099197890239,1,2,0.0,0,7.445,0.5,0.25,0.5,0.25,头短，尾巴也很短。,0.25,0.5,0.25,0.5,0,1,0,1,1,0,1,0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333
19,1,1,1,1,8,0.81411852921252,0.510725495561939,0.442905521885221,0.314507018363772,0.5,0.5,0.5,0.5,0.314507018363772,0.81411852921252,0.510725495561939,0.442905521885221,2,1,1.0,0,2.654,0.75,0.75,0.5,0.25,头长，脖子长，尾巴也不是很短。,0.25,0.75,0.75,0.5,1,1,0,1,1,1,1,0,0.3333333333333333,0.6666666666666666,0.5,0.5,0.6666666666666666,0.3333333333333333,0.5,0.5
19,1,1,1,1,9,0.281534396226082,0.8601862937757,0.92888299698981,0.87695724056098,0.5,0.5,0.5,0.5,0.87695724056098,0.281534396226082,0.8601862937757,0.92888299698981,4,1,0.0,0,3.87,0.75,0.75,0.5,0.75,头长，脖子长，尾巴长。,0.75,0.75,0.75,0.5,1,1,0,1,1,1,1,0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666
19,1,1,1,1,10,0.189860281584829,0.406041754692185,0.8104347975321,0.257239589563405,0.5,0.5,0.5,0.5,0.257239589563405,0.189860281584829,0.406041754692185,0.8104347975321,1,2,0.0,0,2.28,0.25,0.75,0.5,0.25,头长，脖子短，尾巴短。,0.25,0.25,0.75,0.5,1,1,0,1,1,1,1,0,0.3333333333333333,0.5,0.3333333333333333,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5
19,1,1,1,1,11,0.49753550261269,0.743491397237485,0.399448956825201,0.462099595743964,0.5,0.5,0.5,0.5,0.462099595743964,0.49753550261269,0.743491397237485,0.399448956825201,1,1,1.0,1,3.657,0.75,0.75,0.25,0.75,头长，脖子长，尾巴长，腿也不短。,0.75,0.75,0.75,0.25,1,1,1,1,1,1,1,1,0.5,0.3333333333333333,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5,0.3333333333333333
19,1,1,1,1,12,0.345127652568992,0.466511151180411,0.262346959921831,0.075400630520948,0.5,0.5,0.5,0.5,0.075400630520948,0.345127652568992,0.466511151180411,0.262346959921831,1,2,0.0,0,3.198,0.75,0.75,0.25,0.25,除了头跟脖子，其他都很短。,0.25,0.75,0.75,0.25,1,1,0,0,0,1,1,0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666
19,1,1,1,1,13,0.354010991990606,0.97517753080476,0.298969936742479,0.79592991148913,0.5,0.5,0.5,0.5,0.79592991148913,0.354010991990606,0.97517753080476,0.298969936742479,4,1,0.0,0,2.382,0.25,0.75,0.5,0.75,头长，脖子不短，尾巴也很长。,0.75,0.25,0.75,0.5,1,1,0,1,1,1,1,0,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.5
19,1,1,1,1,14,0.05222071624136,0.85508886510786,0.145869198611122,0.415162743724929,0.5,0.5,0.5,0.5,0.415162743724929,0.05222071624136,0.85508886510786,0.145869198611122,1,2,0.0,0,5.428,0.25,0.75,0.25,0.75,头长，脖子短，腿也很短，尾巴长。,0.75,0.25,0.75,0.25,1,1,1,1,1,1,1,1,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.5
19,1,1,1,1,15,0.599021066943202,0.654038972910543,0.99986923045164,0.93378378618001,0.5,0.5,0.5,0.5,0.93378378618001,0.599021066943202,0.654038972910543,0.99986923045164,4,1,0.0,0,5.28,0.75,0.75,0.75,0.75,体型看上去很大，各个部位都很长。,0.75,0.75,0.75,0.75,0,0,0,0,0,0,0,0,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.5
19,1,1,1,1,16,0.678606040390368,0.80830661928986,0.457707508616531,0.229380407139241,0.5,0.5,0.5,0.5,0.229380407139241,0.678606040390368,0.80830661928986,0.457707508616531,2,1,1.0,0,7.442,0.5,0.5,0.5,0.25,尾巴很短。,0.25,0.5,0.5,0.5,0,0,0,1,1,0,0,0,0.3333333333333333,0.5,0.5,0.3333333333333333,0.6666666666666666,0.5,0.5,0.6666666666666666
