iSub,iSession,iTrial,invalid,noinfo,neck_value,head_value,leg_value,tail_value,neck_direct,head_direct,leg_direct,tail_direct,neck_indirect,head_indirect,leg_indirect,tail_indirect,text
3,1,1,0,0,2,1,2,3,1,1,1,1,NA,NA,NA,NA,头短，尾巴长，脖子中等，腿中等。
3,1,2,0,0,3,1,3,1,1,1,1,1,NA,NA,NA,NA,头短，尾巴短，脖子长，腿长。
3,1,3,0,0,3,1,3,1,1,1,1,1,NA,NA,NA,NA,头短，尾巴短，脖子长，腿长。
3,1,4,0,0,2,2,1,3,1,1,1,1,NA,NA,NA,NA,腿短，头中等，脖子中等，尾巴长。
3,1,5,0,0,3,1,3,3,1,1,1,1,NA,NA,NA,NA,头短，脖子长，尾巴长，腿长。
3,1,6,0,0,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,腿中等。
3,1,7,0,0,3,3,1,1,1,1,1,1,NA,NA,NA,NA,腿短，尾巴短，脖子长，头长。
3,1,8,0,0,3,3,1,3,1,1,1,1,NA,NA,NA,NA,腿短，脖子长，尾巴长，头长。
3,1,9,0,0,NA,3,3,NA,NA,1,1,NA,NA,NA,NA,NA,腿长，头长。
3,1,10,0,0,3,2,2,3,1,1,1,1,NA,NA,NA,NA,头中等，腿中等，脖子长，尾巴长。
3,1,11,0,0,3,2,1,3,1,1,1,1,NA,NA,NA,NA,腿短，头中等，脖子长，尾巴长。
3,1,12,0,0,2,2,3,2,1,1,1,1,NA,NA,NA,NA,头中等，脖子中等，腿长，尾巴中等。
3,1,13,0,0,1,3,3,1,1,1,1,1,NA,NA,NA,NA,尾巴短，脖子短，头长，腿长。
3,1,14,0,0,3,2,3,2,1,1,1,1,NA,NA,NA,NA,脖子长，腿长，头中等，尾巴中等。
3,1,15,0,0,1,3,3,3,1,1,1,1,NA,NA,NA,NA,脖子短，头长，尾巴长，腿长。
3,1,16,0,0,3,3,1,3,1,1,1,1,NA,NA,NA,NA,腿短，脖子长，头长，尾巴长。
3,1,17,0,0,3,3,3,3,1,1,1,1,NA,NA,NA,NA,脖子长，头长，尾巴长，腿长。
3,1,18,0,0,1,3,1,1,1,1,1,1,NA,NA,NA,NA,头长，脖子短，尾巴短，腿短。
3,1,19,0,0,3,1,1,3,1,1,1,1,NA,NA,NA,NA,腿短，头短，脖子长，尾巴长。
3,1,20,0,0,3,3,NA,NA,1,1,NA,NA,NA,NA,NA,NA,头长，脖子长。
3,1,21,0,0,3,1,1,1,1,1,1,1,NA,NA,NA,NA,脖子长，头短，腿短，尾巴短。
3,1,22,0,0,3,1,1,1,1,1,1,1,NA,NA,NA,NA,脖子长，头短，尾巴短，腿短。
3,1,23,0,0,3,3,1,3,1,1,1,1,NA,NA,NA,NA,腿短，头长，脖子长，尾巴长。
3,1,24,0,0,1,3,3,3,1,1,1,1,NA,NA,NA,NA,脖子短，头长，腿长，尾巴长。
3,1,25,0,0,3,3,1,1,1,1,1,1,NA,NA,NA,NA,腿短，尾巴短，脖子长，头长。
3,1,26,0,0,3,3,1,3,1,1,1,1,NA,NA,NA,NA,腿短，脖子长，头长，尾巴长。
3,1,27,0,0,1,3,3,1,1,1,1,1,NA,NA,NA,NA,脖子短，腿长，尾巴短，头长。
3,1,28,0,0,1,1,3,1,1,1,1,1,NA,NA,NA,NA,腿长，脖子短，头短，尾巴短。
3,1,29,0,0,1,3,1,3,1,1,1,1,NA,NA,NA,NA,腿短，脖子短，头长，尾巴长。
3,1,30,0,0,1,1,3,3,1,1,1,1,NA,NA,NA,NA,腿长，尾巴长，头短，脖子短。
3,1,31,0,0,2,2,2,1,1,1,1,1,NA,NA,NA,NA,腿中等，脖子中等，头中等，尾巴短。
3,1,32,0,0,3,3,1,3,1,1,1,1,NA,NA,NA,NA,腿短，头长，脖子长，尾巴长。
3,1,33,0,0,3,3,1,1,1,1,1,1,NA,NA,NA,NA,腿短，尾巴短，脖子长，头长。
3,1,34,0,0,1,3,3,3,1,1,1,1,NA,NA,NA,NA,脖子短，头长，腿长，尾巴长。
3,1,35,0,0,1,3,3,1,1,1,1,1,NA,NA,NA,NA,腿长，头长，脖子短，尾巴短。
