iSession,stiID,body_ori,neck_length,head_length,leg_length,tail_length,neck_angle,head_angle,leg_angle,tail_angle,category,ambigous1,ambigous2
1,1,1,0.19393970756292897,0.3943547124106924,0.804437585780501,0.26411674235069543,0.5,0.5,0.5,0.5,1,0,0
1,2,-1,0.016359932473170267,0.07874601229466832,0.6961486545013739,0.13768913750724798,0.5,0.5,0.5,0.5,1,0,0
1,3,-1,0.4977811384406018,0.05062423303866742,0.2641416665471277,0.30222482506081066,0.5,0.5,0.5,0.5,1,0,1
1,4,-1,0.04283176187402383,0.3339674162861646,0.6386484028220447,0.017561439527836537,0.5,0.5,0.5,0.5,1,0,0
1,5,-1,0.15937549980979004,0.1792701529758486,0.9749577831704712,0.33635666395507585,0.5,0.5,0.5,0.5,1,0,0
1,6,1,0.3534464904752175,0.45311456679644097,0.26766184047893066,0.07754980167133897,0.5,0.5,0.5,0.5,1,0,1
1,7,1,0.010326586220326301,0.4722618713281712,0.023196189478731977,0.02376679208111652,0.5,0.5,0.5,0.5,1,0,1
1,8,-1,0.10630888213293874,0.1417665334851262,0.5990056931297967,0.18131140040062277,0.5,0.5,0.5,0.5,1,0,0
1,9,1,0.07824919403211654,0.17529387486181586,0.34378793332107954,0.8114554186316524,0.5,0.5,0.5,0.5,3,0,0
1,10,1,0.09854542797982868,0.138808725967176,0.9462603167230016,0.9720962872227734,0.5,0.5,0.5,0.5,3,0,0
1,11,1,0.47966062270776444,0.11824257615375319,0.4637535606618744,0.8125523722936834,0.5,0.5,0.5,0.5,3,0,0
1,12,-1,0.5448584889298398,0.3397016913714936,0.0021858617258689508,0.647655743472381,0.5,0.5,0.5,0.5,3,0,1
1,13,1,0.4359950361242262,0.3583217701817432,0.12870591596859488,0.6837100427724705,0.5,0.5,0.5,0.5,3,0,0
1,14,-1,0.21005353718562525,0.4858189962817884,0.30233456507403256,0.9534146349166275,0.5,0.5,0.5,0.5,3,0,1
1,15,1,0.5435150646061543,0.15921369750177747,0.6751136403736776,0.9555583675391853,0.5,0.5,0.5,0.5,3,0,1
1,16,1,0.24702019018141988,0.15394191190705997,0.7904738177642262,0.6439046141516337,0.5,0.5,0.5,0.5,3,0,0
1,17,-1,0.5342469588815113,0.8157426056788732,0.3641852865209629,0.47491349993730875,0.5,0.5,0.5,0.5,1,1,1
1,18,1,0.5209442580421465,0.7698191646473093,0.40129442905144846,0.5100851976849298,0.5,0.5,0.5,0.5,1,1,1
1,19,1,0.28093506438934945,0.8871011012795142,0.9808557118576273,0.20748526499878542,0.5,0.5,0.5,0.5,1,0,0
1,20,-1,0.1756208973251428,0.8102018397790821,0.6072912747265482,0.31825648660122124,0.5,0.5,0.5,0.5,1,0,0
1,21,1,0.0600434002419981,0.9320766552117302,0.10296618477528986,0.15422288139094598,0.5,0.5,0.5,0.5,1,0,0
1,22,1,0.04783841739404193,0.7718041494158265,0.3158466749332664,0.05541581028925086,0.5,0.5,0.5,0.5,1,0,0
