iSub,iSession,iTrial,invalid,noinfo,neck_value,head_value,leg_value,tail_value,neck_direct,head_direct,leg_direct,tail_direct,neck_indirect,head_indirect,leg_indirect,tail_indirect,text
15,1,1,0,0,3,1,NA,2,1,1,NA,1,NA,NA,NA,NA,脖子很长，尾巴中等长度，腿和头比较短。
15,1,2,0,0,NA,1,NA,3,NA,1,NA,1,NA,NA,NA,NA,脖子、腿、尾巴都很长，头很短。
15,1,3,0,0,3,NA,2,2,1,NA,1,1,NA,NA,NA,NA,头、脖子特别长，尾巴和腿中等长度。
15,1,4,0,0,2,1,3,NA,1,1,1,NA,NA,NA,NA,NA,尾巴和腿很长，脖子中等长度，头比较短。
15,1,5,0,0,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,头、脖子、腿和尾巴都是中等长度。
15,1,6,0,0,NA,NA,1,3,NA,NA,1,1,NA,NA,NA,NA,脖子尾巴很长，头和腿较短。
15,1,7,0,0,1,NA,NA,3,1,NA,NA,1,NA,NA,NA,NA,头、腿和尾巴都很长，脖子较短。
15,1,8,0,0,2,3,2,1,1,1,1,1,NA,NA,NA,NA,头很长，脖子和腿中等长度，尾巴较短。
15,1,9,0,0,NA,NA,3,1,NA,NA,1,1,NA,NA,NA,NA,头和腿很长，脖子和尾巴很短。
15,1,10,0,0,NA,NA,3,2,NA,NA,1,1,NA,NA,NA,NA,头和腿很长，脖子和尾巴中等长度。
15,1,11,0,0,NA,NA,3,2,NA,NA,1,1,NA,NA,NA,NA,头、脖子、腿很长，尾巴中等长度。
15,1,12,0,0,NA,2,NA,3,NA,1,NA,1,NA,NA,NA,NA,脖子、腿、尾巴都很长，头中等长度。
15,1,13,0,0,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,头很长。
15,1,14,0,0,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,脖子长。
15,1,15,0,0,2,NA,2,1,1,NA,1,1,NA,NA,NA,NA,头、脖子、腿中等长度，尾巴较短。
15,1,16,0,0,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,脖子长。
15,1,17,0,0,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,脖子长。
15,1,18,0,0,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,腿长，其他部分较短。
15,1,19,0,0,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,头长。
15,1,20,0,0,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,头长。
15,1,21,0,0,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,腿长。
15,1,22,0,0,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,头长。
15,1,23,0,0,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,腿长。
15,1,24,0,0,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,头长。
15,1,25,0,0,1,NA,3,3,1,NA,1,1,NA,NA,NA,NA,尾巴和腿长，头和脖子较短。
15,1,26,0,0,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,头长。
15,1,27,0,0,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,脖子长。
15,1,28,0,0,2,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,头和脖子中等长度，腿和尾巴很短。
15,1,29,0,0,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,头长。
15,1,30,0,0,1,3,NA,NA,1,1,NA,NA,NA,NA,NA,NA,头长，脖子短，其他中等长度。
15,1,31,0,0,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,腿长。
15,1,32,0,0,3,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,头短，脖子长，其他中等长度。
15,1,33,0,0,3,1,3,2,1,1,1,1,NA,NA,NA,NA,腿长，脖子长，头短，尾巴中等长度。
15,1,34,0,0,2,3,3,1,1,1,1,1,NA,NA,NA,NA,腿长，头长，脖子中等长度，尾巴比较短。
15,1,35,0,0,3,3,3,2,1,1,1,1,NA,NA,NA,NA,腿长，头长，脖子长，尾巴中等长度。
15,1,36,0,0,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,腿长，其他部分较短。
15,1,37,0,0,3,3,3,2,1,1,1,1,NA,NA,NA,NA,头长，脖子长，腿长，尾巴中等长度。
15,1,38,0,0,2,3,NA,NA,1,1,NA,NA,NA,NA,NA,NA,头长，脖子中等长度，其他部分较短。
15,1,39,0,0,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,脖子长，其他部分中等长度。
15,1,40,0,0,1,NA,3,2,1,NA,1,1,NA,NA,NA,NA,腿长，尾巴中等长度，头和脖子较短。
15,1,41,0,0,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,脖子长，其他部分中等长度。
15,1,42,0,0,NA,3,3,NA,NA,1,1,NA,NA,NA,NA,NA,头长，腿长。
15,1,43,0,0,2,3,3,3,1,1,1,1,NA,NA,NA,NA,头长，腿长，尾巴长，脖子中等长度。
15,1,44,0,0,NA,NA,3,3,NA,NA,1,1,NA,NA,NA,NA,腿长，尾巴长。
15,1,45,0,0,1,3,3,3,1,1,1,1,NA,NA,NA,NA,头长，脖子短，腿长，尾巴长。
15,1,46,0,0,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,腿长。
15,1,47,0,0,NA,3,NA,3,NA,1,NA,1,NA,NA,NA,NA,头长，尾巴长。
