iSub,iSession,iTrial,invalid,noinfo,neck_value,head_value,leg_value,tail_value,neck_direct,head_direct,leg_direct,tail_direct,neck_indirect,head_indirect,leg_indirect,tail_indirect,text
8,1,1,0,0,3,NA,3,1,1,NA,1,1,NA,NA,NA,NA,脖子和腿长，头和尾巴短。
8,1,2,0,0,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,脖子、腿短。
8,1,3,0,0,NA,NA,1,1,NA,NA,1,1,NA,NA,NA,NA,腿短，尾巴短。
8,1,4,0,0,1,NA,3,NA,1,NA,1,NA,NA,NA,NA,NA,腿长，脖子短。
8,1,5,0,0,NA,NA,1,1,NA,NA,1,1,NA,NA,NA,NA,腿短，尾巴短。
8,1,6,0,0,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,腿短。
8,1,7,0,0,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,头短。
8,1,8,0,0,3,3,NA,NA,1,1,NA,NA,NA,NA,NA,NA,腿、脖子、头长。
8,1,9,0,0,NA,3,NA,3,NA,1,NA,1,NA,NA,NA,NA,尾巴头长。
8,1,10,0,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,脖子短。
8,1,11,0,0,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,尾巴短。
8,1,12,0,0,3,NA,1,1,1,NA,1,1,NA,NA,NA,NA,脖子长，头和腿较短，尾巴最短。
8,1,13,0,0,3,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,尾巴短，头和脖子一样长。
8,1,14,0,0,3,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,尾巴短，腿和脖子较长。
8,1,15,0,0,NA,NA,1,3,NA,NA,1,1,NA,NA,NA,NA,头和尾巴长，腿短。
8,1,16,0,0,3,NA,3,3,1,NA,1,1,NA,NA,NA,NA,头和脖子一样长，腿较长，尾巴最长。
8,1,17,0,0,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,尾巴长于其他部位。
8,1,18,0,0,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,头和脖子一样长。
8,1,19,0,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,脖子短。
8,1,20,0,0,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,腿长。
8,1,21,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,头、脖子、尾巴、腿差不多长。
8,1,22,0,0,1,NA,NA,3,1,NA,NA,1,NA,NA,NA,NA,尾巴长，头，腿和脖子比较短。
8,1,23,0,0,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,头、脖子差不多长，腿和尾巴较短。
8,1,24,0,0,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,头、脖子、尾巴都比较长，腿最短。
8,1,25,0,0,NA,1,NA,3,NA,1,NA,1,NA,NA,NA,NA,脖子、腿、尾巴长，头较短。
8,1,26,0,0,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,头长。
