iSub,iSession,iTrial,invalid,noinfo,neck_value,head_value,leg_value,tail_value,neck_direct,head_direct,leg_direct,tail_direct,neck_indirect,head_indirect,leg_indirect,tail_indirect,text
19,1,1,0,0,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,头比较长，脖子也比较长。
19,1,2,0,0,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,腿比较长。
19,1,3,0,0,NA,3,1,1,NA,1,1,1,NA,NA,NA,NA,腿很短，尾巴也短，头很长。
19,1,4,0,0,3,3,NA,NA,1,1,NA,NA,NA,NA,NA,NA,头很长，脖子很长。
19,1,5,0,0,3,3,NA,NA,1,1,NA,NA,NA,NA,NA,NA,头很长，脖子也很长。
19,1,6,0,0,NA,1,3,3,NA,1,1,1,NA,NA,NA,NA,头短，尾巴长，腿也长。
19,1,7,0,0,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,头短，尾巴也很短。
19,1,8,0,0,3,3,NA,NA,1,1,NA,NA,NA,NA,NA,NA,头长，脖子长，尾巴也不是很短。
19,1,9,0,0,3,3,NA,3,1,1,NA,1,NA,NA,NA,NA,头长，脖子长，尾巴长。
19,1,10,0,0,1,3,NA,1,1,1,NA,1,NA,NA,NA,NA,头长，脖子短，尾巴短。
19,1,11,0,0,3,3,1,3,1,1,1,1,NA,NA,NA,NA,头长，脖子长，尾巴长，腿也不短。
19,1,12,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,除了头跟脖子，其他都很短。
19,1,13,0,0,1,3,NA,3,1,1,NA,1,NA,NA,NA,NA,头长，脖子不短，尾巴也很长。
19,1,14,0,0,1,3,1,3,1,1,1,1,NA,NA,NA,NA,头长，脖子短，腿也很短，尾巴长。
19,1,15,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,体型看上去很大，各个部位都很长。
19,1,16,0,0,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,尾巴很短。
19,1,17,0,0,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,尾巴很短。
19,1,18,0,0,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,尾巴很长。
19,1,19,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,尾巴不是很短，有点长。
19,1,20,0,0,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,尾巴很长。
19,1,21,0,0,NA,NA,3,3,NA,NA,1,1,NA,NA,NA,NA,尾巴长，腿也长。
19,1,22,0,0,NA,NA,3,3,NA,NA,1,1,NA,NA,NA,NA,尾巴长，但腿也长。
19,1,23,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,各个部位都很长。
19,1,24,0,0,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,朝左侧，尾巴很短。
19,1,25,0,0,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,尾巴很长，朝右侧。
19,1,26,0,0,NA,NA,1,3,NA,NA,1,1,NA,NA,NA,NA,尾巴长，腿短。
19,1,27,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,朝左边。
19,1,28,0,0,NA,NA,3,3,NA,NA,1,1,NA,NA,NA,NA,尾巴长，腿也很长。
19,1,29,0,0,NA,NA,3,3,NA,NA,1,1,NA,NA,NA,NA,尾巴长，腿也很长。
19,1,30,0,0,NA,NA,3,3,NA,NA,1,1,NA,NA,NA,NA,尾巴长，腿也很长。
19,1,31,0,0,NA,NA,3,3,NA,NA,1,1,NA,NA,NA,NA,尾巴长，腿也很长。
19,1,32,0,0,NA,NA,1,1,NA,NA,1,1,NA,NA,NA,NA,尾巴短，腿也短。
19,1,33,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,腿比身子长。
19,1,34,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,腿比身子长。
19,1,35,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,腿比身子短。
19,1,36,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,腿比身子短。
19,1,37,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,腿比身子长。
19,1,38,0,0,NA,3,1,NA,NA,NA,1,NA,NA,1,NA,NA,腿比头短。
19,1,39,0,0,NA,1,3,NA,NA,NA,1,NA,NA,1,NA,NA,腿比头长。
19,1,40,0,0,NA,3,1,NA,NA,NA,1,NA,NA,1,NA,NA,腿比头短。
19,1,41,0,0,NA,1,3,NA,NA,NA,1,NA,NA,1,NA,NA,腿比头长，朝左边。
19,1,42,0,0,NA,1,3,NA,NA,NA,1,NA,NA,1,NA,NA,腿比头长，朝右边。
19,1,43,0,0,NA,3,1,NA,NA,NA,1,NA,NA,1,NA,NA,腿比头短，朝左边。
19,1,44,0,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,腿比尾巴长。
19,1,45,0,0,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,腿比尾巴短。
19,1,46,0,0,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,腿比尾巴短。
19,1,47,0,0,NA,1,3,NA,NA,NA,1,NA,NA,1,NA,NA,腿比头长，朝右边。
19,1,48,0,0,NA,3,1,NA,NA,NA,1,NA,NA,1,NA,NA,腿比头短，朝右边。
19,1,49,0,0,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,头比尾巴短。
19,1,50,0,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,头比尾巴长。
19,1,51,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,朝左边。
19,1,52,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,朝右边。
19,1,53,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,朝左边。
19,1,54,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,朝右边。
19,1,55,0,0,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,朝右边，腿长。
19,1,56,0,0,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,朝左边，头长。
19,1,57,0,0,NA,3,3,NA,NA,1,1,NA,NA,NA,NA,NA,朝左边，腿长，头长。
19,1,58,0,0,NA,3,1,NA,NA,1,1,NA,NA,NA,NA,NA,头长，腿短。
