iSub,iSession,iTrial,text,invalid,noinfo,neck_value,head_value,leg_value,tail_value
23,1,1,脖子比较长，尾巴比较短。,0,0,3.0,,,1.0
23,1,2,脖子、尾巴长度适中，头特别短，腿比较长。,0,0,2.0,1.0,3.0,2.0
23,1,3,腿特别短，头特别长。,0,0,,3.0,1.0,
23,1,4,脖子比较长，尾巴比较短。,0,0,3.0,,,1.0
23,1,5,尾巴比较长，脖子比较短，尾巴比脖子长，腿比较长。,0,0,1.0,,3.0,3.0
23,1,6,脖子比较短，尾巴比脖子长，腿比较长。,0,0,1.0,,3.0,3.0
23,1,7,腿比较短，头、脖子、尾巴长度中等。,0,0,2.0,2.0,1.0,2.0
23,1,8,脖子比较长，尾巴比较短。,0,0,3.0,,,1.0
23,1,9,腿比较短，头比较长，脖子比较短，尾巴比较短。,0,0,1.0,3.0,1.0,1.0
23,1,10,腿比较短，尾巴比较短，脖子比尾巴长。,0,0,3.0,,1.0,1.0
23,1,11,腿短，脖子、尾巴长并且长度差不多。,0,0,,,1.0,
23,1,18,腿中等，脖子中等，尾巴中等，头比较短。,0,0,2.0,1.0,2.0,2.0
23,1,19,腿比较短，脖子比较长，尾巴比较短。,0,0,3.0,,1.0,1.0
23,1,20,腿比较长，尾巴比较长，脖子比较短，头比较长。,0,0,1.0,3.0,3.0,3.0
23,1,21,腿比较短，脖子比较短，尾巴比较长。,0,0,1.0,,1.0,3.0
23,1,22,腿比较短，脖子比较短，头比较长。,0,0,1.0,3.0,1.0,
23,1,23,腿比较长，头比较长，脖子比较短，尾巴中等。,0,0,1.0,3.0,3.0,2.0
23,1,24,腿中等，脖子和头中等。,0,0,2.0,2.0,2.0,
23,1,25,腿中等，脖子比较短，头稍微长一点，尾巴比较长。,0,0,1.0,3.0,2.0,3.0
23,1,26,腿比较长，尾巴比较长，脖子比较长，头比较短。,0,0,3.0,1.0,3.0,3.0
23,1,27,腿中等，脖子、尾巴比较短，头比较长。,0,0,1.0,3.0,2.0,1.0
23,1,28,腿比较长，尾巴比较短，脖子比较长，头比较短。,0,0,3.0,1.0,3.0,1.0
23,1,29,腿比较短，脖子比较短，尾巴比较长，头比较长。,0,0,1.0,3.0,1.0,3.0
23,1,30,腿比较短，尾巴比较短，脖子比较长，头比较短。,0,0,3.0,1.0,1.0,1.0
23,1,31,腿特别短，尾巴比较短，脖子和头长度适中。,0,0,2.0,2.0,1.0,1.0
23,1,32,腿比较长，尾巴比较长，脖子比较短，头比脖子长。,0,0,1.0,3.0,3.0,3.0
23,1,33,腿比较长，尾巴比较短，脖子比较长，头比较短。,0,0,3.0,1.0,3.0,1.0
23,1,34,腿适中，尾巴比较短，头比较短，脖子比较长。,0,0,3.0,1.0,2.0,1.0
23,1,35,腿适中，尾巴适中，脖子比较短，头比较长。,0,0,1.0,3.0,2.0,2.0
23,1,36,腿比较长，尾巴比较长，脖子比头短。,0,0,1.0,3.0,3.0,3.0
23,1,37,腿比较短，尾巴比较短，头和脖子中等。,0,0,2.0,2.0,1.0,1.0
23,1,38,腿特别长，尾巴比较短，头和脖子差不多。,0,0,,,3.0,1.0
23,1,39,腿特别短，头比较长，脖子比较短，尾巴比较短。,0,0,1.0,3.0,1.0,1.0
23,1,40,腿特别长，头比较短，脖子比较长，尾巴中等。,0,0,3.0,1.0,3.0,2.0
23,1,41,腿比较长，脖子、头比较短，尾巴比较短。,0,0,1.0,1.0,3.0,1.0
23,1,42,腿比较短，脖子比较长，头比较短，尾巴比较长。,0,0,3.0,1.0,1.0,3.0
23,1,43,腿比较长，脖子比较短，头比较长，尾巴比较长。,0,0,1.0,3.0,3.0,3.0
23,1,44,腿比较长，脖子中等，尾巴比较长，头中等。,0,0,2.0,2.0,3.0,3.0
23,1,45,腿比较长，脖子比较长，头中等，尾巴比较长。,0,0,3.0,2.0,3.0,3.0
23,1,46,腿中等，脖子比较长，腿比较短，头比较短。,0,0,3.0,1.0,1.0,
23,1,47,腿比较短，头比较中等，脖子比较短，尾巴比较长。,0,0,1.0,2.0,1.0,3.0
23,1,48,腿比较短，脖子比较长，尾巴比较短。,0,0,3.0,,1.0,1.0
23,1,49,腿特别短，脖子比较长，尾巴比较长，头比较长。,0,0,3.0,3.0,1.0,3.0
23,1,50,腿比较短，脖子比较长，尾巴比较短，头比较短。,0,0,3.0,1.0,1.0,1.0
23,1,51,腿比较短，脖子比较长，尾巴比较短，头比较短。,0,0,3.0,1.0,1.0,1.0
23,1,52,腿比较长，尾巴比较长，头比较长，脖子比较短。,0,0,1.0,3.0,3.0,3.0
23,1,53,腿比较长，尾巴比较长，脖子比较短，头比脖子长。,0,0,1.0,3.0,3.0,3.0
23,1,54,腿比较短，尾巴比较短，脖子比较长，头比较短。,0,0,3.0,1.0,1.0,1.0
23,1,55,腿比较短，尾巴比较长，脖子比较短，头比脖子长。,0,0,1.0,3.0,1.0,3.0
23,1,56,腿比较短，尾巴比较长，脖子比较长，头比较短。,0,0,3.0,1.0,1.0,3.0
23,1,57,腿中等，尾巴比较长，脖子比较短，头比较短。,0,0,1.0,1.0,2.0,3.0
23,1,58,腿比较长，脖子中等，尾巴中等，头比较短。,0,0,2.0,1.0,3.0,2.0
