iSub,iSession,iTrial,invalid,noinfo,neck_value,head_value,leg_value,tail_value,neck_direct,head_direct,leg_direct,tail_direct,neck_indirect,head_indirect,leg_indirect,tail_indirect,text
6,1,1,0,0,1,3,NA,1,1,1,NA,1,NA,NA,NA,NA,头长，脖子短，尾巴短，头在躯干以下、腿以上。
6,1,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,左朝向，头在躯干以下、腿以上，脖子和尾巴一般。
6,1,3,0,0,3,3,NA,1,1,1,NA,1,NA,NA,NA,NA,头长，脖子长，尾巴短，头在躯干和腿之间，右朝向。
6,1,4,0,0,NA,3,3,1,NA,1,1,1,NA,NA,NA,NA,头长，脖子一般，腿长，尾巴短，右朝向。
6,1,5,0,0,3,3,NA,1,1,1,NA,1,NA,NA,NA,NA,头长，尾巴短，脖子长，头在躯干以上。
6,1,6,0,0,1,3,NA,1,1,1,NA,1,NA,NA,NA,NA,头长，尾巴短，脖子短，头在躯干以下。
6,1,7,0,0,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,头和脖子差不多长，尾巴短。
6,1,8,0,0,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,头和脖子一样长，尾巴也差不多长，头在躯干以下。
6,1,9,0,0,3,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,头和脖子一样长，很长，尾巴很短，头在躯干以上。
6,1,10,0,0,NA,3,NA,1,NA,1,NA,1,NA,NA,NA,NA,头很长，脖子、尾巴很短，头在躯干以下。
6,1,11,0,0,3,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,头和脖子一样长，比尾巴长，头在躯干以下。
6,1,12,0,0,NA,1,NA,3,NA,1,NA,1,NA,NA,NA,NA,脖子和尾巴一样长，头很短。
6,1,13,0,0,NA,1,NA,3,NA,1,NA,1,NA,NA,NA,NA,头比较短，脖子和尾巴一样长。
6,1,14,0,0,3,NA,NA,3,1,NA,NA,1,NA,NA,NA,NA,脖子长，头和尾巴一样长。
6,1,15,0,0,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,脖子和尾巴一样长，头在躯干以下。
6,1,16,0,0,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,脖子和头一样长，头在躯干以上。
6,1,17,0,0,3,NA,3,1,NA,NA,1,NA,1,NA,NA,1,头比脖子短，头比尾巴长，腿很长。
6,1,18,0,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,尾巴、头、脖子较短。
6,1,19,0,0,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,尾巴、脖子、头较短。
6,1,20,0,0,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,脖子、尾巴、头较短。
6,1,21,0,0,1,NA,3,NA,1,NA,1,NA,NA,NA,NA,NA,腿长，脖子最短，然后是头和尾巴。
6,1,22,0,0,NA,3,1,NA,NA,1,1,NA,NA,NA,NA,NA,腿最短，头最长，脖子和尾巴在中间。
6,1,23,0,0,1,NA,3,1,NA,NA,1,NA,1,NA,NA,1,腿比较长，头比脖子长，脖子比尾巴长。
6,1,24,0,0,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,1,脖子比尾巴长，尾巴比头长。
6,1,25,0,0,3,1,NA,1,1,1,NA,1,NA,NA,NA,NA,脖子长，腿、尾巴和头短。
6,1,26,0,0,3,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,腿和尾巴、脖子一样长，头比较短。
6,1,27,0,0,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,腿长，尾巴和腿一样长。
6,1,28,0,0,3,NA,3,1,NA,NA,NA,1,1,NA,1,NA,尾巴比腿短，头比脖子短。
6,1,29,0,0,3,1,3,1,1,NA,NA,1,NA,1,1,NA,尾巴比腿短，脖子比头长。
6,1,30,0,0,3,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,腿和尾巴差不多长，脖子比头长。
6,1,31,0,0,3,1,NA,3,1,NA,NA,NA,NA,1,NA,1,腿比尾巴短，脖子比头长。
6,1,32,0,0,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,腿和躯干差不多，头比脖子长。
6,1,33,0,0,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,腿和躯干差不多，头比脖子长。
6,1,34,0,0,1,NA,3,3,1,NA,1,1,NA,NA,NA,NA,腿长，头和脖子短，尾巴长。
6,1,35,0,0,NA,3,1,NA,NA,1,1,NA,NA,NA,NA,NA,腿短 尾巴次之，脖子、头最长。
6,1,36,0,0,3,3,1,NA,1,1,1,NA,NA,NA,NA,NA,腿短，尾巴次之，脖子、头长。
6,1,37,0,0,NA,NA,1,3,NA,NA,1,1,NA,NA,NA,NA,腿短，脖子、尾巴最长。
6,1,38,0,0,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,腿比较长，头在躯干以下。
6,1,39,0,0,NA,NA,3,3,NA,NA,1,1,NA,NA,NA,NA,腿比较长，头在躯干以上，尾巴最长。
6,1,40,0,0,NA,NA,3,1,NA,NA,1,1,NA,NA,NA,NA,头在躯干以上，腿长，尾巴短。
6,1,41,0,0,NA,NA,3,3,NA,NA,1,1,NA,NA,NA,NA,腿长，头在躯干以下，尾巴长。
6,1,42,0,0,NA,NA,3,3,NA,NA,1,1,NA,NA,NA,NA,腿长，头在躯干以下，脖子、尾巴长。
6,1,43,0,0,1,NA,3,1,1,NA,NA,1,NA,NA,1,NA,腿短，脖子比腿短，尾巴短。
