iSub,iSession,iTrial,invalid,noinfo,neck_value,head_value,leg_value,tail_value,neck_direct,head_direct,leg_direct,tail_direct,neck_indirect,head_indirect,leg_indirect,tail_indirect,text
9,1,1,0,0,NA,3,NA,2,NA,1,NA,1,NA,NA,NA,NA,头较长，脖子、腿和尾巴长度中等。
9,1,2,0,0,3,NA,2,3,1,NA,1,1,NA,NA,NA,NA,头、脖子较长，腿长度中等，尾巴也较长。
9,1,3,0,0,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,头、脖子、腿和尾巴都较短，脖子和尾巴略长于头和腿。
9,1,4,0,0,3,3,2,1,1,1,1,1,NA,NA,NA,NA,头较长，脖子和腿长度中等，尾巴较短。
9,1,5,0,0,3,NA,2,3,1,NA,1,1,NA,NA,NA,NA,头、脖子、腿长度中等，尾巴较长。
9,1,6,0,0,1,3,NA,2,1,1,NA,1,NA,NA,NA,NA,头长，脖子较短，腿和尾巴中等。
9,1,7,0,0,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,头和腿较短。
9,1,8,0,0,NA,1,NA,3,NA,1,NA,1,NA,NA,NA,NA,头短，尾巴长。
9,1,9,0,0,NA,NA,3,3,NA,NA,1,1,NA,NA,NA,NA,头、脖子、腿的长度中上，跟躯干差不多长，尾巴略长一点、比较长。
9,1,10,0,0,3,NA,2,1,1,NA,1,1,NA,NA,NA,NA,头、脖子、腿长度中等，尾巴较短。
9,1,11,0,0,3,NA,NA,2,1,NA,NA,1,NA,NA,NA,NA,脖子比较长，头、腿和尾巴都中等。
9,1,12,0,0,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,脖子比较长，头、腿和尾巴都处于中等或中等偏下。
9,1,13,0,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,脖子比较短，其他的中等偏上。
9,1,14,0,0,3,NA,3,1,1,NA,1,1,NA,NA,NA,NA,脖子和腿长，头和尾巴短。
9,1,15,0,0,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,脖子长，其他中等。
9,1,16,0,0,1,2,2,1,1,1,1,1,NA,NA,NA,NA,脖子短，尾巴短，头和腿中等。
9,1,17,0,0,NA,1,3,2,NA,1,1,1,NA,NA,NA,NA,脖子和尾巴长度中等，头较短，腿较长。
9,1,18,0,0,1,NA,NA,3,1,NA,NA,1,NA,NA,NA,NA,脖子短，尾巴长。
9,1,19,0,0,3,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,脖子长，腿短。
9,1,20,0,0,3,NA,3,NA,1,NA,1,NA,NA,NA,NA,NA,脖子长，腿长。
