iSub,version,condition,iSession,iBlock,iTrial,neck_length,head_length,leg_length,tail_length,neck_angle,head_angle,leg_angle,tail_angle,feature1,feature2,feature3,feature4,category,choice,feedback,ambigous,choRT,neck_oral,head_oral,leg_oral,tail_oral,text,human_feature_1,human_feature_2,human_feature_3,human_feature_4,neck_use,head_use,leg_use,tail_use,feature1_use,feature2_use,feature3_use,feature4_use,choice_1_feature_1,choice_1_feature_2,choice_1_feature_3,choice_1_feature_4,choice_2_feature_1,choice_2_feature_2,choice_2_feature_3,choice_2_feature_4
7,1,1,1,1,1,0.600529086577249,0.047648531233588,0.99738689835108,0.0047274368468819,0.5,0.5,0.5,0.5,0.600529086577249,0.99738689835108,0.047648531233588,0.0047274368468819,3,2,1.0,0,14.134,0.575,0.325,0.775,0.325,尾巴和头很短，脖子和腿比较长，腿最长。,0.575,0.775,0.325,0.325,1,1,1,1,1,1,1,1,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333
7,1,1,1,1,2,0.017096280769434,0.99360121755469,0.527479709610425,0.549976511935657,0.5,0.5,0.5,0.5,0.017096280769434,0.527479709610425,0.99360121755469,0.549976511935657,2,1,1.0,0,35.601,0.25,0.75,0.5,0.5,头很长，脖子很短，尾巴和腿差不多一样长。,0.25,0.5,0.75,0.5,1,1,1,1,1,1,1,1,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333
7,1,1,1,1,3,0.220257726043436,0.736214941788464,0.107586926148298,0.97536832752468,0.5,0.5,0.5,0.5,0.220257726043436,0.107586926148298,0.736214941788464,0.97536832752468,1,1,1.0,0,31.305,0.25,0.75,0.25,0.75,头和尾巴很长，脖子和腿比较短。,0.25,0.25,0.75,0.75,1,1,1,1,1,1,1,1,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333
7,1,1,1,1,4,0.89399206959244,0.8259909802774,0.96622190222556,0.137410256533904,0.5,0.5,0.5,0.5,0.89399206959244,0.96622190222556,0.8259909802774,0.137410256533904,4,2,1.0,0,18.034,0.5,0.5,0.5,0.25,尾巴很短，脖子、腿、头差不多一样长。,0.5,0.5,0.5,0.25,1,1,1,1,1,1,1,1,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333
7,1,1,1,1,5,0.696956711476546,0.015533091966336,0.418707726197135,0.231505591129293,0.5,0.5,0.5,0.5,0.696956711476546,0.418707726197135,0.015533091966336,0.231505591129293,3,2,1.0,0,27.045,0.8,0.325,0.4,0.325,头和尾巴最短，脖子最长，腿次之。,0.8,0.4,0.325,0.325,1,1,1,1,1,1,1,1,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333
7,1,1,1,1,6,0.126787074682747,0.333660559162054,0.87086761244936,0.567860667524629,0.5,0.5,0.5,0.5,0.126787074682747,0.87086761244936,0.333660559162054,0.567860667524629,2,1,1.0,0,24.936,0.25,0.5,0.75,0.5,脖子短，腿长。,0.25,0.75,0.5,0.5,1,0,1,0,1,1,0,0,0.3333333333333333,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,0.3333333333333333
7,1,1,1,1,7,0.83784152161174,0.251094290018586,0.258744205970578,0.189046102411532,0.5,0.5,0.5,0.5,0.83784152161174,0.258744205970578,0.251094290018586,0.189046102411532,3,2,1.0,0,13.412,0.75,0.25,0.25,0.25,脖子长，头、尾巴、腿比较短。,0.75,0.25,0.25,0.25,1,1,1,1,1,1,1,1,0.3333333333333333,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,0.3333333333333333
7,1,1,1,1,8,0.725470748542314,0.628225401412741,0.052743762728804,0.528273433958882,0.5,0.5,0.5,0.5,0.725470748542314,0.052743762728804,0.628225401412741,0.528273433958882,4,1,0.0,0,10.877,0.75,0.75,0.25,0.75,腿很短，脖子、头、尾巴比较长。,0.75,0.25,0.75,0.75,1,1,1,1,1,1,1,1,0.3333333333333333,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,0.3333333333333333
7,1,1,1,1,9,0.557498400445875,0.593850529704395,0.516675996970189,0.125718221293216,0.5,0.5,0.5,0.5,0.557498400445875,0.516675996970189,0.593850529704395,0.125718221293216,4,2,1.0,0,13.624,0.75,0.75,0.75,0.25,尾巴很短，其余三部分比较长。,0.75,0.75,0.75,0.25,0,0,0,1,0,0,0,1,0.3333333333333333,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,0.3333333333333333
7,1,1,1,1,10,0.320724139591708,0.708043799932742,0.720154171939903,0.200649923330142,0.5,0.5,0.5,0.5,0.320724139591708,0.720154171939903,0.708043799932742,0.200649923330142,2,2,0.0,0,18.025,0.25,0.75,0.75,0.25,尾巴和脖子比较短，头和腿比较长。,0.25,0.75,0.75,0.25,1,1,1,1,1,1,1,1,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.5
