iTrial,neck_length,head_length,leg_length,tail_length,neck_angle,head_angle,leg_angle,tail_angle,timestamp
1,0.34000760353565,1,0,0.5,0.5,0.5,0.5,0.5,1734072558406
1,0.34668173351109,1,0,0.5,0.5,0.5,0.5,0.5,1734072558420
1,0.3533557263648,1,0,0.5,0.5,0.5,0.5,0.5,1734072558434
1,0.37439689479779,1,0,0.5,0.5,0.5,0.5,0.5,1734072558451
1,0.3782783673402,1,0,0.5,0.5,0.5,0.5,0.5,1734072558482
1,0.38879246015161,1,0,0.5,0.5,0.5,0.5,0.5,1734072558498
1,0.39267314157291,1,0,0.5,0.5,0.5,0.5,0.5,1734072558514
1,0.39934626615751,1,0,0.5,0.5,0.5,0.5,0.5,1734072558522
1,0.41651668449571,1,0,0.5,0.5,0.5,0.5,0.5,1734072558538
1,0.42703042684704,1,0,0.5,0.5,0.5,0.5,0.5,1734072558554
1,0.43370297902857,1,0,0.5,0.5,0.5,0.5,0.5,1734072558567
1,0.4575511408865,1,0,0.5,0.5,0.5,0.5,0.5,1734072558585
1,0.47858867787885,1,0,0.5,0.5,0.5,0.5,0.5,1734072558601
1,0.49575901155737,1,0,0.5,0.5,0.5,0.5,0.5,1734072558618
1,0.52732856877932,1,0,0.5,0.5,0.5,0.5,0.5,1734072558634
1,0.54068945513801,1,0,0.5,0.5,0.5,0.5,0.5,1734072558651
1,0.56172476327626,1,0,0.5,0.5,0.5,0.5,0.5,1734072558668
1,0.5722374716939,1,0,0.5,0.5,0.5,0.5,0.5,1734072558684
1,0.58940772592879,1,0,0.5,0.5,0.5,0.5,0.5,1734072558701
1,0.60657796748233,1,0,0.5,0.5,0.5,0.5,0.5,1734072558718
1,0.61324826956059,1,0,0.5,0.5,0.5,0.5,0.5,1734072558734
1,0.62765348286003,1,0,0.5,0.5,0.5,0.5,0.5,1734072558751
1,0.64101015601222,1,0,0.5,0.5,0.5,0.5,0.5,1734072558768
1,0.65152244046847,1,0,0.5,0.5,0.5,0.5,0.5,1734072558784
1,0.65819231852501,1,0,0.5,0.5,0.5,0.5,0.5,1734072558816
1,0.66870452075089,1,0,0.5,0.5,0.5,0.5,0.5,1734072558832
1,0.67537424758864,1,0,0.5,0.5,0.5,0.5,0.5,1734072558868
1,0.68588637060458,1,0,0.5,0.5,0.5,0.5,0.5,1734072558885
1,0.69255595173866,1,0,0.5,0.5,0.5,0.5,0.5,1734072561263
1,0.69642555130004,1,0,0.5,0.5,0.5,0.5,0.5,1734072561278
1,0.70309504566032,1,0,0.5,0.5,0.5,0.5,0.5,1734072561287
1,0.72026521457266,1,0,0.5,0.5,0.5,0.5,0.5,1734072561310
1,0.72693451955757,1,0,0.5,0.5,0.5,0.5,0.5,1734072561326
1,0.73080329731322,1,0,0.5,0.5,0.5,0.5,0.5,1734072561370
1,0.73747252150097,1,0,0.5,0.5,0.5,0.5,0.5,1734072561387
1,0.74798438098128,1,0,0.5,0.5,0.5,0.5,0.5,1734072561403
1,0.75465347707345,1,0,0.5,0.5,0.5,0.5,0.5,1734072561421
1,0.75852163301696,1,0,0.5,0.5,0.5,0.5,0.5,1734072561437
1,0.76519065269241,1,0,0.5,0.5,0.5,0.5,0.5,1734072561487
1,0.76136643905402,1,0,0.5,0.5,0.5,0.5,0.5,1734072561889
1,0.75471206696632,1,0,0.5,0.5,0.5,0.5,0.5,1734072561904
1,0.75471206696632,1,0,0.5,0.5,0.5,0.5,0.5,1734072570982
1,0.75471206696632,1,0.00724185892905,0.5,0.5,0.5,0.5,0.5,1734072571012
1,0.75471206696632,1,0.01448334946811,0.5,0.5,0.5,0.5,0.5,1734072571020
1,0.75471206696632,1,0.02172449127022,0.5,0.5,0.5,0.5,0.5,1734072571030
1,0.75471206696632,1,0.03622966999879,0.5,0.5,0.5,0.5,0.5,1734072571047
1,0.75471206696632,1,0.05073251575433,0.5,0.5,0.5,0.5,0.5,1734072571063
1,0.75471206696632,1,0.06523324354246,0.5,0.5,0.5,0.5,0.5,1734072571080
1,0.75471206696632,1,0.07247238082948,0.5,0.5,0.5,0.5,0.5,1734072571097
1,0.75471206696632,1,0.08697027521473,0.5,0.5,0.5,0.5,0.5,1734072571114
1,0.75471206696632,1,0.09686007431839,0.5,0.5,0.5,0.5,0.5,1734072571130
