iSub,iTrial,neck_length,head_length,leg_length,tail_length,neck_length_diff,head_length_diff,leg_length_diff,tail_length_diff
125,1,0.666666666666667,0.0,0.666666666666667,0.166666666666667,0.12171473872416305,0.0,0.023508017056462993,0.02236109724292301
125,2,0.833333333333333,0.333333333333333,0.666666666666667,0.333333333333333,0.05934779485989694,-2.9976021664879227e-15,0.01083849706163309,0.04034506626860701
125,3,0.333333333333333,0.833333333333333,0.333333333333333,0.666666666666667,0.04639842408109701,0.08424599575546698,-0.002785234373473,0.12136848277518308
125,4,0.833333333333333,0.833333333333333,0.166666666666667,1.0,0.16666666666666696,0.16666666666666696,2.9976021664879227e-15,0.0
125,5,0.833333333333333,0.333333333333333,0.0,0.0,0.16666666666666696,0.028686234362967022,0.0,0.0
125,6,1.0,1.0,0.833333333333333,0.5,0.0,0.0,-0.008693635968503033,0.026726257641029982
125,7,1.0,0.0,0.833333333333333,0.0,0.0,-0.0,0.013251953283226925,0.0
125,8,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
125,9,1.0,0.833333333333333,1.0,0.0,0.0,0.12688603016173694,-3.6776468004262597e-07,0.0
125,10,0.833333333333333,0.166666666666667,0.833333333333333,0.166666666666667,0.16666666666666696,0.016934208344623003,-0.014306918539113034,0.04984711114683302
125,11,0.666666666666667,0.166666666666667,1.0,1.0,0.092195962699823,0.016638785613053014,0.0,0.0
125,12,1.0,0.666666666666667,0.666666666666667,0.166666666666667,0.0,0.040440409186933035,0.022393675833973004,0.04945336456107302
125,13,0.0,0.0,0.333333333333333,0.5,0.0,-0.0,-2.9976021664879227e-15,0.07773854888696996
125,14,0.0,0.666666666666667,0.0,0.166666666666667,0.0,0.026428728124773038,0.0,0.021712856140173015
125,15,1.0,0.833333333333333,0.5,0.333333333333333,0.0,0.08859447796699693,0.01352444035614997,0.02457206883017704
125,16,0.5,0.333333333333333,0.666666666666667,0.833333333333333,0.06884444083020003,-0.0028061297839129806,-0.0002318284924969216,0.16666666666666696
125,17,0.5,1.0,0.333333333333333,0.5,0.10448920304169995,5.996156279941545e-06,-0.019828655826902963,0.11131771637522003
125,18,0.666666666666667,1.0,0.166666666666667,0.333333333333333,0.01584447044315307,-5.647337000258545e-07,0.005460712783943,-0.010044475130272956
125,19,0.666666666666667,0.0,0.666666666666667,0.166666666666667,0.33333333333333304,0.0,0.010990993682033046,0.07161938200492302
125,20,0.166666666666667,0.0,0.333333333333333,0.833333333333333,0.025787406108033012,-1.28204142e-06,0.008946280027107012,0.1513493676235269
125,21,0.333333333333333,0.833333333333333,0.0,0.5,0.05884756199187702,0.04532667966817694,0.0,0.11317957124713995
125,22,0.166666666666667,0.5,1.0,0.166666666666667,0.006899647400472997,0.022121611377930006,0.0,0.000616722082903004
125,23,0.0,1.0,0.5,0.833333333333333,0.0,0.0,-0.023863460757449995,0.16666666666666696
125,24,0.833333333333333,0.833333333333333,0.5,0.166666666666667,0.16666666666666696,0.16666666666666696,0.014652152065369961,0.05209922554497301
125,25,0.666666666666667,0.166666666666667,0.333333333333333,0.666666666666667,0.19422489330565307,0.011985184950623007,-2.9976021664879227e-15,0.156848235939973
125,26,0.166666666666667,0.166666666666667,0.833333333333333,0.333333333333333,0.03219831509450302,0.032463557438103,0.0039883136095270055,0.02671869468854704
125,27,1.0,0.5,0.166666666666667,0.0,0.0,-0.07880586795514,0.00875277452946302,0.0
125,28,0.666666666666667,0.833333333333333,0.333333333333333,0.5,0.33333333333333304,0.16666666666666696,0.02516052015869702,0.13735335268077997
125,29,0.833333333333333,0.333333333333333,0.666666666666667,0.333333333333333,0.16666666666666696,0.06491470915539704,-0.012015816265997015,0.063793169827567
125,30,0.333333333333333,0.333333333333333,1.0,0.166666666666667,0.05511934782120703,0.11281818550689704,0.0,0.015355657921553023
125,31,0.833333333333333,0.5,0.666666666666667,1.0,0.057109713159006925,0.02621277852113002,0.009094263623023013,0.0
125,32,0.0,1.0,0.5,0.666666666666667,0.0,0.0,0.0,0.04160022136779307
125,33,0.0,0.166666666666667,1.0,1.0,0.0,0.007906150544133017,0.0,0.0
125,34,0.833333333333333,1.0,0.666666666666667,0.166666666666667,0.16666666666666696,0.0,2.9976021664879227e-15,0.01540663024189301
125,35,0.5,0.666666666666667,0.5,0.666666666666667,0.15554021346808,0.021986852428933057,0.03198763661189996,0.18833018308384308
125,36,0.5,0.166666666666667,1.0,0.166666666666667,0.12563954617196005,0.017891682566693018,0.0,-0.000653289003747004
125,37,0.166666666666667,0.333333333333333,0.333333333333333,1.0,0.03430814263048301,0.049458674580377004,-0.019702923591773003,0.0
125,38,0.666666666666667,0.666666666666667,1.0,0.333333333333333,0.05036771872565304,0.11352224648373299,0.0,-2.9976021664879227e-15
125,39,0.166666666666667,0.333333333333333,1.0,0.0,0.011588125286063011,-0.040812400866583,0.0,0.0
125,40,0.333333333333333,0.833333333333333,0.0,0.0,0.09174867121785701,0.16666330489626702,0.0,0.0
125,41,1.0,0.0,0.5,0.666666666666667,0.0,0.0,0.024909204033250032,0.12604126475010302
125,42,0.0,1.0,0.5,0.833333333333333,0.0,0.0,0.032465635078539945,0.16666666666666696
125,43,0.5,1.0,0.333333333333333,0.0,-0.05317740124350001,0.0,0.0007689194050670145,0.0
125,44,0.5,0.5,0.666666666666667,1.0,0.06902139931175999,0.051299575534080044,-0.012624775008927003,0.0
125,45,0.166666666666667,0.166666666666667,0.833333333333333,0.333333333333333,-0.017332466670086977,-0.009033881468236998,0.0029201300646769512,-0.030585735970933003
125,46,0.5,1.0,0.333333333333333,0.5,0.13266612396630995,-2.5237235800057434e-06,-0.04052584617086297,0.07402590694435995
125,47,0.333333333333333,0.166666666666667,1.0,0.333333333333333,0.007489179381437006,2.9976021664879227e-15,0.0,0.008323209532537013
125,48,0.5,0.5,0.666666666666667,0.833333333333333,0.04676433635166999,0.08709165503953997,0.04785266566499302,0.16666666666666696
125,49,0.166666666666667,0.333333333333333,1.0,0.0,2.9976021664879227e-15,-0.011433956519302957,0.0,0.0
125,50,1.0,0.666666666666667,1.0,1.0,0.0,-0.047110396857326986,0.0,0.0
125,51,0.666666666666667,0.166666666666667,0.833333333333333,0.0,0.102358533910903,-0.013977843103856996,-0.013041269258733057,0.0
125,52,1.0,1.0,0.333333333333333,0.833333333333333,0.0,0.0,0.002422736043197038,0.16666666666666696
125,53,0.166666666666667,0.5,0.166666666666667,0.0,0.062981982135003,0.017170151954649993,0.003398176622693011,0.0
125,54,0.833333333333333,0.833333333333333,0.333333333333333,1.0,0.16666666666666696,0.16666666666666696,0.009306672431197038,0.0
125,55,0.166666666666667,0.0,0.833333333333333,1.0,0.021469317894743017,0.03828377051455,0.0040251785482670055,0.0
125,56,0.666666666666667,0.333333333333333,0.166666666666667,0.0,0.33333333333333304,0.079026785366057,2.9976021664879227e-15,0.0
125,57,0.666666666666667,0.166666666666667,0.333333333333333,0.666666666666667,0.08817515032481305,0.050049608234373016,-2.9976021664879227e-15,0.12576630193902305
125,58,0.166666666666667,0.166666666666667,0.5,0.166666666666667,0.102154316333633,0.07388666388048301,0.06263925595899,0.08997934623711298
125,59,0.666666666666667,0.166666666666667,0.0,0.0,0.09032448487414302,0.009670600240693022,0.0,0.0
125,60,0.0,0.0,0.5,0.333333333333333,-0.0,1.28206114e-06,0.010607481759939974,0.07148714569575704
125,61,0.0,0.0,0.5,0.333333333333333,0.0,0.0,0.01970078907049,-0.020848119123002995
125,62,0.333333333333333,0.666666666666667,0.666666666666667,0.5,0.105645814092727,-0.0013556818728869269,-0.01939443192940693,0.08151494818395999
125,63,0.333333333333333,0.333333333333333,1.0,0.166666666666667,0.07492768785938703,0.040745203216237036,0.0,0.03374044775520302
125,64,1.0,0.5,0.166666666666667,0.166666666666667,0.0,0.09950956113693998,-0.028923532712236993,-0.009354328035086984
125,65,0.333333333333333,0.0,0.166666666666667,0.166666666666667,0.04717782683572702,-4.69360076e-06,-0.027867751661806994,0.003043841196183006
125,66,1.0,0.666666666666667,0.0,0.833333333333333,0.0,0.1950620184656331,0.0,0.16666666666666696
125,67,0.333333333333333,0.833333333333333,0.166666666666667,0.5,0.067596761153017,0.10094085269146691,-0.008130087481897003,0.08199908851214999
125,68,1.0,0.5,0.166666666666667,0.0,0.0,-0.012663552791659982,0.004632176395663018,0.0
125,69,0.666666666666667,0.166666666666667,0.833333333333333,0.666666666666667,0.038897366641783004,-0.02841673427296698,0.03878394211144698,-0.0034250148855269336
125,70,0.0,0.666666666666667,0.166666666666667,0.5,0.0,-0.01382480623997695,-0.005854427248026983,0.004974607396689978
125,71,0.0,1.0,0.833333333333333,0.666666666666667,0.0,0.0,-0.0016700876783830587,0.057870702504232985
125,72,0.666666666666667,0.333333333333333,1.0,0.666666666666667,0.1636229985103831,0.004217970012657002,-0.007226290484649955,0.19363333709234298
125,73,0.5,0.333333333333333,0.833333333333333,0.0,-0.033871655329600014,-0.033534505802503,-0.013293879630053018,0.0
125,74,0.833333333333333,0.0,0.0,0.833333333333333,0.16666666666666696,0.0,0.0,0.16666666666666696
125,75,0.333333333333333,0.5,0.0,0.333333333333333,0.006194108301256995,0.06969654960005,0.0,0.03505240635159701
125,76,1.0,0.833333333333333,0.5,0.333333333333333,0.0,-0.05343346373704305,-0.03414550503216002,-0.010206303627772972
125,77,0.666666666666667,0.833333333333333,0.5,0.833333333333333,0.16077588767797302,0.09094475785834699,-0.017649878918990003,0.16666666666666696
125,78,1.0,0.666666666666667,0.666666666666667,0.166666666666667,0.0,0.008625561625263067,0.006036055151213082,0.057651354465103
125,79,0.833333333333333,0.333333333333333,0.0,0.0,0.16666666666666696,0.024874781839337,0.0,0.0
125,80,0.833333333333333,0.833333333333333,0.166666666666667,1.0,0.022768295860176924,0.116265137432367,0.00211975752674301,0.0
125,81,0.5,0.666666666666667,0.5,0.833333333333333,0.01104173742215997,0.03222479820788304,0.001235192627420001,0.16666666666666696
125,82,0.166666666666667,0.0,0.333333333333333,0.833333333333333,0.12092242605647299,-1.28204142e-06,-0.0002866466171829729,0.16666666666666696
125,83,0.166666666666667,0.5,1.0,0.0,0.025170714024953023,0.06708806517554,-3.6776468004262597e-07,0.0
125,84,0.166666666666667,0.666666666666667,0.833333333333333,0.166666666666667,-0.012817418556216986,0.08184053950316306,0.02547794018470695,2.9976021664879227e-15
125,85,0.0,0.0,0.666666666666667,0.833333333333333,0.0,-0.0,-0.012164882410786948,0.16666666666666696
125,86,0.666666666666667,0.833333333333333,0.333333333333333,0.5,0.11395144053505302,0.166666250786767,0.042107377854527006,0.009364204137209953
125,87,0.333333333333333,0.666666666666667,0.166666666666667,0.666666666666667,0.029381151462287036,-0.05295599952082697,-0.0077041156814370015,0.183637782127963
125,88,0.166666666666667,0.5,1.0,0.0,0.012943602982812996,-0.0013097964010500007,0.0,0.0
125,89,0.833333333333333,0.166666666666667,0.333333333333333,0.5,0.16666666666666696,0.043254846648073,-0.03190264365017298,0.047074015354400034
125,90,0.0,0.0,0.333333333333333,0.5,0.0,0.0,-2.9976021664879227e-15,0.18763673813387005
125,91,0.0,0.333333333333333,0.5,0.333333333333333,0.0,0.03541446198290704,0.03213783376031998,0.009635187356177022
125,92,0.833333333333333,0.166666666666667,0.333333333333333,0.5,0.1285141123909369,0.04955863871357302,-0.026477152514363,0.13450709701639996
