iSub,feature_name,feature_value,error_mean,error_std
125,head,0.0,0.0013667624881210717,0.00723505369579481
125,head,0.166666666666667,0.020606156603226584,0.023773737583707617
125,head,0.333333333333333,0.01570242456012665,0.046978962889373956
125,head,0.5,0.026288528668289648,0.04941440132065032
125,head,0.666666666666667,0.03727029179709733,0.06057626210413084
125,head,0.833333333333333,0.09925069428894805,0.07738132012663969
125,head,1.0,1.4044104392921648e-07,1.8572579515293507e-06
125,leg,0.0,0.0002025190258707143,0.0010716299564259323
125,leg,0.166666666666667,0.0025600141885433647,0.014731431221568255
125,leg,0.333333333333333,0.008030170252779875,0.02738882158074288
125,leg,0.5,0.009228324173980363,0.024641142251471893
125,leg,0.666666666666667,0.006060057263178388,0.020829053964275927
125,leg,0.833333333333333,0.008229077625027325,0.020334197114488854
125,leg,1.0,-0.00025810807192893005,0.001365635392595938
125,neck,0.0,0.0015127779318400002,0.00800486839303052
125,neck,0.166666666666667,0.02185367923960408,0.03642771750244304
125,neck,0.333333333333333,0.043865788313398865,0.04916856557540821
125,neck,0.5,0.05458141653419784,0.05266029123872072
125,neck,0.666666666666667,0.10888178597757768,0.10359887469535224
125,neck,0.833333333333333,0.13612276966856268,0.05250221775572732
125,neck,1.0,0.0,0.0
125,tail,0.0,0.0001081528484925,0.0005722910813888038
125,tail,0.166666666666667,0.027954903651624795,0.02812273501106404
125,tail,0.333333333333333,0.027574078258537377,0.04723229458030086
125,tail,0.5,0.058972305100374996,0.05164863419887562
125,tail,0.666666666666667,0.07965226978758563,0.07344463314733246
125,tail,0.833333333333333,0.13874813687493018,0.051637109010712536
125,tail,1.0,0.0,0.0
126,head,0.0,0.003998908155885714,0.021155481050747743
126,head,0.166666666666667,-0.009779056817687707,0.019783128161886213
126,head,0.333333333333333,-0.013426035630903341,0.025484586574390233
126,head,0.5,-0.018765798602299284,0.020964812192732992
126,head,0.666666666666667,-0.04039673652836483,0.03908355380158851
126,head,0.833333333333333,-0.05728379279915482,0.06077539594167575
126,head,1.0,-0.01920672394350464,0.02834510214082708
126,leg,0.0,-0.0017249157654339285,0.0011979406148353122
126,leg,0.166666666666667,-0.012821589516579494,0.015430235117947399
126,leg,0.333333333333333,-0.024971066007372263,0.01892606336970626
126,leg,0.5,-0.01763676906776072,0.026193016798000613
126,leg,0.666666666666667,0.0006905482077405283,0.033538125907499515
126,leg,0.833333333333333,0.005632072190851605,0.018574712355933564
126,leg,1.0,-0.004672046905981426,0.013565477130167126
126,neck,0.0,0.0008275979193496429,0.0006436379648076672
126,neck,0.166666666666667,-0.017462258541820205,0.01564050933567702
126,neck,0.333333333333333,-0.0050351385616383415,0.025905393513291942
126,neck,0.5,-0.021837029150206782,0.028476427774995035
126,neck,0.666666666666667,-0.03469653261809696,0.0412450897118652
126,neck,0.833333333333333,-0.012397928837995184,0.05866032888760381
126,neck,1.0,-0.009209158964199275,0.024306275957752223
126,tail,0.0,0.0021334435532342857,0.006809003709896399
126,tail,0.166666666666667,-0.008087568697073064,0.02525357038128486
126,tail,0.333333333333333,-0.01703080708193691,0.02686469988055518
126,tail,0.5,-0.038507372890818216,0.028741685538697867
126,tail,0.666666666666667,-0.05671121547638911,0.04643836553996345
126,tail,0.833333333333333,-0.050878520379881956,0.06045233393952515
126,tail,1.0,-0.06007208871503928,0.0664360882940652
127,head,0.0,0.007640536258536072,0.02338606163262113
127,head,0.166666666666667,-0.0027766883642659224,0.020459240058733227
127,head,0.333333333333333,-0.009225129992641504,0.036621462475955616
127,head,0.5,-0.034011322956860005,0.060241092089788506
127,head,0.666666666666667,-0.02297382287412267,0.06896800204838226
127,head,0.833333333333333,-0.055374785363532686,0.07523328411158922
127,head,1.0,-0.04437094224443929,0.06806800269813158
127,leg,0.0,0.0007282699274482142,0.0038536422307100544
127,leg,0.166666666666667,-0.00940467838721235,0.016743219021444634
127,leg,0.333333333333333,0.000314988539848089,0.026256725073777232
127,leg,0.5,-0.019205950972292146,0.033149272235334856
127,leg,0.666666666666667,-0.017520090918866596,0.0320208374856824
127,leg,0.833333333333333,-0.02589937401697482,0.03545090168790383
127,leg,1.0,-0.025644452714119286,0.05023032138430403
127,neck,0.0,0.00031416299505321435,0.0011604233055898926
127,neck,0.166666666666667,-0.008296350586965562,0.03129698101503698
127,neck,0.333333333333333,-0.0120488691800115,0.03399825549152967
127,neck,0.5,-0.01681042011993964,0.03937918900947154
127,neck,0.666666666666667,-0.008483643429761252,0.05989983726108764
127,neck,0.833333333333333,0.013489303467351967,0.07803103812369329
127,neck,1.0,-0.039107557689747864,0.06273354461204525
127,tail,0.0,0.0008927569288164286,0.003449777748722367
127,tail,0.166666666666667,-0.0036918578299402075,0.029196245130092134
127,tail,0.333333333333333,-0.01399783610065013,0.03730345232020737
127,tail,0.5,-0.022580935983737404,0.057827492526659745
127,tail,0.666666666666667,-0.04729695485258804,0.06876158626823557
127,tail,0.833333333333333,-0.022815148688982673,0.08562916197723874
127,tail,1.0,-0.0697705095733357,0.08316103218944129
128,head,0.0,0.017114371242493927,0.02381540585270947
128,head,0.166666666666667,-0.0007327731062487767,0.037092983624911556
128,head,0.333333333333333,-0.013915944858814411,0.04612207020344319
128,head,0.5,-0.01711580647363963,0.06658616404350223
128,head,0.666666666666667,0.0015468530328933952,0.10287405618572129
128,head,0.833333333333333,0.0011535025887255215,0.0953210915395151
128,head,1.0,-0.0376286169895011,0.07147569414633154
128,leg,0.0,0.010061015424468573,0.01965124799695808
128,leg,0.166666666666667,0.018071203404112297,0.026968489693247503
128,leg,0.333333333333333,0.011784775864647379,0.027691707236531783
128,leg,0.5,0.012237298889154077,0.038996038766810244
128,leg,0.666666666666667,-0.0074255570039537455,0.04343420708492499
128,leg,0.833333333333333,0.007340683960336963,0.05391590883549912
128,leg,1.0,-0.006494625285289636,0.016114898570084617
128,neck,0.0,0.018784002364187143,0.030300084316937412
128,neck,0.166666666666667,-0.007754712597281993,0.051077841676737464
128,neck,0.333333333333333,-0.003933379385292245,0.059383184049516806
128,neck,0.5,0.03903596174127178,0.08293832810856305
128,neck,0.666666666666667,0.032681955670237114,0.10151405561542805
128,neck,0.833333333333333,0.045232788021829826,0.12154794090939479
128,neck,1.0,-0.012348454240918226,0.0306994512355385
128,tail,0.0,0.016692046612367038,0.02705228679818494
128,tail,0.166666666666667,0.021849047757238723,0.04211236525210783
