iSub,n_trials,n_text,fidelity_parseable_rate,fidelity_mean,fidelity_full_rate,fidelity_low_rate,unsupported_rate,dominant_style_tags,legacy_region_encoded_rate,legacy_region_unparsed_rate
202,256,255,0.9921875,0.9488188976377953,0.89453125,0.0078125,0.0078125,"direct_absolute:254, comparison:38, empty:1, meta:1",0.9921875,0.00390625
203,832,807,0.9675480769230769,0.9371034210785764,0.7776442307692307,0.008413461538461538,0.03245192307692308,"direct_absolute:805, superlative:86, comparison:60, empty:25, ranking:15",0.9675480769230769,0.013221153846153846
204,512,512,0.99609375,0.9140989729225022,0.833984375,0.033203125,0.00390625,"direct_absolute:511, comparison:104, negation:39, equality:29, superlative:11",0.99609375,0.02734375
205,704,704,0.9985795454545454,0.8387861545756282,0.7159090909090909,0.11363636363636363,0.0014204545454545455,"direct_absolute:703, superlative:522, equality:129, body_ref:30, comparison:3",0.9985795454545454,0.005681818181818182
206,1408,1408,0.9943181818181818,0.8922721088435374,0.7890625,0.03480113636363636,0.005681818181818182,"direct_absolute:1403, comparison:573, superlative:72, body_ref:31, equality:11",0.9943181818181818,0.016335227272727272
207,960,959,0.9958333333333333,0.8911399183104203,0.775,0.05625,0.004166666666666667,"direct_absolute:959, superlative:474, comparison:131, equality:23, ranking:14",0.9958333333333333,0.028125
208,576,571,0.9635416666666666,0.9330587730587729,0.8107638888888888,0.022569444444444444,0.036458333333333336,"direct_absolute:570, comparison:101, superlative:77, equality:27, empty:5",0.9635416666666666,0.03819444444444445
209,512,512,1.0,0.9685360863095238,0.884765625,0.005859375,0.0,"direct_absolute:512, superlative:87, comparison:77, equality:32",1.0,0.0546875
210,1728,1703,0.921875,0.9321667712910651,0.7853009259259259,0.034722222222222224,0.078125,"direct_absolute:1693, superlative:677, comparison:420, equality:309, count_abstract:89",0.921875,0.07002314814814815
211,960,959,0.9979166666666667,0.8970573615667561,0.8177083333333334,0.06354166666666666,0.0020833333333333333,"direct_absolute:959, superlative:287, equality:127, comparison:38, ranking:8",0.9979166666666667,0.00625
212,1792,1782,0.9748883928571429,0.9123831329898875,0.8158482142857143,0.027901785714285716,0.025111607142857144,"direct_absolute:1748, comparison:751, body_ref:211, superlative:188, equality:35",0.9748883928571429,0.07589285714285714
213,1536,1535,0.986328125,0.9107865786578658,0.783203125,0.027994791666666668,0.013671875,"direct_absolute:1534, comparison:956, body_ref:36, equality:31, count_abstract:24",0.986328125,0.020182291666666668
214,1792,1724,0.9347098214285714,0.8946616915422886,0.7689732142857143,0.05189732142857143,0.06529017857142858,"direct_absolute:1624, equality:76, empty:68, comparison:41, meta:39",0.9347098214285714,0.029575892857142856
215,768,763,0.9466145833333334,0.9101755420187333,0.7734375,0.015625,0.053385416666666664,"direct_absolute:763, comparison:52, superlative:45, count_abstract:34, equality:19",0.9466145833333334,0.05078125
216,768,765,0.98828125,0.9006320973712277,0.7317708333333334,0.024739583333333332,0.01171875,"direct_absolute:764, comparison:130, superlative:104, equality:45, negation:4",0.98828125,0.0234375
217,1408,1407,0.9978693181818182,0.8529588205388917,0.7123579545454546,0.05965909090909091,0.002130681818181818,"direct_absolute:1407, comparison:158, superlative:58, body_ref:34, equality:5",0.9978693181818182,0.004261363636363636
218,1664,1658,0.9783653846153846,0.923245241995242,0.7734375,0.018629807692307692,0.021634615384615384,"direct_absolute:1656, superlative:570, comparison:502, equality:39, body_ref:7",0.9783653846153846,0.06490384615384616
219,1024,1021,0.958984375,0.9040975657065271,0.7890625,0.0439453125,0.041015625,"direct_absolute:980, comparison:196, equality:49, superlative:16, group_sum:11",0.958984375,0.0498046875
220,1408,1406,0.984375,0.8848109782633592,0.7713068181818182,0.06747159090909091,0.015625,"direct_absolute:1397, comparison:487, equality:249, superlative:245, count_abstract:85",0.984375,0.05823863636363636
221,832,830,0.9927884615384616,0.8635593220338983,0.7692307692307693,0.06850961538461539,0.007211538461538462,"direct_absolute:823, comparison:299, equality:39, superlative:21, group_sum:3",0.9927884615384616,0.004807692307692308
222,832,665,0.7704326923076923,0.8508728920585394,0.5877403846153846,0.07932692307692307,0.22956730769230768,"direct_absolute:627, comparison:188, empty:167, superlative:129, equality:117",0.7704326923076923,0.13221153846153846
223,1280,1278,0.9984375,0.9097492361576868,0.6734375,0.00859375,0.0015625,"direct_absolute:1278, superlative:125, comparison:39, empty:2, equality:1",0.9984375,0.0015625
224,1664,1660,0.9945913461538461,0.9172078743679952,0.7848557692307693,0.027644230769230768,0.005408653846153846,"direct_absolute:1657, superlative:319, comparison:290, count_abstract:104, equality:76",0.9945913461538461,0.016826923076923076
225,704,701,0.9928977272727273,0.9075464949928469,0.7954545454545454,0.028409090909090908,0.007102272727272727,"direct_absolute:701, superlative:59, comparison:42, body_ref:24, equality:8",0.9928977272727273,0.002840909090909091
226,640,636,0.90625,0.8667200328407225,0.709375,0.071875,0.09375,"direct_absolute:612, comparison:88, equality:61, count_abstract:28, superlative:13",0.90625,0.16875
227,448,448,0.9598214285714286,0.9286046511627906,0.8236607142857143,0.03571428571428571,0.04017857142857143,"direct_absolute:448, equality:53, superlative:11, comparison:9, count_abstract:2",0.9598214285714286,0.046875
228,640,609,0.9203125,0.8643584768372545,0.6796875,0.05625,0.0796875,"direct_absolute:587, comparison:117, superlative:35, empty:31, equality:24",0.9203125,0.03125
229,1088,1086,0.9981617647058824,0.9321669736034376,0.9025735294117647,0.04044117647058824,0.001838235294117647,"direct_absolute:1086, equality:22, superlative:22, empty:2",0.9981617647058824,0.0
230,640,638,0.996875,0.8940700104493209,0.815625,0.0453125,0.003125,"direct_absolute:630, superlative:74, equality:15, comparison:7, empty:2",0.996875,0.0
231,1344,1342,0.9947916666666666,0.9572906649570824,0.9017857142857143,0.011904761904761904,0.005208333333333333,"direct_absolute:1340, comparison:300, superlative:238, equality:96, ranking:6",0.9947916666666666,0.01711309523809524
232,512,504,0.984375,0.9309523809523811,0.7578125,0.00390625,0.015625,"direct_absolute:504, comparison:222, empty:8, equality:1",0.984375,0.0
301,640,640,1.0,0.8952864583333333,0.759375,0.021875,0.0,"direct_absolute:640, comparison:156, equality:37, count_abstract:13, superlative:6",1.0,0.05625
302,448,446,0.9933035714285714,0.9398127340823971,0.8459821428571429,0.006696428571428571,0.006696428571428571,"direct_absolute:446, comparison:41, negation:9, equality:2, empty:2",0.9933035714285714,0.029017857142857144
303,192,191,0.9947916666666666,0.9323485415108451,0.7552083333333334,0.0,0.005208333333333333,"direct_absolute:191, comparison:6, superlative:1, empty:1",0.9947916666666666,0.005208333333333333
304,320,319,0.9875,0.9307489451476794,0.903125,0.059375,0.0125,"direct_absolute:318, equality:16, body_ref:14, empty:1",0.9875,0.009375
305,192,192,0.875,0.9083333333333333,0.6666666666666666,0.010416666666666666,0.125,"direct_absolute:168, other:22, comparison:2, negation:1, count_abstract:1",0.875,0.171875
306,768,768,1.0,0.9160228587962963,0.80859375,0.015625,0.0,"direct_absolute:768, comparison:197, equality:81, superlative:19, body_ref:14",1.0,0.048177083333333336
307,704,702,0.9957386363636364,0.9322385254624912,0.8167613636363636,0.007102272727272727,0.004261363636363636,"direct_absolute:700, comparison:416, body_ref:173, equality:42, empty:2",0.9957386363636364,0.01278409090909091
308,896,889,0.9776785714285714,0.9047628107559615,0.7678571428571429,0.027901785714285716,0.022321428571428572,"direct_absolute:889, comparison:560, superlative:292, body_ref:160, equality:156",0.9776785714285714,0.030133928571428572
309,768,768,0.9895833333333334,0.9269705513784462,0.8333333333333334,0.009114583333333334,0.010416666666666666,"direct_absolute:755, comparison:84, superlative:38, equality:18, meta:1",0.9895833333333334,0.013020833333333334
310,1088,1085,0.9963235294117647,0.9134129912727699,0.7564338235294118,0.02297794117647059,0.003676470588235294,"direct_absolute:1081, superlative:544, equality:133, comparison:125, body_ref:100",0.9963235294117647,0.03400735294117647
311,1024,1023,0.998046875,0.9228799739073711,0.84765625,0.0322265625,0.001953125,"direct_absolute:1021, comparison:369, superlative:306, ranking:99, equality:16",0.998046875,0.04296875
312,1344,1336,0.9910714285714286,0.8953623266123266,0.8177083333333334,0.0625,0.008928571428571428,"direct_absolute:1335, comparison:102, equality:88, superlative:18, empty:8",0.9910714285714286,0.006696428571428571
313,960,959,0.9979166666666667,0.8624664479570534,0.6260416666666667,0.027083333333333334,0.0020833333333333333,"direct_absolute:928, comparison:192, body_ref:142, equality:76, superlative:3",0.9979166666666667,0.007291666666666667
314,832,828,0.9807692307692307,0.36897467320261434,0.1502403846153846,0.4110576923076923,0.019230769230769232,"direct_absolute:822, comparison:818, body_ref:722, other:6, empty:4",0.9807692307692307,0.027644230769230768
315,704,703,0.9971590909090909,0.893281101614435,0.796875,0.036931818181818184,0.002840909090909091,"direct_absolute:701, empty:1, equality:1, other:1",0.9971590909090909,0.0014204545454545455
316,384,383,0.9947916666666666,0.943206182996759,0.8541666666666666,0.010416666666666666,0.005208333333333333,"direct_absolute:383, comparison:111, superlative:67, negation:33, equality:10",0.9947916666666666,0.13541666666666666
317,1024,1024,0.9404296875,0.8470924195223261,0.724609375,0.0810546875,0.0595703125,"comparison:785, direct_absolute:619, body_ref:400, equality:163, superlative:90",0.9404296875,0.060546875
318,576,575,0.9965277777777778,0.8889186162269787,0.7465277777777778,0.024305555555555556,0.003472222222222222,"direct_absolute:574, comparison:264, body_ref:122, superlative:30, equality:18",0.9965277777777778,0.029513888888888888
