ruleID,iSession,iBlock,iTrial,stiID,category,choice,presskey,rating,feedback,choRT,rateRT,recDU
1,1,2,86,29,2,2,1,6,1,0.603,0.997,3.861
1,1,2,87,25,2,2,1,6,1,1.572,0.999,3.609
1,1,2,88,31,1,1,2,6,1,1.06,0.953,3.764
1,1,2,89,21,1,1,2,6,1,0.903,0.847,3.465
1,1,2,90,27,1,1,2,6,1,0.769,0.818,3.622
1,1,2,91,15,1,1,2,6,1,0.571,0.901,3.798
1,1,2,92,21,1,1,2,6,1,0.659,0.323,4.614
1,1,2,93,6,1,1,2,6,1,0.596,0.241,3.453
1,1,2,94,32,1,1,2,6,1,0.529,0.214,3.858
1,1,2,95,31,1,1,2,6,1,0.626,0.255,3.883
1,1,2,96,4,2,2,1,6,1,0.907,0.403,3.921
1,1,2,97,22,1,1,2,6,1,0.738,1.035,3.9
1,1,2,98,2,1,1,2,6,1,0.531,0.354,3.458
1,1,2,99,14,2,2,1,6,1,0.865,0.272,3.751
1,1,2,100,1,1,1,2,6,1,0.599,0.238,5.132
1,1,2,101,13,2,2,1,6,1,0.66,0.632,0.361
1,1,2,102,7,2,2,1,6,1,1.876,1.148,3.181
1,1,2,103,31,1,1,2,6,1,0.753,0.257,3.221
1,1,2,104,2,1,1,2,6,1,0.802,0.418,2.923
1,1,2,105,5,1,1,2,6,1,0.538,0.434,3.225
1,1,2,106,25,2,2,1,6,1,0.737,0.829,2.457
1,1,2,107,16,1,1,2,6,1,0.657,0.543,3.185
1,1,2,108,15,1,1,2,6,1,0.492,0.221,3.39
1,1,2,109,5,1,1,2,6,1,0.578,0.24,3.146
1,1,2,110,24,2,2,1,6,1,0.84,0.256,2.695
1,1,2,111,6,1,1,2,6,1,1.861,0.505,2.613
1,1,2,112,18,1,1,2,6,1,0.588,0.284,3.54
1,1,2,113,1,1,1,2,6,1,0.489,0.963,2.878
1,1,2,114,20,2,2,1,6,1,0.609,0.519,2.886
1,1,2,115,22,1,1,2,6,1,0.673,0.85,3.132
1,1,2,116,32,1,1,2,6,1,0.879,0.538,3.043
1,1,2,117,25,2,2,1,6,1,0.714,0.468,3.517
1,1,2,118,4,2,2,1,6,1,1.575,0.353,4.053
1,1,2,119,4,2,2,1,6,1,0.918,0.362,2.946
1,1,2,120,17,1,1,2,6,1,1.156,0.294,3.207
1,1,2,121,24,2,2,1,6,1,0.88,0.359,3.773
1,1,2,122,31,1,1,2,6,1,0.767,0.549,3.447
1,1,2,123,21,1,1,2,6,1,0.583,0.566,3.405
1,1,2,124,11,1,1,2,6,1,0.743,0.137,3.267
1,1,2,125,23,2,2,1,6,1,0.735,0.515,3.227
1,1,2,126,4,2,2,1,6,1,0.682,0.12,3.784
1,1,2,127,20,2,2,1,6,1,0.704,0.223,3.539
1,1,2,128,30,2,2,1,6,1,1.204,0.283,3.798
