f1_length,f2_length,f3_length,f4_length,timestamp
0.5,0.5,0.5,0.50657280428649,1769670136794
0.5,0.5,0.5,0.51314541041894,1769670136802
0.5,0.5,0.5,0.53300995550154,1769670136817
0.5,0.5,0.5,0.62610275041334,1769670136834
0.5,0.5,0.5,0.68555435496446,1769670136850
0.5,0.5,0.5,0.78531667806414,1769670136867
0.5,0.5,0.5,0.91179970805261,1769670136884
0.5,0.5,0.5,1,1769670136900
0.5,0.5,0.5,1,1769670136917
0.5,0.5,0.5,1,1769670136934
0.5,0.5,0.5,1,1769670136950
0.5,0.5,0.5,1,1769670136967
0.5,0.5,0.5,1,1769670136984
0.5,0.5,0.5,1,1769670137000
0.5,0.5,0.5,1,1769670137017
0.5,0.5,0.5,1,1769670137034
0.5,0.5,0.5,1,1769670137050
0.5,0.5,0.5,1,1769670137067
0.5,0.5,0.5,1,1769670137084
0.5,0.5,0.5,1,1769670137100
0.5,0.5,0.5,1,1769670137117
0.5,0.5,0.5,1,1769670137134
0.5,0.5,0.5,1,1769670137150
0.5,0.5,0.5,1,1769670137167
0.5,0.5,0.5,1,1769670137184
0.5,0.5,0.5,1,1769670137200
0.5,0.5,0.5,1,1769670137217
0.5,0.5,0.5,1,1769670137835
0.5,0.5,0.5,0.97387644700578,1769670137850
0.5,0.5,0.5,0.95425123834272,1769670137867
0.5,0.5,0.5,0.94772068456256,1769670137884
0.5,0.5,0.5,0.9282317450862,1769670137900
0.5,0.5,0.5,0.90211200211515,1769670137917
0.5,0.5,0.5,0.87599375802298,1769670137934
0.5,0.5,0.5,0.862899188001,1769670137950
0.5,0.5,0.5,0.85636991893874,1769670137967
0.5,0.5,0.5,0.84327534891677,1769670137990
0.5,0.5,0.5,0.82365201930598,1769670138000
0.5,0.5,0.5,0.77784031343433,1769670138017
0.5,0.5,0.5,0.7058408040031,1769670138034
0.5,0.5,0.5,0.6469371040026,1769670138050
0.5,0.5,0.5,0.53565792393704,1769670138067
