version,type,iTrial,display_height,PairID,body_ori,neck_length,head_length,leg_length,tail_length,neck_angle,head_angle,leg_angle,tail_angle
1,1,1,0.321614936711516,36,-1,0.666666666666667,0.166666666666667,0.333333333333333,0,0.5,0.5,0.5,0.5
1,1,2,0.841377576784546,21,-1,0.5,0,0.666666666666667,0.166666666666667,0.5,0.5,0.5,0.5
1,1,3,0.565576923899783,17,-1,0.666666666666667,0,0.666666666666667,0,0.5,0.5,0.5,0.5
1,1,4,0.135262878745238,72,1,0.666666666666667,0.333333333333333,0,0.166666666666667,0.5,0.5,0.5,0.5
1,1,5,0.848345290971782,85,1,0.166666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.5,0.5,0.5,0.5
1,1,6,0.441554326949545,8,-1,0.666666666666667,0.833333333333333,0.166666666666667,0.333333333333333,0.5,0.5,0.5,0.5
1,1,7,0.934336638907878,71,1,0.166666666666667,0.833333333333333,0.166666666666667,0,0.5,0.5,0.5,0.5
1,1,8,0.842222349345432,10,-1,0.166666666666667,0.833333333333333,1,1,0.5,0.5,0.5,0.5
1,1,9,0.502626910559279,29,-1,1,0.833333333333333,0,0.666666666666667,0.5,0.5,0.5,0.5
1,1,10,0.462045897629114,3,-1,0,0,0.166666666666667,0.666666666666667,0.5,0.5,0.5,0.5
1,1,11,0.869605672319011,5,-1,0.166666666666667,0.5,0.333333333333333,0.5,0.5,0.5,0.5,0.5
1,1,12,0.39793907288308,22,-1,1,0.5,0.666666666666667,0.333333333333333,0.5,0.5,0.5,0.5
1,1,13,0.854062046203417,19,-1,0.5,0.5,0.333333333333333,0.166666666666667,0.5,0.5,0.5,0.5
1,1,14,0.671898200746363,14,-1,0.166666666666667,1,0.166666666666667,0.5,0.5,0.5,0.5,0.5
1,1,15,0.902432442328383,92,1,0.333333333333333,0.666666666666667,1,0.5,0.5,0.5,0.5,0.5
1,1,16,0.744565262630426,57,1,1,0.666666666666667,0.333333333333333,0.666666666666667,0.5,0.5,0.5,0.5
1,1,17,0.0515244183216385,4,-1,0,0.666666666666667,0.166666666666667,0.5,0.5,0.5,0.5,0.5
1,1,18,0.404390958650211,20,-1,0.333333333333333,0.5,0.833333333333333,0.5,0.5,0.5,0.5,0.5
1,1,19,0.576146612074018,18,-1,0.333333333333333,0.333333333333333,0.833333333333333,0.833333333333333,0.5,0.5,0.5,0.5
1,1,20,0.665290733718784,23,-1,0,0,0,0.166666666666667,0.5,0.5,0.5,0.5
1,1,21,0.726211331386744,59,1,0.833333333333333,0,1,0.166666666666667,0.5,0.5,0.5,0.5
