version,type,iTrial,display_height,PairID,body_ori,neck_length,head_length,leg_length,tail_length,neck_angle,head_angle,leg_angle,tail_angle
2,1,1,0.982824721422632,97,1,0.5,0.5,0.5,0.5,0.833333333333333,0.166666666666667,0.833333333333333,1
2,1,2,0.284326309042499,22,-1,0.5,0.5,0.5,0.5,1,0.333333333333333,0.333333333333333,1
2,1,3,0.0564046704974602,40,-1,0.5,0.5,0.5,0.5,0.333333333333333,1,0.833333333333333,0
2,1,4,0.466016696082997,48,-1,0.5,0.5,0.5,0.5,0.666666666666667,0.166666666666667,0.333333333333333,0.666666666666667
2,1,5,0.895566154004081,93,1,0.5,0.5,0.5,0.5,0.5,1,0.166666666666667,0.666666666666667
2,1,6,0.00751430816883458,98,1,0.5,0.5,0.5,0.5,0.833333333333333,1,0.166666666666667,1
2,1,7,0.786518851803629,23,-1,0.5,0.5,0.5,0.5,0,1,1,0.666666666666667
2,1,8,0.285258810261008,55,1,0.5,0.5,0.5,0.5,0.333333333333333,0,0.166666666666667,0.333333333333333
2,1,9,0.747891177729485,74,1,0.5,0.5,0.5,0.5,0.5,0,0,0.166666666666667
2,1,10,0.437524542326653,9,-1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0
2,1,11,0.586015890274874,76,1,0.5,0.5,0.5,0.5,0.666666666666667,1,0.5,0.666666666666667
2,1,12,0.590921469290945,21,-1,0.5,0.5,0.5,0.5,0,0.666666666666667,0,1
2,1,13,0.818559688797375,29,-1,0.5,0.5,0.5,0.5,0.166666666666667,0.166666666666667,0.333333333333333,1
2,1,14,0.506392622660303,66,1,0.5,0.5,0.5,0.5,0.333333333333333,1,0.666666666666667,0.833333333333333
2,1,15,0.689919334144661,52,1,0.5,0.5,0.5,0.5,1,0.5,0.5,0
2,1,16,0.282611034538894,46,-1,0.5,0.5,0.5,0.5,0,0.833333333333333,0.666666666666667,0.833333333333333
2,1,17,0.734381196166001,78,1,0.5,0.5,0.5,0.5,0.833333333333333,0.333333333333333,0.833333333333333,1
2,1,18,0.00233128851175834,85,1,0.5,0.5,0.5,0.5,0.833333333333333,0.666666666666667,0.666666666666667,0.833333333333333
2,1,19,0.724203375877706,33,-1,0.5,0.5,0.5,0.5,0.666666666666667,0.833333333333333,0,0.666666666666667
2,1,20,0.653163646173077,20,-1,0.5,0.5,0.5,0.5,0.166666666666667,0.833333333333333,0.666666666666667,0.5
2,1,21,0.687961297352124,1,-1,0.5,0.5,0.5,0.5,0.166666666666667,0.333333333333333,1,0.333333333333333
2,1,22,0.866163445981083,63,1,0.5,0.5,0.5,0.5,0.333333333333333,0.166666666666667,0.666666666666667,0
2,1,23,0.295289630561194,90,1,0.5,0.5,0.5,0.5,0.166666666666667,0,0.333333333333333,0.333333333333333
2,1,24,0.479342376145633,50,1,0.5,0.5,0.5,0.5,0.5,0.333333333333333,0.166666666666667,0
2,1,25,0.800616953508528,92,1,0.5,0.5,0.5,0.5,0.5,0,0.166666666666667,0
2,1,26,0.531697677078422,10,-1,0.5,0.5,0.5,0.5,0,0.166666666666667,0.166666666666667,0.833333333333333
2,1,27,0.404516290793058,37,-1,0.5,0.5,0.5,0.5,0.666666666666667,0.5,1,0.666666666666667
2,1,28,0.748224687747983,60,1,0.5,0.5,0.5,0.5,0.333333333333333,0.666666666666667,0.833333333333333,0.166666666666667
2,1,29,0.278469027095254,24,-1,0.5,0.5,0.5,0.5,0,0,1,0.666666666666667
2,1,30,0.622776579850132,53,1,0.5,0.5,0.5,0.5,0,0,0.666666666666667,0.666666666666667
2,1,31,0.487497761915702,82,1,0.5,0.5,0.5,0.5,0.833333333333333,0,0,0.166666666666667
2,1,32,0.882090238161218,69,1,0.5,0.5,0.5,0.5,0.333333333333333,0.666666666666667,0.833333333333333,0.5
2,1,33,0.874735012565791,71,1,0.5,0.5,0.5,0.5,0.833333333333333,1,1,0.166666666666667
2,1,34,0.720507540807348,67,1,0.5,0.5,0.5,0.5,0.166666666666667,0.833333333333333,0.5,0.5
2,1,35,0.753465290668137,19,-1,0.5,0.5,0.5,0.5,0.333333333333333,0.5,0,0.166666666666667
2,1,36,0.79898813003662,48,-1,0.5,0.5,0.5,0.5,0.666666666666667,0.166666666666667,0.333333333333333,0.666666666666667
2,1,37,0.247154947503361,28,-1,0.5,0.5,0.5,0.5,0.5,0.166666666666667,0.5,0.166666666666667
